ma plantID,pa plantID,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R4092:0008806,8802,tqe,,,,09/24/2017 12:00:00,josh,
17R4092:0008812,8802,he,,,,09/24/2017 12:00:00,josh,
17R4092:0008814,17R4092:0008802,he,,,,09/24/2017 12:00:00,josh,
17R4092:0008913,17R4452:0009007,he,,,,09/24/2017 12:00:00,josh,
17R4452:0009001,17R4452:0009007,qe,,,,09/24/2017 12:00:00,josh,
17R4452:0009008,9007,he,,,,09/24/2017 12:00:00,josh,
17R4452:0009009,17R4452:0009007,he,,,,09/24/2017 12:00:00,josh,
17R4452:0009010,9007,qe,,,,09/24/2017 12:00:00,josh,
17R4452:0009011,9007,qe,,,,09/24/2017 12:00:00,josh,
17R4577:0009210,17R4577:0009210,qe,,,,09/24/2017 12:00:00,josh,
17R4577:0009211,9210,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009212,17R4577:0009210,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009213,17R4577:0009210,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009214,9210,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009215,9210,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009301,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009304,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009305,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009306,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009309,17R4577:0009308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009310,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009312,9308,he,,,,09/24/2017 12:00:00,josh,
17R4577:0009316,9308,tqe,,,,09/24/2017 12:00:00,josh,
17R4577:0009318,9308,he,,,,09/24/2017 12:00:00,josh,
17R4542:0009503,9415,he,,,,09/24/2017 12:00:00,josh,
17R4542:0009504,9415,he,,,,09/24/2017 12:00:00,josh,
17R4542:0009506,17R4542:0009415,he,,,,09/24/2017 12:00:00,josh,
17R4542:0009509,9409,he,,,,09/24/2017 12:00:00,josh,
17R4542:0009511,9409,tqe,,,,09/24/2017 12:00:00,josh,
17R4542:0009514,9409,he,,,,09/24/2017 12:00:00,josh,
17R4541:0009709,9712,he,,,,09/24/2017 12:00:00,josh,
17R4541:0009712,17R4541:0009712,he,,,,09/24/2017 12:00:00,josh,
17R4555:0009801,17R4555:0009801,he,,,,09/24/2017 12:00:00,josh,
17R4555:0009808,17R4555:0009810,qe,,,,09/24/2017 12:00:00,josh,
17R4555:0009809,17R4555:0009810,we,,,,09/24/2017 12:00:00,josh,
17R4555:0009901,9801,qe,,,,09/24/2017 12:00:00,josh,
17R4555:0009902,17R4555:0009801,,16,,,09/24/2017 12:00:00,josh,
17R4555:0009911,9801,qe,,,,09/24/2017 12:00:00,josh,
17R4555:0009913,9801,qe,,,,09/24/2017 12:00:00,josh,
17R4554:0010003,10009,he,,,,09/24/2017 12:00:00,josh,
17R4554:0010004,10009,he,,,,09/24/2017 12:00:00,josh,
17R4554:0010005,17R4554:0010009,he,,,,09/24/2017 12:00:00,josh,
17R4554:0010007,17R4554:0010009,he,,,,09/24/2017 12:00:00,josh,
17R4556:0010302,10305,he,,,,09/24/2017 12:00:00,josh,
17R4556:0010303,10305,qe,,,,09/24/2017 12:00:00,josh,
17R4556:0010305,17R4556:0010305,qe,,,,09/24/2017 12:00:00,josh,
17R4556:0010308,10305,qe,,,,09/24/2017 12:00:00,josh,
17R4534:0010401,10403,tqe,,,,09/24/2017 12:00:00,josh,
17R4534:0010406,10403,tqe,,,,09/24/2017 12:00:00,josh,
17R4534:0010407,10403,tqe,,,,09/24/2017 12:00:00,josh,
17R4534:0010409,10403,he,,,,09/24/2017 12:00:00,josh,
17R4534:0010410,10403,tqe,,,,09/24/2017 12:00:00,josh,
17R4535:0010601,10604,he,,,,09/24/2017 12:00:00,josh,
17R4535:0010602,10604,tqe,,,,09/24/2017 12:00:00,josh,
17R4535:0010604,17R4535:0010604,he,,,,09/24/2017 12:00:00,josh,
17R4535:0010605,17R4535:0010604,he,,,,09/24/2017 12:00:00,josh,
17R4535:0010611,10610,he,,,,09/24/2017 12:00:00,josh,
17R4535:0010615,10610,he,,,,09/24/2017 12:00:00,josh,
17R4538:0010801,17R4538:0010801,we,,,,09/24/2017 12:00:00,josh,
17R4538:0010804,10801,tqe,,,,09/24/2017 12:00:00,josh,
17R4538:0010809,10807,he,,,,09/24/2017 12:00:00,josh,
17R4538:0010811,10801,tqe,,,,09/24/2017 12:00:00,josh,
17R4538:0010813,17R4538:0010801,tqe,,,,09/24/2017 12:00:00,josh,
17R4618:0012502,17R4618:0012502,tqe,,,,09/24/2017 12:00:00,josh,
17R4618:0012503,17R4618:0012503,tqe,,,,09/24/2017 12:00:00,josh,
17R4618:0012507,17R4618:0012507,tqe,,,,09/24/2017 12:00:00,josh,
17R4622:0012602,17R4622:0012602,he,,,,09/24/2017 12:00:00,josh,
17R4622:0012603,17R4622:0012603,he,,,,09/24/2017 12:00:00,josh,
17R4622:0012610,17R4622:0012610,tqe,,,,09/24/2017 12:00:00,josh,
17R4622:0012611,17R4622:0012611,he,,,,09/24/2017 12:00:00,josh,
17R4619:0012701,17R4619:0012701,he,,,,09/24/2017 12:00:00,josh,
17R4619:0012702,17R4619:0012702,tqe,,,,09/24/2017 12:00:00,josh,
17R4619:0012703,17R4619:0012703,tqe,,,,09/24/2017 12:00:00,josh,
17R4623:0012802,17R4623:0012802,tqe,,,,09/24/2017 12:00:00,josh,
17R4623:0012806,17R4623:0012806,he,,,,09/24/2017 12:00:00,josh,
17R4616:0012904,17R4616:0012904,tqe,,,,09/24/2017 12:00:00,josh,
17R4616:0012907,17R4616:0012907,tqe,,,,09/24/2017 12:00:00,josh,
17R4620:0013002,17R4620:0013002,he,,,,09/24/2017 12:00:00,josh,
17R4620:0013003,17R4620:0013003,he,,,,09/24/2017 12:00:00,josh,
17R4620:0013009,17R4620:0013009,tqe,,,,09/24/2017 12:00:00,josh,
17R4624:0013102,17R4624:0013102,qe,,,,09/24/2017 12:00:00,josh,
17R4624:0013104,17R4624:0013104,tqe,,,,09/24/2017 12:00:00,josh,
17R4624:0013106,17R4624:0013106,he,,,,09/24/2017 12:00:00,josh,
17R4617:0013208,17R4617:0013208,tqe,,,,09/24/2017 12:00:00,josh,
17R4617:0013209,17R4617:0013209,tqe,,,,09/24/2017 12:00:00,josh,
17R4617:0013211,17R4617:0013211,tqe,,,,09/24/2017 12:00:00,josh,
17R4617:0013213,17R4617:0013213,tqe,,,,09/24/2017 12:00:00,josh,
17R4621:0013302,17R4621:0013302,he,,,,09/24/2017 12:00:00,josh,
17R4621:0013303,17R4621:0013303,he,,,,09/24/2017 12:00:00,josh,
17R4621:0013307,17R4621:0013307,he,,,,09/24/2017 12:00:00,josh,
17R4627:0013801,17R4627:0013801,tqe,,,,09/24/2017 12:00:00,josh,
17R4627:0013802,17R4627:0013802,tqe,,,,09/24/2017 12:00:00,josh,
17R4627:0013805,17R4627:0013805,he,,,,09/24/2017 12:00:00,josh,
17R4627:0013809,17R4627:0013809,he,,,,09/24/2017 12:00:00,josh,
17R4572:0013901,17R4572:0013901,tqe,,,,09/24/2017 12:00:00,josh,
17R4572:0013904,17R4572:0013904,tqe,,,,09/24/2017 12:00:00,josh,
17R4572:0013906,17R4572:0013906,tqe,,,,09/24/2017 12:00:00,josh,
17R4628:0014002,17R4628:0014002,tqe,,,,09/24/2017 12:00:00,josh,
17R4628:0014004,17R4628:0014004,he,,,,09/24/2017 12:00:00,josh,
17R4628:0014005,17R4628:0014005,tqe,,,,09/24/2017 12:00:00,josh,
17R4579:0019804,17R4579:0019804,tqe,,,,09/24/2017 12:00:00,josh,
17R4579:0019811,17R4579:0019811,tqe,,,,09/24/2017 12:00:00,josh,
17R4579:0019812,17R4579:0019812,he,,,,09/24/2017 12:00:00,josh,
17R4580:0019906,17R4580:0019906,tqe,,,,09/24/2017 12:00:00,josh,
17R4580:0019907,17R4580:0019907,tqe,,,,09/24/2017 12:00:00,josh,
17R4580:0019908,17R4580:0019908,tqe,,,,09/24/2017 12:00:00,josh,
17R4595:0020011,17R4595:0020011,tqe,,,,09/24/2017 12:00:00,josh,
17R4595:0020014,17R4595:0020014,tqe,,,,09/24/2017 12:00:00,josh,
17R4595:0020015,17R4595:0020015,we,,,,09/24/2017 12:00:00,josh,
17R4596:0020105,17R4596:0020105,tqe,,,,09/24/2017 12:00:00,josh,
17R4596:0020112,17R4596:0020112,tqe,,,,09/24/2017 12:00:00,josh,
17R4596:0020113,17R4596:0020113,tqe,,,,09/24/2017 12:00:00,josh,
17R4597:0020205,17R4597:0020205,tqe,,,,09/24/2017 12:00:00,josh,
17R4597:0020208,17R4597:0020208,we,,,,09/24/2017 12:00:00,josh,
17R4597:0020211,17R4597:0020211,we,,,,09/24/2017 12:00:00,josh,
17R4598:0020301,17R4598:0020301,we,,,,09/24/2017 12:00:00,josh,
17R4598:0020307,17R4598:0020307,we,,,,09/24/2017 12:00:00,josh,
17R4598:0020311,17R4598:0020311,we,,,,09/24/2017 12:00:00,josh,
17R4599:0020401,17R4599:0020401,we,,,,09/24/2017 12:00:00,josh,
17R4599:0020407,17R4599:0020407,tqe,,,,09/24/2017 12:00:00,josh,
17R4599:0020411,17R4599:0020411,we,,,,09/24/2017 12:00:00,josh,
17R4600:0020502,17R4600:0020502,we,,,,09/24/2017 12:00:00,josh,
17R4600:0020509,17R4600:0020509,tqe,,,,09/24/2017 12:00:00,josh,
17R4600:0020510,17R4600:0020510,tqe,,,,09/24/2017 12:00:00,josh,
17R4601:0020601,17R4601:0020601,we,,,,09/24/2017 12:00:00,josh,
17R4601:0020602,17R4601:0020602,we,,,,09/24/2017 12:00:00,josh,
17R4601:0020612,17R4601:0020612,we,,,,09/24/2017 12:00:00,josh,
17R4602:0020703,17R4602:0020703,tqe,,,,09/24/2017 12:00:00,josh,
17R4602:0020711,17R4602:0020711,qe,,,,09/24/2017 12:00:00,josh,
17R4602:0020712,17R4602:0020712,tqe,,,,09/24/2017 12:00:00,josh,
17R4603:0020803,17R4603:0020803,he,,,,09/24/2017 12:00:00,josh,
17R4603:0020804,17R4603:0020804,we,,,,09/24/2017 12:00:00,josh,
17R4603:0020805,17R4603:0020805,tqe,,,,09/24/2017 12:00:00,josh,
17R4604:0020906,17R4604:0020906,tqe,,,,09/24/2017 12:00:00,josh,
17R4604:0020907,17R4604:0020907,tqe,,,,09/24/2017 12:00:00,josh,
17R4604:0020914,17R4604:0020914,tqe,,,,09/24/2017 12:00:00,josh,
17R4605:0021010,17R4605:0021010,tqe,,,,09/24/2017 12:00:00,josh,
17R4605:0021011,17R4605:0021011,we,,,,09/24/2017 12:00:00,josh,
17R4605:0021013,17R4605:0021013,we,,,,09/24/2017 12:00:00,josh,
17R4606:0021102,17R4606:0021102,he,,,,09/24/2017 12:00:00,josh,
17R4606:0021104,17R4606:0021104,we,,,,09/24/2017 12:00:00,josh,
17R4606:0021105,17R4606:0021105,we,,,,09/24/2017 12:00:00,josh,
17R4607:0021201,17R4607:0021201,we,,,,09/24/2017 12:00:00,josh,
