plantID,image no,abs_leaf_num,e0,section,camera,conditions,observer,datetime,image
16R6870:0014701,189,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4519:0012802,190,unk,t-7,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4532:0014106,191,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4531:0014005,192,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4526:0013504,193,unk,t-5,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4531:0014005:0014001,194,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4532:0014106:0014102,195,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4534:0014307,196,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4528:0013706,197,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4532:0014106:0014103,198,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4519:0012802:0012801,199,unk,t-6,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R6880:0014802,200,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R6880:0014802:0014804,201,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R6910:0015110,202,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4298:0012403,203,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:07:59,
16R4027:0012203,204,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4520:0012909,205,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4526:0013504:0013508,206,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6880:0014802:0014806,207,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6910:0015110:0015106,208,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6910:0015110:0015109,209,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6890:0014911,210,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6890:0014911:0014913,211,unk,e-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
14908,212,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
14008,213,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4523:0013207,214,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4300:0012602,215,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4528:0013706:0013704,216,unk,t-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4027:0012203:0012204,217,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4520:0012909:0012908,218,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4526:0013504:0013502,219,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4297:0012305,220,unk,t-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4520:0012909:0012911,221,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4399:0012509,222,unk,t-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4300:0012602:0012604,223,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R6870:0014708,224,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4537:0014607,225,unk,t-3,stem,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
16R4537:0014608,226,unk,e4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 11:52:44,
12303,227,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
12301,228,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
12806,229,unk,t-8,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4300:0012602:0012601,230,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4518:0012703,231,unk,e-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4537:0014611,232,unk,e4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4300:0012602:0012606,233,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4399:0012502,234,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4027:0012203:0012205,235,unk,t-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4298:0012403:0012406,236,unk,t-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4298:0012403:0012401,237,unk,t0,whole,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R4298:0012403:0012401,238,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 13:29:21,
16R6980:0015804,239,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6930:0015304,240,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6930:0015309,241,unk,e0,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6960:0015603,242,unk,e-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6960:0015604,243,unk,e-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6950:0015507,244,unk,t-6,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6970:0015710,245,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6960:0015601,246,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6950:0015505,247,unk,t-5,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R7000:0016004,248,unk,t-3,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,4
16R6980:0015803,249,unk,e-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6980:0015808,250,unk,e-1,stem,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6970:0015711,251,unk,e2,stem,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 15:17:03,
16R6950:0015510,252,unk,t-6,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R6930:0015303,253,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R6970:0015708,254,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R7020:0016203,255,unk,e-1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R7000:0016002,256,unk,t-6,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R7000:0016006,257,unk,t-6,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R7020:0016201,258,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R6980:0015802,259,unk,e-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R7010:0016101,260,unk,e1,tip,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R6980:0015801,261,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
16R6980:0015801,262,unk,e-4,stem,gimmel,"ex situ ambient reflected, field",avi,07/28/2016 16:16:13,
