plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
17R4561:0006003,289,t-2,middle,08/01/2017 14:43:00,josh,gimmel,"ex situ ambient reflected, field",unk,
17R4561:0006003:0006006,290,t-2,stem,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4561:0006004,291,t-2,stem,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3590:0007422,292,e5,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3590:0007422,293,e3,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3590:0007403,294,t-3,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4559:0007203,295,e-2,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4559:0007203:0007207,296,e-2,tip,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3590:0007403:0007412,297,t-1,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4559:0007203:0007209,298,e-2,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4491:0007611,299,e3,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4491:0007611:0007610,300,e-4,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4491:0007611:0007617,301,e3,tip,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4491:0007611:0007618,302,e3,middle,08/01/2017 14:43:00,avi,gimmel,"ex situ ambient reflected, field",unk,
