plantID,sample num,datetime,observer,tissue_collectn
17R4561:0006003,E03324,8/1/17 2:51 PM,josh,
17R4561:0006006,e03325,8/1/17 2:51 PM,josh,
17R4561:0006004,E03326,8/1/17 2:51 PM,josh,
7422,E03327,8/1/17 2:51 PM,josh,
7422,E03328,8/1/17 2:51 PM,josh,
17R3590:0007403,E03329,8/1/17 2:51 PM,josh,
17R4559:0007203:0007203,E03330,8/1/17 2:51 PM,josh,
17R4559:0007203:0007207,e03331,8/1/17 2:51 PM,josh,
17R3590:0007403:0007412,E03332,8/1/17 2:51 PM,josh,
17R4559:0007203:0007209,E03333,8/1/17 2:51 PM,josh,
17R4491:0007611,e03334,8/1/17 2:51 PM,josh,
17R4491:0007611:0007610,e03335,8/1/17 2:51 PM,josh,
17R4491:0007611:0007617,e03336,8/1/17 2:51 PM,josh,
17R4491:0007611:0007618,E03337,8/1/17 2:51 PM,josh,
