plantID,image no,abs_leaf_num,e0,section,camera,conditions,observer,datetime,image
16R4467:0004309,99,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4467:0004309:0004307,113,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4467:0004309:0004315,109,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4468:0004410,101,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4468:0004410:0004411,104,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4470:0004603,97,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4470:0004603:0004602,107,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4470:0004603:0004604,98,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4471:0004707,92,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:27:37,
16R4472:0004806,102,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4472:0004806:0004811,106,unk,e1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4473:0004912,111,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4474:0005001,94,unk,t-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4474:0005001:0005009,95,unk,t-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4476:0005202,90,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:17:00,
16R4476:0005202:0005210,114,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4476:0005202:0005211,110,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4477:0005312,96,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4477:0005312:0005303,100,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4477:0005312:0005311,108,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4478:0005401,91,unk,e-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:23:45,
16R4479:0005504,93,unk,e-5,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4479:0005504:0005503,115,unk,e-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4479:0005504:0005506,116,unk,t-13,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4481:0005709,105,unk,e-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4483:0005910,103,unk,e-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 13:30:56,
16R4227:0006706,119,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4227:0006706:0006601,122,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4227:0006706:0006606,139,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4227:0006706:0006608,138,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4227:0006706:0006610,133,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4227:0006706:0006703,140,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4227:0006706:0006707,137,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4227:0006706:0006712,141,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4086:0007610,128,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R3590:0007804,121,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4491:0008008,129,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4092:0008811,135,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4498:0009514,118,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4445:0009808,117,unk,e-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4445:0009808:0009807,132,unk,e-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 17:42:28,
16R4445:0009808:0009809,131,unk,e-5,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 17:42:28,
16R4393:0009907,124,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4393:0009907:0009904,125,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4356:0010008,120,unk,t-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4356:0010008:0010002,130,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R4356:0010008:0010005,134,unk,t-3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R3192:0010101,123,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R3192:0010101:0010105,127,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
16R3192:0010101:0010108,136,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 18:11:05,
16R4473:0004904,112,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 14:32:49,
16R4393:0009909,126,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/26/2016 16:57:25,
