plantID,ht cm,observer,datetime,plant_anatomy
15R3297:0015703,33,toni,08/27/2015 0:00:00,
15R4043:0015802,188,toni,08/27/2015 0:00:00,
15R4043:0015803,165,toni,08/27/2015 0:00:00,
15R4043:0015804,191,toni,08/27/2015 0:00:00,
15R4043:0015805,178,toni,08/27/2015 0:00:00,
15R4043:0015806,180,toni,08/27/2015 0:00:00,
15R2930:0015901,193,toni,08/27/2015 0:00:00,
15R2930:0015902,227,toni,08/27/2015 0:00:00,
15R2930:0015903,166,toni,08/27/2015 0:00:00,
15R2930:0015904,167,toni,08/27/2015 0:00:00,
15R2930:0015905,165,toni,08/27/2015 0:00:00,
15R2930:0015906,214,toni,08/27/2015 0:00:00,
15R2930:0015907,164,toni,08/27/2015 0:00:00,
15R4044:0016001,216,toni,08/27/2015 0:00:00,
15R4044:0016002,228,toni,08/27/2015 0:00:00,
15R4044:0016003,140,toni,08/27/2015 0:00:00,
15R4044:0016004,139,toni,08/27/2015 0:00:00,
15R4044:0016005,152,toni,08/27/2015 0:00:00,
15R4044:0016006,228,toni,08/27/2015 0:00:00,
15R4044:0016007,177,toni,08/27/2015 0:00:00,
15R4044:0016008,146,toni,08/27/2015 0:00:00,
