plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R3999:0013101,132,08/27/2015 0:00:00,toni,,,,
15R3999:0013102,111,08/27/2015 0:00:00,toni,,,,
15R3999:0013103,137,08/27/2015 0:00:00,toni,,,,
15R3999:0013104,142,08/27/2015 0:00:00,toni,,,,
15R3999:0013105,146,08/27/2015 0:00:00,toni,,,,
15R3999:0013106,207,08/27/2015 0:00:00,toni,,,,
15R3999:0013108,101,08/27/2015 0:00:00,toni,,,,
15R3999:0013107,135,08/27/2015 0:00:00,toni,,,,
15R3999:0013109,197,08/27/2015 0:00:00,toni,,,,
15R3999:0013110,196,08/27/2015 0:00:00,toni,,,,
15R3999:0013111,203,08/27/2015 0:00:00,toni,,,,
15R3999:0013112,202,08/27/2015 0:00:00,toni,,,,
15R3999:0013113,66,08/27/2015 0:00:00,toni,,,,
15R3999:0013114,124,08/27/2015 0:00:00,toni,,,,
15R4289:0013201,137,08/27/2015 0:00:00,toni,,,,
15R4289:0013202,97,08/27/2015 0:00:00,toni,,,,
15R4289:0013203,106,08/27/2015 0:00:00,toni,,,,
15R4289:0013204,101,08/27/2015 0:00:00,toni,,,,
15R4289:0013205,122,08/27/2015 0:00:00,toni,,,,
15R4289:0013206,121,08/27/2015 0:00:00,toni,,,,
15R4289:0013207,132,08/27/2015 0:00:00,toni,,,,
15R4289:0013208,88,08/27/2015 0:00:00,toni,,,,
15R4289:0013209,139,08/27/2015 0:00:00,toni,,,,
15R4289:0013210,68,08/27/2015 0:00:00,toni,,,,
15R4289:0013211,105,08/27/2015 0:00:00,toni,,,,
15R4395:0013301,85,08/27/2015 0:00:00,toni,,,,
15R4395:0013302,120,08/27/2015 0:00:00,toni,,,,
15R4395:0013303,103,08/27/2015 0:00:00,toni,,,,
15R4395:0013305,150,08/27/2015 0:00:00,toni,,,,
15R4395:0013304,77,08/27/2015 0:00:00,toni,,,,
15R4395:0013306,53,08/27/2015 0:00:00,toni,,,,
15R4395:0013307,63,08/27/2015 0:00:00,toni,,,,
15R4395:0013308,148,08/27/2015 0:00:00,toni,,,,
15R4395:0013309,85,08/27/2015 0:00:00,toni,,,,
15R4395:0013310,133,08/27/2015 0:00:00,toni,,,,
15R4395:0013311,147,08/27/2015 0:00:00,toni,,,,
15R4395:0013312,143,08/27/2015 0:00:00,toni,,,,
15R4396:0013501,116,08/27/2015 0:00:00,toni,,,,
15R4396:0013502,142,08/27/2015 0:00:00,toni,,,,
15R4396:0013503,144,08/27/2015 0:00:00,toni,,,,
15R4396:0013504,125,08/27/2015 0:00:00,toni,,,,
15R4396:0013505,87,08/27/2015 0:00:00,toni,,,,
15R4396:0013506,79,08/27/2015 0:00:00,toni,,,,
15R4396:0013507,126,08/27/2015 0:00:00,toni,,,,
15R4396:0013508,70,08/27/2015 0:00:00,toni,,,,
15R4396:0013509,138,08/27/2015 0:00:00,toni,,,,
15R4396:0013510,70,08/27/2015 0:00:00,toni,,,,
15R4396:0013511,145,08/27/2015 0:00:00,toni,,,,
15R4396:0013512,147,08/27/2015 0:00:00,toni,,,,
15R4397:0013601,120,08/27/2015 0:00:00,toni,,,,
15R4397:0013602,64,08/27/2015 0:00:00,toni,,,,
15R4397:0013603,148,08/27/2015 0:00:00,toni,,,,
15R4397:0013604,86,08/27/2015 0:00:00,toni,,,,
15R4397:0013605,141,08/27/2015 0:00:00,toni,,,,
15R4397:0013606,134,08/27/2015 0:00:00,toni,,,,
15R4397:0013607,125,08/27/2015 0:00:00,toni,,,,
15R4397:0013608,91,08/27/2015 0:00:00,toni,,,,
15R4397:0013609,124,08/27/2015 0:00:00,toni,,,,
15R4397:0013610,122,08/27/2015 0:00:00,toni,,,,
15R4397:0013611,85,08/27/2015 0:00:00,toni,,,,
15R4397:0013612,127,08/27/2015 0:00:00,toni,,,,
15R4007:0013701,66,08/27/2015 0:00:00,toni,,,,
15R4007:0013702,49,08/27/2015 0:00:00,toni,,,,
15R4007:0013703,115,08/27/2015 0:00:00,toni,,,,
15R4007:0013704,120,08/27/2015 0:00:00,toni,,,,
15R4007:0013705,29,08/27/2015 0:00:00,toni,,,,
15R4007:0013706,124,08/27/2015 0:00:00,toni,,,,
15R4007:0013707,140,08/27/2015 0:00:00,toni,,,,
15R4007:0013708,45,08/27/2015 0:00:00,toni,,,,
15R4007:0013709,124,08/27/2015 0:00:00,toni,,,,
