plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
16R4503:0010203,166,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4503:0010205,164,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4503:0010210,163,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4503:0010212,169,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4503:0010212,170,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3974:0010303,158,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3974:0010307,162,e-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3974:0010314,167,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010402,144,e3,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010403,160,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010407,145,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010408,159,e0,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010409,149,e2,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R3607:0010412,143,e-1,stem,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4279:0010503,155,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4390:0010605,168,e-2,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4390:0010609,154,e0,tip,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4390:0010611,148,e-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4391:0010703,161,e-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4391:0010710,157,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4391:0010711,151,e1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4392:0010801,142,e2,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4392:0010807,165,e2,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4507:0010901,156,t-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4507:0010905,146,t-2,whole,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4507:0010908,147,t-3,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4508:0011011,150,t-2,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4509:0011102,153,t-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4509:0011103,152,t-1,middle,07/27/2016 16:18:20,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4510:0011201,177,e-2,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4510:0011204,172,e-2,middle,07/27/2016 19:15:29,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4511:0011304,175,e0,middle,07/27/2016 19:15:29,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4511:0011305,178,e-1,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4513:0011501,183,e2,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4513:0011503,184,t-2,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4007:0011605,171,e3,middle,07/27/2016 19:15:29,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4007:0011608,186,t-6,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4011:0011703,185,t-8,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4011:0011707,180,t-7,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4011:0011710,187,t-7,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4514:0011806,181,e2,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4514:0011809,179,t-3,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4515:0011903,173,e-1,middle,07/27/2016 19:15:29,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4515:0011909,174,e-1,middle,07/27/2016 19:15:29,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4515:0011911,182,e-1,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4516:0012007,176,e1,middle,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4516:0012008,188,e1,tip,07/27/2016 20:01:34,avi,gimmel,"ex situ ambient reflected, field",unk,
