plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
07106,08/01/2017 15:42:14,1,0,toni,0,0,0,
09308,08/01/2017 15:37:23,1,0,toni,0,0,0,
11014,08/01/2017 15:34:41,1,0,toni,0,0,0,
11020,08/01/2017 15:10:43,1,0,toni,0,0,0,
11112,08/01/2017 15:09:05,1,0,toni,0,0,0,
11113,08/01/2017 15:07:39,1,0,toni,0,0,0,
11232,08/01/2017 15:32:25,1,0,toni,0,0,0,
11508,08/01/2017 15:06:26,1,0,toni,0,0,0,
11515,08/01/2017 15:05:16,1,0,toni,0,0,0,
12019,08/01/2017 15:03:13,1,0,toni,0,0,0,
14607,08/01/2017 15:26:10,1,0,toni,0,0,0,
17604,08/01/2017 15:00:02,1,0,toni,0,0,0,
18010,08/01/2017 15:22:20,1,0,toni,0,0,0,
19703,08/01/2017 15:20:11,1,0,toni,0,0,0,
19811,08/01/2017 09:47:33,1,1,toni,0,0,0,
19907,08/01/2017 09:53:25,1,1,toni,0,0,0,
19910,08/01/2017 09:53:25,1,1,toni,0,0,0,
20011,08/01/2017 09:53:29,1,1,toni,0,0,0,
20906,08/01/2017 09:57:05,1,1,toni,0,0,0,
20907,08/01/2017 09:57:05,1,1,toni,0,0,0,
20914,08/01/2017 09:57:05,1,1,toni,0,0,0,
21301,08/01/2017 10:05:07,1,1,toni,0,0,0,
21303,08/01/2017 10:05:07,1,1,toni,0,0,0,
21308,08/01/2017 10:05:07,1,1,toni,0,0,0,
21309,08/01/2017 10:05:07,1,1,toni,0,0,0,
21905,08/01/2017 10:13:55,1,1,toni,0,0,0,
21907,08/01/2017 10:13:55,1,1,toni,0,0,0,
21913,08/01/2017 10:13:55,1,1,toni,0,0,0,
22007,08/01/2017 10:17:40,1,1,toni,0,0,0,
22008,08/01/2017 10:17:40,1,1,toni,0,0,0,
22010,08/01/2017 10:17:40,1,1,toni,0,0,0,
22111,08/01/2017 10:34:07,1,1,toni,0,0,0,
22112,08/01/2017 10:34:07,1,1,toni,0,0,0,
22113,08/01/2017 10:34:07,1,1,toni,0,0,0,
22201,08/01/2017 10:29:05,1,1,toni,0,0,0,
22204,08/01/2017 10:29:05,1,1,toni,0,0,0,
22212,08/01/2017 10:29:05,1,1,toni,0,0,0,
22302,08/01/2017 10:40:31,1,1,toni,0,0,0,
22303,08/01/2017 10:40:31,1,1,toni,0,0,0,
22304,08/01/2017 10:40:31,1,1,toni,0,0,0,
22403,08/01/2017 10:45:09,1,1,toni,0,0,0,
22404,08/01/2017 10:45:09,1,1,toni,0,0,0,
22405,08/01/2017 10:45:09,1,1,toni,0,0,0,
22506,08/01/2017 10:54:27,1,1,toni,0,0,0,
22509,08/01/2017 10:54:27,1,1,toni,0,0,0,
22511,08/01/2017 10:54:27,1,1,toni,0,0,0,
22609,08/01/2017 10:49:55,1,1,toni,0,0,0,
22611,08/01/2017 10:49:55,1,1,toni,0,0,0,
22613,08/01/2017 10:49:55,1,1,toni,0,0,0,
22701,08/01/2017 10:59:33,1,1,toni,0,0,0,
22706,08/01/2017 10:59:33,1,1,toni,0,0,0,
22708,08/01/2017 10:59:33,1,1,toni,0,0,0,
22802,08/01/2017 11:04:09,1,1,toni,0,0,0,
22803,08/01/2017 11:04:09,1,1,toni,0,0,0,
22807,08/01/2017 11:30:00,1,1,toni,0,0,0,
22902,08/01/2017 14:16:42,1,1,toni,0,0,0,
22903,08/01/2017 14:16:42,1,1,toni,0,0,0,
22909,08/01/2017 14:16:42,1,1,toni,0,0,0,
23002,08/01/2017 14:22:40,1,1,toni,0,0,0,
23003,08/01/2017 14:22:40,1,1,toni,0,0,0,
23006,08/01/2017 14:22:40,1,1,toni,0,0,0,
23402,08/01/2017 14:31:40,1,1,toni,0,0,0,
23403,08/01/2017 14:31:40,1,1,toni,0,0,0,
23405,08/01/2017 14:31:40,1,1,toni,0,0,0,
23502,08/01/2017 14:37:51,1,1,toni,0,0,0,
23509,08/01/2017 14:37:51,1,1,toni,0,0,0,
23513,08/01/2017 14:37:51,1,1,toni,0,0,0,
23603,08/01/2017 14:43:03,1,1,toni,0,0,0,
23606,08/01/2017 14:43:03,1,1,toni,0,0,0,
23611,08/01/2017 14:43:03,1,1,toni,0,0,0,
23802,08/01/2017 14:49:11,1,1,toni,0,0,0,
23807,08/01/2017 14:49:11,1,1,toni,0,0,0,
23815,08/01/2017 14:49:11,1,1,toni,0,0,0,
