plantID,datetime,kicked down for light,dead,sacrificed,too slow to cross,observer,plant_fate
12N3885:0003106,01/03/2013 12:00:00,1,0,0,0,toni,
12N3884:0003010,01/03/2013 12:00:00,1,0,0,0,toni,
12N3885:0003110,01/03/2013 12:00:00,1,0,0,0,toni,
12N3885:0003101,01/03/2013 12:00:00,1,0,0,0,toni,
12N3884:0003007,01/03/2013 12:00:00,1,0,0,0,toni,
12N3884:0003006,01/03/2013 12:00:00,1,0,0,0,toni,
12N3883:0002904,01/03/2013 12:00:00,0,1,0,0,toni,
12N3883:0002902,01/03/2013 12:00:00,0,1,0,0,toni,
12N4053:0000405,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000407,01/04/2013 12:00:00,1,0,0,0,toni,
12N4054:0000507,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000408,01/04/2013 12:00:00,1,0,0,0,toni,
12N4052:0000203,01/04/2013 12:00:00,1,0,0,0,toni,
12N4052:0000205,01/04/2013 12:00:00,1,0,0,0,toni,
12N4052:0000206,01/04/2013 12:00:00,1,0,0,0,toni,
12N4052:0000103,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000302,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000404,01/04/2013 12:00:00,1,0,0,0,toni,
12N4054:0000604,01/04/2013 12:00:00,1,0,0,0,toni,
12N4054:0000607,01/04/2013 12:00:00,1,0,0,0,toni,
12N4054:0000602,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000304,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000312,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000311,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000310,01/04/2013 12:00:00,1,0,0,0,toni,
12N4053:0000309,01/04/2013 12:00:00,1,0,0,0,toni,
