plantID,kicked down for light,sacrificed,dead,too slow to cross,observer,datetime,plant_fate
12N3885:0003106,1,0,0,0,toni,01/03/2013 12:00:00,
12N3884:0003010,1,0,0,0,toni,01/03/2013 12:00:00,
12N3885:0003110,1,0,0,0,toni,01/03/2013 12:00:00,
12N3885:0003101,1,0,0,0,toni,01/03/2013 12:00:00,
12N3884:0003007,1,0,0,0,toni,01/03/2013 12:00:00,
12N3884:0003006,1,0,0,0,toni,01/03/2013 12:00:00,
12N3883:0002904,0,0,1,0,toni,01/03/2013 12:00:00,
12N3883:0002902,0,0,1,0,toni,01/03/2013 12:00:00,
12N4053:0000405,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000407,1,0,0,0,toni,01/04/2013 12:00:00,
12N4054:0000507,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000408,1,0,0,0,toni,01/04/2013 12:00:00,
12N4052:0000203,1,0,0,0,toni,01/04/2013 12:00:00,
12N4052:0000205,1,0,0,0,toni,01/04/2013 12:00:00,
12N4052:0000206,1,0,0,0,toni,01/04/2013 12:00:00,
12N4052:0000103,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000302,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000404,1,0,0,0,toni,01/04/2013 12:00:00,
12N4054:0000604,1,0,0,0,toni,01/04/2013 12:00:00,
12N4054:0000607,1,0,0,0,toni,01/04/2013 12:00:00,
12N4054:0000602,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000304,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000312,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000311,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000310,1,0,0,0,toni,01/04/2013 12:00:00,
12N4053:0000309,1,0,0,0,toni,01/04/2013 12:00:00,
