plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R4482:0005803,1,0,0,0,0,toni,07/27/2016 16:22:00,
16R4482:0005809,1,0,0,0,0,toni,07/27/2016 16:18:06,
16R4507:0010903,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4507:0010903,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4507:0010905,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4507:0010905,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4507:0010908,1,0,0,0,0,toni,07/27/2016 16:22:01,
16R4508:0011011,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4508:0011011,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4509:0011103,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4510:0011204,1,0,0,0,0,toni,07/27/2016 16:25:38,
16R4513:0011503,1,0,0,0,0,toni,07/27/2016 16:25:42,
16R4027:0012203,1,0,0,0,0,toni,07/27/2016 16:26:56,
16R4297:0012305,1,0,0,0,0,toni,07/27/2016 16:28:10,
16R4298:0012403,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4298:0012406,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4399:0012502,1,0,0,0,0,toni,07/27/2016 16:30:00,
16R4300:0012601,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012604,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012605,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012605,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4300:0012606,1,0,0,0,0,toni,07/27/2016 16:32:14,
16R4520:0012911,1,0,0,0,0,toni,07/27/2016 16:34:11,
16R4522:0013106,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4522:0013106,1,0,0,0,0,toni,07/28/2016 9:00:00,
16R4532:0014103,1,0,0,0,0,toni,07/27/2016 16:37:40,
16R0687:0014701,1,0,0,0,0,toni,07/27/2016 16:39:10,
16R0691:0015106,1,0,0,0,0,toni,07/27/2016 16:41:22,
16R0691:0015109,1,0,0,0,0,toni,07/27/2016 16:41:24,
