packetID,ma plantID,pa plantID,num_cl,datetime,observer,packed_packet
p00191,15R405:M0001904,15R0684:0022802,15,05/23/2017 17:59:41,toni,
p00180,15R405:M0003303,15R0676:0022002,15,05/23/2017 18:01:33,toni,
p00172,15R405:M0003403,15R0671:0021502,15,05/23/2017 18:03:29,toni,
p00166,15R405:M0003407,15R0669:0021307,15,05/23/2017 18:05:04,toni,
p00170,15R405:M0003408,15R0670:0021405,15,05/23/2017 18:06:20,toni,
p00163,15R405:M0003501,15R0668:0021201,15,05/23/2017 18:08:15,toni,
p00178,15R405:M0003502,15R0675:0021910,15,05/23/2017 18:09:41,toni,
p00174,15R405:M0003504,15R0672:0021608,15,05/23/2017 18:11:20,toni,
p00161,15R405:M0003601,15R0667:0021107,15,05/23/2017 18:13:14,toni,
p00182,15R405:M0003611,15R0677:0022110,15,05/23/2017 18:14:49,toni,
p00187,15R405:M0003613,15R0680:0022411,15,05/23/2017 18:16:31,toni,
p00176,15R405:M0003618,15R0673:0021705,15,05/23/2017 18:17:59,toni,
p00183,15R405:M0003711,15R0678:0022212,15,05/23/2017 18:20:50,toni,
p00177,15R405:M0003717,15R0674:0021810,15,05/23/2017 18:22:09,toni,
p00185,15R405:M0003807,15R0679:0022304,15,05/23/2017 18:23:45,toni,
p00139,15R405:M0003909,15R4398:0013904,15,05/23/2017 18:25:19,toni,
p00121,15R4370:0006703,15R4370:0006703,15,05/23/2017 16:57:15,toni,
p00123,15R4372:0007201,15R4372:0007201,15,05/23/2017 16:58:46,toni,
p00195,16R0690:0000000,16R0690:0000000,15,05/23/2017 14:33:08,toni,
p00199,16R0694:0000000,16R0694:0000000,15,05/23/2017 14:35:44,toni,
p00201,16R0700:0000000,16R0700:0000000,15,05/23/2017 14:37:03,toni,
p00202,16R0701:0000000,16R0701:0000000,15,05/23/2017 14:38:21,toni,
p00998,17R891:L0xxxxxx,17R891:L0xxxxxx,40,05/30/2017 17:30:00,avi,
p00998,17R891:L0xxxxxx,17R891:L0xxxxxx,40,05/30/2017 17:30:00,avi,
p00998,17R891:L0xxxxxx,17R891:L0xxxxxx,40,05/30/2017 17:30:00,avi,
p00998,17R891:L0xxxxxx,17R891:L0xxxxxx,40,05/30/2017 17:30:00,avi,
p00998,17R891:L0xxxxxx,17R891:L0xxxxxx,40,05/30/2017 17:30:00,avi,
p00891,17R891:L0xxxxxx,17R891:L0xxxxxx,60,05/30/2017 17:30:00,avi,
p00891,17R891:L0xxxxxx,17R891:L0xxxxxx,60,05/30/2017 17:30:00,avi,
p00891,17R891:L0xxxxxx,17R891:L0xxxxxx,60,05/30/2017 17:30:00,avi,
p00891,17R891:L0xxxxxx,17R891:L0xxxxxx,60,05/30/2017 17:30:00,avi,
p00891,17R891:L0xxxxxx,17R891:L0xxxxxx,60,05/30/2017 17:30:00,avi,
