# ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,observer,datetime,inventory
14R4261:0012416,14R4261:0012412,,he,,avi,10/28/2014 9:48:17,
14R4261:0012414,14R4261:0012412,,he,,avi,10/28/2014 9:48:17,
14R4261:0012418,14R4261:0012412,,he,,avi,10/28/2014 9:48:17,
14R4261:0012417,14R4261:0012412,,qe,,avi,10/28/2014 9:48:17,
14R4261:0012419,14R4261:0012412,,qe,,avi,10/28/2014 9:48:17,
14R4262:0012501,14R4262:0012509,,tqe,,avi,10/28/2014 9:48:17,
14R4262:0012516,14R4262:0012509,,tqe,,avi,10/28/2014 9:48:17,
14R4262:0012504,14R4262:0012509,,he,,avi,10/28/2014 9:48:17,
14R4262:0012511,14R4262:0012509,,tqe,,avi,10/28/2014 9:48:17,
14R4262:0012515,14R4262:0012509,,tqe,,avi,10/28/2014 9:48:17,
14R4262:0012502,14R4262:0012509,,tqe,,avi,10/28/2014 9:48:17,
14R3995:0012706,14R3995:0012708,,fuzzy_cl,14,avi,10/28/2014 9:48:17,
14R3995:0012707,14R3995:0012708,,tqe,,avi,10/28/2014 9:48:17,
14R3995:0012712,14R3995:0012708,,tqe,,avi,10/28/2014 9:48:17,
14R4263:0012811,14R4263:0012810,,we,,linh,10/28/2014 9:48:17,
14R4000:0012901,14R4000:0012902,,he,,avi,10/28/2014 9:48:17,
14R4000:0012904,14R4000:0012902,,tqe,,avi,10/28/2014 9:48:17,
14R4263:0012813,14R4263:0012810,,he,,linh,10/28/2014 9:48:17,
14R4000:0012905,14R4000:0012902,,tqe,,avi,10/28/2014 9:48:17,
14R4000:0012907,14R4000:0012902,,we,,avi,10/28/2014 9:48:17,
14R4263:0012816,14R4263:0012810,,ee,,linh,10/28/2014 9:48:17,
14R4000:0012906,14R4000:0012902,,we,,avi,10/28/2014 9:48:17,
14R4000:0012910,14R4000:0012902,,tqe,,avi,10/28/2014 10:33:47,
14R4263:0012818,14R4263:0012810,,ee,,linh,10/28/2014 10:33:47,
14R4000:0012914,14R4000:0012902,,tqe,,avi,10/28/2014 10:33:47,
14R4095:0013103,14R4095:0013111,,tqe,,linh,10/28/2014 10:33:47,
14R4264:0013214,14R4264:0013209,,qe,,avi,10/28/2014 10:33:47,
14R4264:0013211,14R4264:0013209,,he,,avi,10/28/2014 10:42:36,
14R4095:0013111,14R4095:0013104,,we,,linh,10/28/2014 10:42:36,
14R4264:0013208,14R4264:0013209,,qe,,avi,10/28/2014 10:42:36,
14R4264:0013207,14R4264:0013209,,he,,avi,10/28/2014 10:42:36,
14R4095:0013106,14R4095:0013111,,we,,linh,10/28/2014 10:42:36,
14R4264:0013206,14R4264:0013209,,ee,,avi,10/28/2014 10:42:36,
14R4095:0013108,14R4095:0013111,,he,,linh,10/28/2014 10:42:36,
14R4012:0013304,14R4012:0013317,,tqe,,avi,10/28/2014 10:42:36,
14R4095:0013113,14R4095:0013111,,we,,linh,10/28/2014 10:42:36,
14R4012:0013306,14R4012:0013317,,qe,,avi,10/28/2014 10:42:36,
14R4095:0013114,14R4095:0013111,,we,,linh,10/28/2014 10:42:36,
14R4012:0013310,14R4012:0013317,,qe,,avi,10/28/2014 10:42:36,
14R4012:0013311,14R4012:0013317,,tqe,,avi,10/28/2014 10:42:36,
14R4095:0013115,14R4095:0013111,,we,,linh,10/28/2014 10:42:36,
14R4012:0013313,14R4012:0013317,,he,,avi,10/28/2014 10:42:36,
14R4095:0013116,14R4095:0013111,,we,,linh,10/28/2014 10:42:36,
14R4012:0013310,14R4012:0013317,,tqe,,avi,10/28/2014 10:42:36,
14R4013:0013403,14R4013:0013402,,qe,,avi,10/28/2014 10:42:36,
