plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
16R4475:0005105,07/28/2016 13:28:11,1,0,toni,0,0,0,
16R4482:0005803,07/28/2016 13:29:39,1,0,toni,0,0,0,
16R4482:0005809,07/28/2016 13:31:02,1,0,toni,0,0,0,
16R4390:0010605,07/28/2016 13:48:13,1,0,toni,0,0,0,
16R4507:0010903,07/29/2016 09:00:00,1,0,toni,0,0,0,
16R4507:0010908,07/28/2016 13:46:56,1,0,toni,0,0,0,
16R4510:0011201,07/28/2016 13:45:57,1,0,toni,0,0,0,
16R4027:0012203,07/28/2016 13:44:49,1,0,toni,0,0,0,
16R4300:0012606,07/28/2016 13:43:31,1,0,toni,0,0,0,
16R4519:0012801,07/29/2016 09:00:00,1,0,toni,0,0,0,
16R4532:0014103,07/28/2016 13:32:20,1,0,toni,0,0,0,
16R4532:0014103,07/28/2016 13:41:25,1,0,toni,0,0,0,
16R4532:0014106,07/28/2016 13:41:37,1,0,toni,0,0,0,
16R0687:0014708,07/28/2016 13:40:11,1,0,toni,0,0,0,
16R0688:0014806,07/28/2016 13:37:57,1,0,toni,0,0,0,
16R0691:0015106,07/28/2016 13:36:17,1,0,toni,0,0,0,
16R0691:0015109,07/28/2016 13:36:14,1,0,toni,0,0,0,
16R0693:0015303,07/28/2016 13:34:35,1,0,toni,0,0,0,
16R0697:0015711,07/28/2016 13:33:17,1,0,toni,0,0,0,
