plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R4475:0005105,1,0,0,0,0,toni,07/28/2016 13:28:11,
16R4482:0005803,1,0,0,0,0,toni,07/28/2016 13:29:39,
16R4482:0005809,1,0,0,0,0,toni,07/28/2016 13:31:02,
16R4390:0010605,1,0,0,0,0,toni,07/28/2016 13:48:13,
16R4507:0010903,1,0,0,0,0,toni,07/29/2016 09:00:00,
16R4507:0010908,1,0,0,0,0,toni,07/28/2016 13:46:56,
16R4510:0011201,1,0,0,0,0,toni,07/28/2016 13:45:57,
16R4027:0012203,1,0,0,0,0,toni,07/28/2016 13:44:49,
16R4300:0012606,1,0,0,0,0,toni,07/28/2016 13:43:31,
16R4519:0012801,1,0,0,0,0,toni,07/29/2016 09:00:00,
16R4532:0014103,1,0,0,0,0,toni,07/28/2016 13:32:20,
16R4532:0014103,1,0,0,0,0,toni,07/28/2016 13:41:25,
16R4532:0014106,1,0,0,0,0,toni,07/28/2016 13:41:37,
16R0687:0014708,1,0,0,0,0,toni,07/28/2016 13:40:11,
16R0688:0014806,1,0,0,0,0,toni,07/28/2016 13:37:57,
16R0691:0015106,1,0,0,0,0,toni,07/28/2016 13:36:17,
16R0691:0015109,1,0,0,0,0,toni,07/28/2016 13:36:14,
16R0693:0015303,1,0,0,0,0,toni,07/28/2016 13:34:35,
16R0697:0015711,1,0,0,0,0,toni,07/28/2016 13:33:17,
