plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4466:0004201,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004202,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004203,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004204,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004205,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4206,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4207,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4208,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4209,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4210,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
4211,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004212,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004213,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4466:0004214,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006001,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006002,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006003,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006004,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006005,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006006,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006007,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006008,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006009,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4484:0006010,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6011,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6012,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6013,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6014,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6015,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6016,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6101,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6102,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006103,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006104,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006105,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006106,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006107,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006108,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006109,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006110,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006111,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4485:0006113,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6114,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6115,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6315,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006314,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006313,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006312,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006311,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006310,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006309,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006308,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006306,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
