plantID,ht cm,observer,datetime,plant_anatomy
15R4177:0016101,165,toni,08/28/2015 10:00:00,
15R4177:0016102,193,toni,08/28/2015 10:00:00,
15R4177:0016103,193,toni,08/28/2015 10:00:00,
15R4177:0016104,207,toni,08/28/2015 10:00:00,
15R4177:0016105,194,toni,08/28/2015 10:00:00,
15R4177:0016106,194,toni,08/28/2015 10:00:00,
15R4177:0016107,177,toni,08/28/2015 10:00:00,
15R4177:0016108,66,toni,08/28/2015 10:00:00,
15R4177:0016109,201,toni,08/28/2015 10:00:00,
15R4177:0016110,204,toni,08/28/2015 10:00:00,
15R4177:0016111,161,toni,08/28/2015 10:00:00,
15R4177:0016112,165,toni,08/28/2015 10:00:00,
15R4177:0016113,208,toni,08/28/2015 10:00:00,
15R4177:0016114,173,toni,08/28/2015 10:00:00,
15R4405:0016201,215,toni,08/28/2015 10:00:00,
15R4405:0016202,179,toni,08/28/2015 10:00:00,
15R4405:0016203,186,toni,08/28/2015 10:00:00,
15R4405:0016204,141,toni,08/28/2015 10:00:00,
15R4405:0016205,197,toni,08/28/2015 10:00:00,
15R4405:0016206,151,toni,08/28/2015 10:00:00,
15R4405:0016207,168,toni,08/28/2015 10:00:00,
15R4405:0016208,165,toni,08/28/2015 10:00:00,
15R4405:0016210,189,toni,08/28/2015 10:00:00,
15R4405:0016211,176,toni,08/28/2015 10:00:00,
15R4405:0016212,160,toni,08/28/2015 10:00:00,
15R4405:0016213,156,toni,08/28/2015 10:00:00,
15R3053:0016301,171,toni,08/28/2015 10:00:00,
15R3053:0016302,188,toni,08/28/2015 10:00:00,
15R3053:0016303,201,toni,08/28/2015 10:00:00,
15R3053:0016304,191,toni,08/28/2015 10:00:00,
15R3053:0016305,202,toni,08/28/2015 10:00:00,
15R3053:0016306,201,toni,08/28/2015 10:00:00,
15R3053:0016307,205,toni,08/28/2015 10:00:00,
15R3053:0016308,213,toni,08/28/2015 10:00:00,
15R3053:0016309,191,toni,08/28/2015 10:00:00,
15R3053:0016310,192,toni,08/28/2015 10:00:00,
15R3053:0016311,227,toni,08/28/2015 10:00:00,
15R3053:0016312,198,toni,08/28/2015 10:00:00,
15R3053:0016313,205,toni,08/28/2015 10:00:00,
15R3654:0016401,208,toni,08/28/2015 10:00:00,
15R3654:0016402,195,toni,08/28/2015 10:00:00,
15R3654:0016403,200,toni,08/28/2015 10:00:00,
15R3654:0016404,199,toni,08/28/2015 10:00:00,
15R3654:0016405,201,toni,08/28/2015 10:00:00,
15R3654:0016406,197,toni,08/28/2015 10:00:00,
15R3654:0016407,194,toni,08/28/2015 10:00:00,
15R3654:0016409,206,toni,08/28/2015 10:00:00,
15R3654:0016411,213,toni,08/28/2015 10:00:00,
15R3654:0016410,209,toni,08/28/2015 10:00:00,
15R3654:0016412,191,toni,08/28/2015 10:00:00,
15R3654:0016413,204,toni,08/28/2015 10:00:00,
15R4045:0016501,186,toni,08/28/2015 10:00:00,
15R4045:0016502,188,toni,08/28/2015 10:00:00,
15R4045:0016503,190,toni,08/28/2015 10:00:00,
15R4045:0016504,196,toni,08/28/2015 10:00:00,
15R4045:0016505,187,toni,08/28/2015 10:00:00,
15R4045:0016506,196,toni,08/28/2015 10:00:00,
15R4045:0016507,188,toni,08/28/2015 10:00:00,
15R4183:0017101,135,toni,08/28/2015 10:00:00,
15R4183:0017102,123,toni,08/28/2015 10:00:00,
15R4183:0017103,113,toni,08/28/2015 10:00:00,
15R4183:0017104,139,toni,08/28/2015 10:00:00,
15R4183:0017105,114,toni,08/28/2015 10:00:00,
15R4183:0017106,128,toni,08/28/2015 10:00:00,
15R4183:0017107,134,toni,08/28/2015 10:00:00,
15R4183:0017108,123,toni,08/28/2015 10:00:00,
15R4183:0017109,100,toni,08/28/2015 10:00:00,
15R4183:0017110,124,toni,08/28/2015 10:00:00,
15R4183:0017111,109,toni,08/28/2015 10:00:00,
15R4183:0017112,130,toni,08/28/2015 10:00:00,
15R4183:0017113,134,toni,08/28/2015 10:00:00,
15R4183:0017114,125,toni,08/28/2015 10:00:00,
15R4309:0017201,108,toni,08/28/2015 10:00:00,
15R4309:0017202,128,toni,08/28/2015 10:00:00,
15R4309:0017203,117,toni,08/28/2015 10:00:00,
15R4309:0017204,132,toni,08/28/2015 10:00:00,
15R4309:0017205,150,toni,08/28/2015 10:00:00,
15R4309:0017206,113,toni,08/28/2015 10:00:00,
15R4309:0017207,129,toni,08/28/2015 10:00:00,
15R4309:0017208,122,toni,08/28/2015 10:00:00,
15R4309:0017209,109,toni,08/28/2015 10:00:00,
15R4309:0017210,139,toni,08/28/2015 10:00:00,
15R4309:0017211,143,toni,08/28/2015 10:00:00,
15R4309:0017212,104,toni,08/28/2015 10:00:00,
15R4309:0017213,112,toni,08/28/2015 10:00:00,
15R4309:0017214,125,toni,08/28/2015 10:00:00,
15R4409:0017301,92,toni,08/28/2015 10:00:00,
15R4409:0017302,91,toni,08/28/2015 10:00:00,
15R4409:0017303,118,toni,08/28/2015 10:00:00,
15R4409:0017304,119,toni,08/28/2015 10:00:00,
15R4409:0017305,129,toni,08/28/2015 10:00:00,
15R4409:0017306,118,toni,08/28/2015 10:00:00,
15R4409:0017307,119,toni,08/28/2015 10:00:00,
