plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R4366:0020008,97,08/28/2015 10:00:00,toni,,,,
15R4366:0020009,114,08/28/2015 10:00:00,toni,,,,
15R4366:0020010,92,08/28/2015 10:00:00,toni,,,,
15R4366:0020011,72,08/28/2015 10:00:00,toni,,,,
15R4366:0020012,140,08/28/2015 10:00:00,toni,,,,
15R4417:0020101,57,08/28/2015 10:00:00,toni,,,,
15R4417:0020102,91,08/28/2015 10:00:00,toni,,,,
15R4417:0020103,145,08/28/2015 10:00:00,toni,,,,
15R4417:0020104,125,08/28/2015 10:00:00,toni,,,,
15R4417:0020105,39,08/28/2015 10:00:00,toni,,,,
15R4417:0020106,152,08/28/2015 10:00:00,toni,,,,
15R4417:0020107,145,08/28/2015 10:00:00,toni,,,,
15R4417:0020108,122,08/28/2015 10:00:00,toni,,,,
15R4417:0020109,22,08/28/2015 10:00:00,toni,,,,
15R4417:0020110,140,08/28/2015 10:00:00,toni,,,,
15R3321:0020201,127,08/28/2015 10:00:00,toni,,,,
15R3321:0020202,90,08/28/2015 10:00:00,toni,,,,
15R3321:0020203,138,08/28/2015 10:00:00,toni,,,,
15R3321:0020204,161,08/28/2015 10:00:00,toni,,,,
15R3321:0020205,155,08/28/2015 10:00:00,toni,,,,
15R3321:0020206,136,08/28/2015 10:00:00,toni,,,,
15R3321:0020207,61,08/28/2015 10:00:00,toni,,,,
15R3321:0020208,77,08/28/2015 10:00:00,toni,,,,
15R3321:0020209,122,08/28/2015 10:00:00,toni,,,,
15R4190:0020301,126,08/28/2015 10:00:00,toni,,,,
15R4190:0020302,140,08/28/2015 10:00:00,toni,,,,
15R4190:0020303,25,08/28/2015 10:00:00,toni,,,,
15R4190:0020304,42,08/28/2015 10:00:00,toni,,,,
15R4190:0020306,33,08/28/2015 10:00:00,toni,,,,
15R4190:0020307,140,08/28/2015 10:00:00,toni,,,,
15R4190:0020308,151,08/28/2015 10:00:00,toni,,,,
15R4190:0020309,156,08/28/2015 10:00:00,toni,,,,
15R4190:0020310,148,08/28/2015 10:00:00,toni,,,,
15R4367:0020401,105,08/28/2015 10:00:00,toni,,,,
15R4367:0020402,72,08/28/2015 10:00:00,toni,,,,
15R4367:0020403,162,08/28/2015 10:00:00,toni,,,,
15R4367:0020404,164,08/28/2015 10:00:00,toni,,,,
15R4367:0020405,171,08/28/2015 10:00:00,toni,,,,
15R4367:0020406,184,08/28/2015 10:00:00,toni,,,,
15R4367:0020407,185,08/28/2015 10:00:00,toni,,,,
15R4367:0020408,168,08/28/2015 10:00:00,toni,,,,
15R4367:0020409,74,08/28/2015 10:00:00,toni,,,,
15R4367:0020410,165,08/28/2015 10:00:00,toni,,,,
15R4367:0020411,87,08/28/2015 10:00:00,toni,,,,
15R4368:0020501,187,08/28/2015 10:00:00,toni,,,,
15R4368:0020502,188,08/28/2015 10:00:00,toni,,,,
15R4368:0020503,185,08/28/2015 10:00:00,toni,,,,
15R4368:0020504,192,08/28/2015 10:00:00,toni,,,,
15R4368:0020505,188,08/28/2015 10:00:00,toni,,,,
15R4368:0020506,189,08/28/2015 10:00:00,toni,,,,
15R4368:0020507,191,08/28/2015 10:00:00,toni,,,,
15R4368:0020509,66,08/28/2015 10:00:00,toni,,,,
15R4368:0020512,115,08/28/2015 10:00:00,toni,,,,
15R4368:0020513,120,08/28/2015 10:00:00,toni,,,,
15R3067:0020601,145,08/28/2015 10:00:00,toni,,,,
15R3067:0020602,175,08/28/2015 10:00:00,toni,,,,
15R3067:0020603,178,08/28/2015 10:00:00,toni,,,,
15R3067:0020604,190,08/28/2015 10:00:00,toni,,,,
15R3067:0020605,163,08/28/2015 10:00:00,toni,,,,
15R3067:0020606,105,08/28/2015 10:00:00,toni,,,,
15R3067:0020607,184,08/28/2015 10:00:00,toni,,,,
15R3067:0020608,54,08/28/2015 10:00:00,toni,,,,
15R3067:0020609,177,08/28/2015 10:00:00,toni,,,,
15R3067:0020610,174,08/28/2015 10:00:00,toni,,,,
15R3067:0020611,17,08/28/2015 10:00:00,toni,,,,
15R3067:0020612,101,08/28/2015 10:00:00,toni,,,,
15R3067:0020613,170,08/28/2015 10:00:00,toni,,,,
15R3067:0020614,150,08/28/2015 10:00:00,toni,,,,
15R4192:0020701,16,08/28/2015 10:00:00,toni,,,,
15R4192:0020702,127,08/28/2015 10:00:00,toni,,,,
15R4192:0020703,129,08/28/2015 10:00:00,toni,,,,
15R4192:0020704,138,08/28/2015 10:00:00,toni,,,,
15R4192:0020705,117,08/28/2015 10:00:00,toni,,,,
15R4192:0020706,20,08/28/2015 10:00:00,toni,,,,
15R4192:0020707,30,08/28/2015 10:00:00,toni,,,,
15R4192:0020708,36,08/28/2015 10:00:00,toni,,,,
15R4192:0020709,136,08/28/2015 10:00:00,toni,,,,
15R1715:0015201,178,08/28/2015 10:00:00,toni,,,,
15R1715:0015202,148,08/28/2015 10:00:00,toni,,,,
15R1715:0015203,209,08/28/2015 10:00:00,toni,,,,
15R1715:0015204,200,08/28/2015 10:00:00,toni,,,,
15R1715:0015205,144,08/28/2015 10:00:00,toni,,,,
15R1715:0015206,178,08/28/2015 10:00:00,toni,,,,
15R4295:0014201,141,08/28/2015 10:00:00,toni,,,,
15R4295:0014202,133,08/28/2015 10:00:00,toni,,,,
15R4295:0014203,131,08/28/2015 10:00:00,toni,,,,
15R4295:0014204,138,08/28/2015 10:00:00,toni,,,,
15R4295:0014205,59,08/28/2015 10:00:00,toni,,,,
15R4295:0014206,128,08/28/2015 10:00:00,toni,,,,
15R4295:0014207,126,08/28/2015 10:00:00,toni,,,,
15R4295:0014208,79,08/28/2015 10:00:00,toni,,,,
15R4011:0013801,69,08/28/2015 10:00:00,toni,,,,
15R4011:0013802,138,08/28/2015 10:00:00,toni,,,,
15R4011:0013803,132,08/28/2015 10:00:00,toni,,,,
15R4011:0013804,49,08/28/2015 10:00:00,toni,,,,
15R4011:0013805,73,08/28/2015 10:00:00,toni,,,,
15R4011:0013806,113,08/28/2015 10:00:00,toni,,,,
15R4011:0013807,39,08/28/2015 10:00:00,toni,,,,
15R4011:0013808,72,08/28/2015 10:00:00,toni,,,,
15R4011:0013809,70,08/28/2015 10:00:00,toni,,,,
15R4011:0013810,114,08/28/2015 10:00:00,toni,,,,
15R205:S0002210,110,08/28/2015 10:00:00,toni,,,,
15R205:S0002209,114,08/28/2015 10:00:00,toni,,,,
15R205:S0002208,130,08/28/2015 10:00:00,toni,,,,
15R205:S0002206,109,08/28/2015 10:00:00,toni,,,,
15R205:S0002204,120,08/28/2015 10:00:00,toni,,,,
15R205:S0002203,118,08/28/2015 10:00:00,toni,,,,
15R205:S0002202,117,08/28/2015 10:00:00,toni,,,,
15R205:S0002301,115,08/28/2015 10:00:00,toni,,,,
15R205:S0002302,125,08/28/2015 10:00:00,toni,,,,
15R205:S0002303,93,08/28/2015 10:00:00,toni,,,,
15R205:S0002305,117,08/28/2015 10:00:00,toni,,,,
15R205:S0002306,122,08/28/2015 10:00:00,toni,,,,
15R205:S0002309,135,08/28/2015 10:00:00,toni,,,,
15R205:S0002311,118,08/28/2015 10:00:00,toni,,,,
15R205:S0002312,125,08/28/2015 10:00:00,toni,,,,
15R205:S0002412,123,08/28/2015 10:00:00,toni,,,,
15R205:S0002410,120,08/28/2015 10:00:00,toni,,,,
15R205:S0002409,117,08/28/2015 10:00:00,toni,,,,
15R205:S0002405,111,08/28/2015 10:00:00,toni,,,,
15R205:S0002402,129,08/28/2015 10:00:00,toni,,,,
15R205:S0002401,131,08/28/2015 10:00:00,toni,,,,
15R205:S0002502,130,08/28/2015 10:00:00,toni,,,,
15R205:S0002501,131,08/28/2015 10:00:00,toni,,,,
