plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
15R3877:0005004,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R3878:0005215,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R3321:0020202,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R0667:0021109,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R0669:0021307,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R0670:0021405,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R0670:0021406,08/25/2015 0:00:00,1,0,toni,0,0,0,
15R4334:0005405,08/24/2015 17:06:44,1,0,toni,0,0,0,
15R4217:0005808,08/24/2015 17:08:43,1,0,toni,0,0,0,
15R4217:0005818,08/24/2015 17:10:26,1,0,toni,0,0,0,
15R0685:0009103,08/24/2015 17:12:41,1,0,toni,0,0,0,
15R0685:0009107,08/24/2015 17:12:45,1,0,toni,0,0,0,
15R0685:0009108,08/24/2015 17:12:49,1,0,toni,0,0,0,
15R4289:0013205,08/24/2015 17:18:08,1,0,toni,0,0,0,
15R4289:0013207,08/24/2015 17:18:56,1,0,toni,0,0,0,
15R0686:0015302,08/24/2015 17:22:40,1,0,toni,0,0,0,
15R0686:0015307,08/24/2015 17:22:43,1,0,toni,0,0,0,
15R1129:0015401,08/24/2015 17:24:06,1,0,toni,0,0,0,
15R0669:0021311,08/24/2015 17:28:02,1,0,toni,0,0,0,
15R0671:0021508,08/24/2015 17:30:21,1,0,toni,0,0,0,
15R0672:0021602,08/24/2015 17:31:39,1,0,toni,0,0,0,
15R0675:0021910,08/24/2015 17:33:21,1,0,toni,0,0,0,
15R205:S0002511,08/24/2015 17:00:00,0,1,toni,0,0,0,
15R205:S0002601,08/24/2015 9:00:00,0,1,toni,0,0,0,
15R205:S0002603,08/24/2015 9:00:00,0,1,toni,0,0,0,
15R205:S0002604,08/24/2015 9:00:00,0,1,toni,0,0,0,
15R305:W0003016,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R305:W0003203,08/24/2015 17:00:00,0,1,toni,0,0,0,
15R405:M0003502,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003505,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003507,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003508,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003509,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003510,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003605,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003609,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003612,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003616,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003619,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003701,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003705,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003708,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003801,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003804,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003806,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003809,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003814,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003815,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003902,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003903,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003904,08/23/2015 16:00:00,0,1,toni,0,0,0,
15R405:M0003914,08/23/2015 16:00:00,0,1,toni,0,0,0,
