ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
16R405:M0002101,16R4468:0004411,07/23/2016 11:11:45,1,0,0,toni,toni,
16R405:M0002102,16R4468:0004411,07/23/2016 11:11:29,1,0,0,toni,toni,
16R305:W0001417,16R4470:0004603,07/23/2016 10:28:20,1,0,0,toni,toni,
16R305:W0001410,16R4470:0004604,07/23/2016 10:27:55,1,0,0,toni,toni,
16R405:M0001707,16R4471:0004707,07/23/2016 10:59:27,1,0,0,toni,toni,
16R4227:0006605,16R4227:0006601,07/23/2016 11:14:45,1,0,0,toni,toni,
16R4228:0006811,16R4228:0006811,07/23/2016 11:17:37,1,0,0,toni,toni,
16R4086:0007610,16R4086:0007610,07/23/2016 11:20:11,1,0,0,toni,toni,
16R4491:0008009,16R4491:0008006,07/23/2016 11:22:48,1,0,0,toni,toni,
16R305:W0001609,16R3607:0010402,07/23/2016 10:47:15,1,0,0,toni,toni,
16R305:W0001607,16R3607:0010403,07/23/2016 10:47:02,1,0,0,toni,toni,
16R305:W0001604,16R3607:0010408,07/23/2016 10:46:38,1,0,0,toni,toni,
16R305:W0001603,16R4279:0010503,07/23/2016 10:46:25,1,0,0,toni,toni,
16R305:W0001610,16R4279:0010511,07/23/2016 10:47:32,1,0,0,toni,toni,
16R305:W0001502,16R4514:0011806,07/23/2016 10:32:21,1,0,0,toni,toni,
16R305:W0001507,16R4514:0011806,07/23/2016 10:33:31,1,0,0,toni,toni,
16R305:W0001616,16R4514:0011809,07/23/2016 10:38:02,1,0,0,toni,toni,
16R305:W0001617,16R4514:0011809,07/23/2016 10:37:50,1,0,0,toni,toni,
16R405:M0001712,16R4515:0011903,07/23/2016 11:00:29,1,0,0,toni,toni,
16R405:M0001710,16R4515:0011909,07/23/2016 11:00:00,1,0,0,toni,toni,
16R405:M0001709,16R4515:0011911,07/23/2016 10:59:47,1,0,0,toni,toni,
16R405:M0002103,16R4516:0012007,07/23/2016 11:11:16,1,0,0,toni,toni,
16R405:M0002105,16R4516:0012007,07/23/2016 11:11:02,1,0,0,toni,toni,
16R405:M0001804,16R4516:0012008,07/23/2016 11:02:37,1,0,0,toni,toni,
16R305:W0001505,16R4523:0013207,07/23/2016 10:32:41,1,0,0,toni,toni,
16R305:W0001518,16R4535:0014401,07/23/2016 10:34:28,1,0,0,toni,toni,
16R305:W0001615,16R4535:0014404,07/23/2016 10:38:16,1,0,0,toni,toni,
16R305:W0001508,16R4535:0014412,07/23/2016 10:33:44,1,0,0,toni,toni,
