plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R4227:0006609,0,1,0,0,0,toni,07/23/2016 20:09:23,
16R4086:0007602,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R4086:0007606,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R4086:0007607,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R4491:0008003,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R4491:0008008,0,0,0,0,1,toni,07/23/2016 11:34:37,
16R4491:0008010,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001101,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001104,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001110,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001112,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001115,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001202,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001206,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001207,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001212,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001303,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R205:S0001307,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001407,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001413,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001418,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001514,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001601,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001602,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001605,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001608,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0001619,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0002801,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002803,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002804,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002805,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002806,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002807,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002808,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002810,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002813,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002814,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002901,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002902,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R305:W0002903,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002906,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002907,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002911,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002913,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002914,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002915,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R305:W0002916,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0001702,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0001813,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0001906,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002001,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002002,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002008,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002009,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002010,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002106,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002107,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002108,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002109,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R405:M0002110,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002111,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002201,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002203,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002204,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002210,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002211,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002212,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002213,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002301,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002306,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R405:M0002308,0,1,0,0,0,toni,07/23/2016 20:45:00,
16R505:B0002503,0,1,0,0,0,toni,07/23/2016 12:00:00,
16R505:B0002506,0,1,0,0,0,toni,07/23/2016 12:00:00,
