
% should be clean, placed into /athe/c/maize/data/palm/raw_data_from_palm/13r/reinventory/inventory.pl
%
% Kelly 13.3.2014

"06R0033:0003307","06R0033:0003311","we",,"v00","wade","01/14/2014 8:26:01"
"06R0034:0003403","06R0034:0003401","we",,"v00","wade","01/14/2014 8:26:01"
"06R0034:0003409","06R0034:0003406","he",,"v00","wade","01/14/2014 8:26:01"
"06R0034:0003410","06R0034:0003411","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0034:0003414","06R0034:0003402","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0035:0003501","06R0035:0003503","we",,"v00","wade","01/14/2014 8:26:01"
"06R0035:0003502","06R0035:0003507","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0035:0003505","06R0035:0003510","we",,"v00","wade","01/14/2014 8:26:01"
"06R0035:0003513","06R0035:0003514","he",,"v00","wade","01/14/2014 8:26:01"
"06R0037:0003706","06R0037:0003709","he",,"v00","wade","01/14/2014 8:26:01"
"06R0037:0003706","06R0037:0003709","we",,"v00","wade","01/14/2014 8:26:01"
"06R0037:0003708","06R0037:0003704","we",,"v00","wade","01/14/2014 8:26:01"
"06R0040:0004002","06R0040:0004001","fuzzy_cl",3,"v00","wade","01/14/2014 8:26:01"
"06R0040:0004004","06R0040:0004005","fuzzy_cl",2,"v00","wade","01/14/2014 8:26:01"
"06R0040:0004010","06R0040:0004007","fuzzy_cl",1,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004102","06R0041:0004106","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004106","06R0041:0004105","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004107","06R0041:0004108","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004109","06R0041:0004101","qe",,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004110","06R0041:0004107","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0041:0004114","06R0041:0004109","fuzzy_cl",20,"v00","wade","01/14/2014 8:26:01"
"06R0042:0004207","06R0042:0004209","ee",,"v00","wade","01/14/2014 8:26:01"
"06R0043:0004306","06R0043:0004305","tqe",,"v00","wade","01/14/2014 8:26:01"
"06R0044:0004406","06R0044:0004407","he",,"v00","wade","01/14/2014 8:26:01"
"06R0045:0004502","06R0045:0004504","he",,"v00","wade","01/14/2014 8:26:01"
"06R0045:0004506","06R0045:0004510","he",,"v00","wade","01/14/2014 8:26:01"
"06R0045:0004507","06R0045:0004508","we",,"v00","wade","01/14/2014 8:39:36"
"06R0045:0004512","06R0045:0004506","fuzzy_cl",7,"v00","wade","01/14/2014 8:39:36"
"06R0046:0004608","06R0046:0004603","he",,"v00","wade","01/14/2014 8:39:36"
"06R0046:0004609","06R0046:0004611","he",,"v00","wade","01/14/2014 8:39:36"
"06R0047:0004702","06R0047:0004707","fuzzy_cl",11,"v00","wade","01/14/2014 8:39:36"
"06R0047:0004706","06R0047:0004704","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0048:0004809","06R0048:0004806","we",,"v00","wade","01/14/2014 8:39:36"
"06R0049:0004905","06R0049:0004901","he",,"v00","wade","01/14/2014 8:39:36"
"06R0050:0005008","06R0050:0005009","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0053:0005309","06R0053:0005302","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0053:0005312","06R0053:0005311","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0054:0005407","06R0054:0005401","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0055:0005502","06R0055:0005508","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0055:0005508","06R0055:0005502","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0056:0005605","06R0056:0005609","we",,"v00","wade","01/14/2014 8:39:36"
"06R0057:0005705","06R0057:0005702","we",,"v00","wade","01/14/2014 8:39:36"
"06R0057:0005707","06R0057:0005703","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0057:0005710","06R0057:0005704","he",,"v00","wade","01/14/2014 8:39:36"
"06R0058:0005808","06R0058:0005809","he",,"v00","wade","01/14/2014 8:39:36"
"06R0058:0005812","06R0058:0005804","he",,"v00","wade","01/14/2014 8:39:36"
"06R0059:0005903","06R0059:0005914","we",,"v00","wade","01/14/2014 8:39:36"
"06R0060:0006001","06R0060:0006003","fuzzy_cl",24,"v00","wade","01/14/2014 8:39:36"
"06R0060:0006005","06R0060:0006008","qe",,"v00","wade","01/14/2014 8:39:36"
"06R0060:0006009","06R0060:0006010","he",,"v00","wade","01/14/2014 8:39:36"
"06R0060:0006012","06R0060:0006014","qe",,"v00","wade","01/14/2014 8:39:36"
"06R0061:0006102","06R0061:0006104","we",,"v00","wade","01/14/2014 8:39:36"
"06R0061:0006111","06R0061:0006115","tqe",,"v00","wade","01/14/2014 8:39:36"
"06R0063:0006305","06R0063:0006303","ee",,"v00","wade","01/14/2014 8:39:36"   
"06R0064:0006403","06R0064:0006405","he",,"v00","wade","01/14/2014 8:53:35"
"06R0064:0006410","06R0064:0006408","he",,"v00","wade","01/14/2014 8:53:35"
"06R0065:0006508","06R0065:0006505","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0065:0006509","06R0065:0006510","fuzzy_cl",18,"v00","wade","01/14/2014 8:53:35"
"06R0066:0006607","06R0066:0006601","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0068:0006801","06R0068:0006805","fuzzy_cl",4,"v00","wade","01/14/2014 7:38:29"
