# ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,observer,datetime,inventory
06R0001:0000108,06R0001:0000106,v00,we,,derek,01/14/2014 9:06:54,
06R0002:0000204,06R0002:0000202,v00,we,,derek,01/14/2014 9:06:54,
06R0002:0000208,06R0002:0000207,v00,we,,derek,01/14/2014 9:06:54,
06R0002:0000209,06R0002:0000203,v00,we,,derek,01/14/2014 9:06:54,
06R0003:0000308,06R0003:0000303,v00,he,,derek,01/14/2014 9:06:54,
06R0005:0000501,06R0005:0000506,v00,we,,derek,01/14/2014 9:06:54,
06R0005:0000504,06R0005:0000508,v00,we,,derek,01/14/2014 9:06:54,
06R0005:0000509,06R0005:0000509,v00,he,,derek,01/14/2014 9:33:33,
06R0005:0000510,06R0005:0000505,v00,we,,derek,01/14/2014 9:06:54,
06R0006:0000606,06R0006:0000609,v00,we,,derek,01/14/2014 9:06:54,
06R0006:0000607,06R0006:0000604,v00,we,,derek,01/14/2014 9:06:54,
06R0006:0000613,06R0006:0000601,v00,we,,derek,01/14/2014 9:06:54,
06R0006:0000614,06R0006:0000610,v00,we,,derek,01/14/2014 9:06:54,
06R0008:0000803,06R0008:0000801,v00,he,,derek,01/14/2014 9:06:54,
06R0009:0000905,06R0009:0000904,v00,we,,derek,01/14/2014 9:06:54,
06R0009:0000908,06R0009:0000901,v00,he,,derek,01/14/2014 9:06:54,
06R0011:0001104,06R0011:0001101,v00,we,,derek,01/14/2014 9:06:54,
06R0011:0001107,06R0011:0001109,v00,we,,derek,01/14/2014 9:06:54,
06R0011:0001108,06R0011:0001103,v00,we,,derek,01/14/2014 9:06:54,
06R0011:0001114,06R0011:0001110,v00,we,,derek,01/14/2014 9:06:54,
06R0012:0001207,06R0012:0001208,v00,we,,derek,01/14/2014 9:06:54,
06R0012:0001208,06R0012:0001207,v00,tqe,,derek,01/14/2014 9:06:54,
06R0013:0001301,06R0013:0001305,v00,he,,derek,01/14/2014 9:06:54,
06R0013:0001304,06R0013:0001302,v00,we,,derek,01/14/2014 9:06:54,
06R0013:0001306,06R0013:0001309,v00,we,,derek,01/14/2014 9:06:54,
06R0013:0001315,06R0013:0001312,v00,tqe,,derek,01/14/2014 9:06:54,
06R0014:0001403,06R0014:0001406,v00,we,,derek,01/14/2014 9:06:54,
06R0014:0001404,06R0014:0001407,v00,we,,derek,01/14/2014 9:06:54,
06R0014:0001412,06R0014:0001411,v00,tqe,,derek,01/14/2014 9:06:54,
06R0015:0001502,06R0015:0001501,v00,tqe,,derek,01/14/2014 9:06:54,
06R0015:0001503,06R0015:0001511,v00,tqe,,derek,01/14/2014 9:06:54,
06R0015:0001505,06R0015:0001506,v00,tqe,,derek,01/14/2014 9:06:54,
06R0016:0001601,06R0016:0001601,v00,tqe,,derek,01/14/2014 9:06:54,
06R0017:0001704,06R0017:0001706,v00,tqe,,derek,01/14/2014 9:06:54,
06R0017:0001707,06R0017:0001708,v00,we,,derek,01/14/2014 9:06:54,
06R0017:0001708,06R0017:0001702,v00,we,,derek,01/14/2014 9:06:54,
06R0017:0001709,06R0017:0001703,v00,we,,derek,01/14/2014 9:06:54,
06R0018:0001805,06R0018:0001809,v00,we,,derek,01/14/2014 9:06:54,
06R0018:0001808,06R0018:0001804,v00,we,,derek,01/14/2014 9:06:54,
06R0019:0001901,06R0019:0001902,v00,we,,derek,01/14/2014 9:06:54,
06R0019:0001913,06R0019:0001909,v00,we,,derek,01/14/2014 9:06:54,
06R0020:0002006,06R0020:0002002,v00,we,,derek,01/14/2014 9:06:54,
06R0020:0002008,06R0020:0002011,v00,we,,derek,01/14/2014 9:06:54,
06R0021:0002107,06R0021:0002106,v00,we,,derek,01/14/2014 9:06:54,
06R0022:0002205,06R0022:0002202,v00,tqe,,derek,01/14/2014 9:06:54,
06R0022:0002211,06R0022:0002212,v00,we,,derek,01/14/2014 9:06:54,
06R0023:0002305,06R0023:0002310,v00,tqe,,derek,01/14/2014 9:06:54,
06R0023:0002306,06R0023:0002312,v00,tqe,,derek,01/14/2014 9:06:54,
06R0023:0002311,06R0023:0002304,v00,he,,derek,01/14/2014 9:06:54,
06R0025:0002503,06R0025:0002512,v00,we,,derek,01/14/2014 9:06:54,
06R0025:0002507,06R0025:0002510,v00,we,,derek,01/14/2014 9:06:54,
06R0026:0002604,06R0026:0002606,v00,he,,derek,01/14/2014 9:06:54,
06R0026:0002609,06R0026:0002615,v00,we,,derek,01/14/2014 9:06:54,
06R0027:0002701,06R0027:0002702,v00,we,,derek,01/14/2014 9:06:54,
06R0027:0002707,06R0027:0002706,v00,we,,derek,01/14/2014 9:06:54,
06R0027:0002708,06R0027:0002710,v00,tqe,,derek,01/14/2014 9:06:54,
06R0030:0003008,06R0030:0003007,v00,tqe,,derek,01/14/2014 9:06:54,
06R0030:0003009,06R0030:0003005,v00,tqe,,derek,01/14/2014 9:06:54,
06R0030:0003011,06R0030:0003012,v00,tqe,,derek,01/14/2014 9:06:54,
06R0031:0003108,06R0031:0003105,v00,we,,derek,01/14/2014 9:06:54,
06R0032:0003203,06R0032:0003209,v00,we,,derek,01/14/2014 8:26:01,
06R0033:0003301,06R0033:00033xx,v00,we,,derek,01/14/2014 8:26:01,
06R0033:0003307,06R0033:0003311,v00,we,,derek,01/14/2014 8:26:01,
06R0034:0003403,06R0034:0003401,v00,we,,derek,01/14/2014 8:26:01,
06R0034:0003409,06R0034:0003406,v00,he,,derek,01/14/2014 8:26:01,
06R0034:0003410,06R0034:0003411,v00,tqe,,derek,01/14/2014 8:26:01,
06R0034:0003414,06R0034:0003402,v00,tqe,,derek,01/14/2014 8:26:01,
06R0035:0003501,06R0035:0003503,v00,we,,derek,01/14/2014 8:26:01,
06R0035:0003502,06R0035:0003507,v00,tqe,,derek,01/14/2014 8:26:01,
06R0035:0003505,06R0035:0003510,v00,we,,derek,01/14/2014 8:26:01,
06R0035:0003513,06R0035:0003514,v00,he,,derek,01/14/2014 8:26:01,
06R0037:0003706,06R0037:0003709,v00,he,,derek,01/14/2014 8:26:01,
06R0037:0003706,06R0037:0003709,v00,we,,derek,01/14/2014 8:26:01,
06R0037:0003708,06R0037:0003704,v00,we,,derek,01/14/2014 8:26:01,
06R0040:0004002,06R0040:0004001,v00,fuzzy_cl,3,derek,01/14/2014 8:26:01,
06R0040:0004004,06R0040:0004005,v00,fuzzy_cl,2,derek,01/14/2014 8:26:01,
06R0040:0004010,06R0040:0004007,v00,fuzzy_cl,1,derek,01/14/2014 8:26:01,
06R0041:0004102,06R0041:0004106,v00,tqe,,derek,01/14/2014 8:26:01,
06R0041:0004106,06R0041:0004105,v00,tqe,,derek,01/14/2014 8:26:01,
06R0041:0004107,06R0041:0004108,v00,tqe,,derek,01/14/2014 8:26:01,
06R0041:0004109,06R0041:0004101,v00,qe,,derek,01/14/2014 8:26:01,
06R0041:0004110,06R0041:0004107,v00,tqe,,derek,01/14/2014 8:26:01,
06R0041:0004114,06R0041:0004109,v00,fuzzy_cl,20,derek,01/14/2014 8:26:01,
06R0042:0004207,06R0042:0004209,v00,ee,,derek,01/14/2014 8:26:01,
06R0043:0004306,06R0043:0004305,v00,tqe,,derek,01/14/2014 8:26:01,
06R0044:0004406,06R0044:0004407,v00,he,,derek,01/14/2014 8:26:01,
06R0045:0004502,06R0045:0004504,v00,he,,derek,01/14/2014 8:26:01,
06R0045:0004506,06R0045:0004510,v00,he,,derek,01/14/2014 8:26:01,
06R0045:0004507,06R0045:0004508,v00,we,,derek,01/14/2014 8:39:36,
06R0045:0004512,06R0045:0004506,v00,fuzzy_cl,7,derek,01/14/2014 8:39:36,
06R0046:0004608,06R0046:0004603,v00,he,,derek,01/14/2014 8:39:36,
06R0046:0004609,06R0046:0004611,v00,he,,derek,01/14/2014 8:39:36,
06R0047:0004702,06R0047:0004707,v00,fuzzy_cl,11,derek,01/14/2014 8:39:36,
06R0047:0004706,06R0047:0004704,v00,tqe,,derek,01/14/2014 8:39:36,
06R0048:0004809,06R0048:0004806,v00,we,,derek,01/14/2014 8:39:36,
06R0049:0004905,06R0049:0004901,v00,he,,derek,01/14/2014 8:39:36,
06R0050:0005008,06R0050:0005009,v00,tqe,,derek,01/14/2014 8:39:36,
06R0053:0005309,06R0053:0005302,v00,tqe,,derek,01/14/2014 8:39:36,
06R0053:0005312,06R0053:0005311,v00,tqe,,derek,01/14/2014 8:39:36,
06R0054:0005407,06R0054:0005401,v00,tqe,,derek,01/14/2014 8:39:36,
06R0055:0005502,06R0055:0005508,v00,tqe,,derek,01/14/2014 8:39:36,
06R0055:0005508,06R0055:0005502,v00,tqe,,derek,01/14/2014 8:39:36,
06R0056:0005605,06R0056:0005609,v00,we,,derek,01/14/2014 8:39:36,
06R0057:0005705,06R0057:0005702,v00,we,,derek,01/14/2014 8:39:36,
06R0057:0005707,06R0057:0005703,v00,tqe,,derek,01/14/2014 8:39:36,
06R0057:0005710,06R0057:0005704,v00,he,,derek,01/14/2014 8:39:36,
06R0058:0005808,06R0058:0005809,v00,he,,derek,01/14/2014 8:39:36,
06R0058:0005812,06R0058:0005804,v00,he,,derek,01/14/2014 8:39:36,
06R0059:0005903,06R0059:0005914,v00,we,,derek,01/14/2014 8:39:36,
06R0060:0006001,06R0060:0006003,v00,fuzzy_cl,24,derek,01/14/2014 8:39:36,
06R0060:0006005,06R0060:0006008,v00,qe,,derek,01/14/2014 8:39:36,
06R0060:0006009,06R0060:0006010,v00,he,,derek,01/14/2014 8:39:36,
06R0060:0006012,06R0060:0006014,v00,qe,,derek,01/14/2014 8:39:36,
06R0061:0006102,06R0061:0006104,v00,we,,derek,01/14/2014 8:39:36,
06R0061:0006111,06R0061:0006115,v00,tqe,,derek,01/14/2014 8:39:36,
06R0063:0006305,06R0063:0006303,v00,ee,,derek,01/14/2014 8:39:36,
06R0064:0006403,06R0064:0006405,v00,he,,derek,01/14/2014 8:53:35,
06R0064:0006410,06R0064:0006408,v00,he,,derek,01/14/2014 8:53:35,
06R0065:0006508,06R0065:0006505,v00,qe,,derek,01/14/2014 8:53:35,
06R0065:0006509,06R0065:0006510,v00,fuzzy_cl,18,derek,01/14/2014 8:53:35,
06R0066:0006607,06R0066:0006601,v00,qe,,derek,01/14/2014 8:53:35,
06R0068:0006801,06R0068:0006805,v00,fuzzy_cl,4,derek,01/14/2014 7:38:29,
06R0068:0006808,06R0068:0006811,v00,he,,derek,01/14/2014 8:53:35,
06R0069:0006910,06R0069:0006908,v00,qe,,derek,01/14/2014 8:53:35,
06R0069:0006913,06R0069:0006906,v00,qe,,derek,01/14/2014 8:53:35,
06R0070:0007001,06R0070:0007003,v00,he,,derek,01/14/2014 8:53:35,
06R0070:0007008,06R0070:0007004,v00,tqe,,derek,01/14/2014 8:53:35,
06R0070:0007013,06R0070:0007011,v00,he,,derek,01/14/2014 8:53:35,
06R0072:0007201,06R0072:0007205,v00,tqe,,derek,01/14/2014 8:53:35,
06R0072:0007202,06R0072:0007206,v00,tqe,,derek,01/14/2014 8:53:35,
06R0072:0007210,06R0072:0007207,v00,qe,,derek,01/14/2014 8:53:35,
06R0074:0007401,06R0074:0007408,v00,tqe,,derek,01/14/2014 8:53:35,
06R0074:0007409,06R0074:0007414,v00,fuzzy_cl,7,derek,01/14/2014 8:53:35,
06R0075:0007501,06R0075:0007501,v00,fuzzy_cl,7,derek,01/14/2014 9:33:33,
06R0078:0007808,06R0078:0007807,v00,fuzzy_cl,27,derek,01/14/2014 8:53:35,
06R0007:0000711,06R007:0000709,v00,he,,derek,01/14/2014 9:06:54,
06R0082:0008205,06R0082:0008203,v00,fuzzy_cl,4,derek,01/14/2014 8:53:35,
06R0083:0008303,06R0083:0008302,v00,fuzzy_cl,1,derek,01/14/2014 8:53:35,
06R0091:0009101,06R0091:0009108,v00,we,,derek,01/14/2014 8:53:35,
06R0091:0009105,06R0091:0009104,v00,we,,derek,01/14/2014 8:53:35,
06R0091:0009112,06R0091:0009110,v00,tqe,,derek,01/14/2014 8:53:35,
06R0094:0009401,06R0094:0009406,v00,ee,,derek,01/14/2014 8:53:35,
06R0094:0009404,06R0094:0009404,v00,qe,,derek,01/14/2014 8:53:35,
06R0094:0009408,06R0094:0009412,v00,he,,derek,01/14/2014 8:53:35,
06R0105:0010501,06R0105:0010503,v00,he,,derek,01/14/2014 8:53:35,
06R0106:0010610,06R0106:0010607,v00,he,,derek,01/14/2014 8:53:35,
06R0106:0010612,06R0106:0010613,v00,qe,,derek,01/14/2014 8:53:35,
06R0109:0010908,06R0109:0010912,v00,fuzzy_cl,15,derek,01/14/2014 8:53:35,
06R0110:0011003,06R0111:0011007,v00,fuzzy_cl,1,derek,01/14/2014 8:53:35,
06R0110:0011005,06R0110:0011003,v00,qe,,derek,01/14/2014 8:53:35,
06R0111:0011102,06R0111:0011104,v00,fuzzy_cl,5,derek,01/14/2014 8:53:35,
06R0111:0011106,06R0111:0011108,v00,fuzzy_cl,2,derek,01/14/2014 8:53:35,
06R0111:0011107,06R0111:0011112,v00,fuzzy_cl,4,derek,01/14/2014 8:53:35,
06R0112:0011206,06R0112:0011208,v00,qe,,derek,01/14/2014 8:53:35,
06R0112:0011209,06R0112:0011206,v00,fuzzy_cl,4,derek,01/14/2014 8:53:35,
06R200:S00I0113,06R0078:0007808,v00,fuzzy_cl,3,derek,01/14/2014 9:33:33,
06R200:S00I0115,06R0061:0006106,v00,fuzzy_cl,18,derek,01/14/2014 9:33:33,
06R200:S00I0403,06R0078:0007801,v00,fuzzy_cl,1,derek,01/14/2014 9:33:33,
06R200:S00I1007,06R0038:0003806,v00,fuzzy_cl,2,derek,01/14/2014 9:33:33,
06R200:S00I1010,06R0087:0008710,v00,fuzzy_cl,2,derek,01/14/2014 9:33:33,
06R200:S00I1011,06R0040:0004003,v00,he,,derek,01/14/2014 9:33:33,
06R200:S00I1012,06R0093:0009304,v00,he,,derek,01/14/2014 9:33:33,
06R200:S00I1017,06R0097:0009706,v00,qe,,derek,01/14/2014 9:33:33,
06R200:S00I1105,06R0097:0009707,v00,he,,derek,01/14/2014 9:33:33,
