plantID,datetime,kicked down for light,dead,sacrificed,too slow to cross,observer,plant_fate
12N3743:0001102,01/04/2013 12:00:00,1,0,0,0,toni,
12N3739:0000911,01/04/2013 12:00:00,1,0,0,0,toni,
12N3739:0000910,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001301,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001303,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001312,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001311,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001305,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001404,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001407,01/04/2013 12:00:00,1,0,0,0,toni,
12N3746:0001411,01/04/2013 12:00:00,1,0,0,0,toni,
12N3748:0001607,01/04/2013 12:00:00,1,0,0,0,toni,
12N3748:0001602,01/04/2013 12:00:00,1,0,0,0,toni,
12N3748:0001605,01/04/2013 12:00:00,1,0,0,0,toni,
12N3748:0001604,01/04/2013 12:00:00,1,0,0,0,toni,
12N3406:0011601,01/04/2013 12:00:00,1,0,0,0,toni,
12N3406:0011605,01/04/2013 12:00:00,1,0,0,0,toni,
12N3617:0001706,01/04/2013 12:00:00,1,0,0,0,toni,
12N3617:0001702,01/04/2013 12:00:00,1,0,0,0,toni,
12N3617:0001708,01/04/2013 12:00:00,1,0,0,0,toni,
12N3617:0001711,01/04/2013 12:00:00,1,0,0,0,toni,
12N3617:0001710,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001801,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004504,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004502,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004506,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004508,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004510,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001803,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001806,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001811,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001808,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001809,01/04/2013 12:00:00,1,0,0,0,toni,
12N3875:0001903,01/04/2013 12:00:00,1,0,0,0,toni,
12N3875:0001901,01/04/2013 12:00:00,1,0,0,0,toni,
12N3874:0001805,01/04/2013 12:00:00,1,0,0,0,toni,
12N3876:0002003,01/04/2013 12:00:00,1,0,0,0,toni,
12N3876:0002006,01/04/2013 12:00:00,1,0,0,0,toni,
12N3876:0002009,01/04/2013 12:00:00,1,0,0,0,toni,
12N3876:0002010,01/04/2013 12:00:00,1,0,0,0,toni,
12N3877:0002103,01/04/2013 12:00:00,1,0,0,0,toni,
12N3877:0002105,01/04/2013 12:00:00,1,0,0,0,toni,
12N3877:0002106,01/04/2013 12:00:00,1,0,0,0,toni,
12N3877:0002108,01/04/2013 12:00:00,1,0,0,0,toni,
12N3877:0002110,01/04/2013 12:00:00,1,0,0,0,toni,
12N1932:0002305,01/04/2013 12:00:00,1,0,0,0,toni,
12N1932:0002306,01/04/2013 12:00:00,1,0,0,0,toni,
12N1932:0002309,01/04/2013 12:00:00,1,0,0,0,toni,
12N3880:0002602,01/04/2013 12:00:00,1,0,0,0,toni,
12N3881:0002709,01/04/2013 12:00:00,1,0,0,0,toni,
12N3881:0002708,01/04/2013 12:00:00,1,0,0,0,toni,
12N3881:0002706,01/04/2013 12:00:00,1,0,0,0,toni,
12N3883:0002903,01/04/2013 12:00:00,1,0,0,0,toni,
12N3888:0003903,01/04/2013 12:00:00,1,0,0,0,toni,
12N3888:0003901,01/04/2013 12:00:00,1,0,0,0,toni,
12N3888:0003904,01/04/2013 12:00:00,1,0,0,0,toni,
12N3889:0004011,01/04/2013 12:00:00,1,0,0,0,toni,
12N3889:0004006,01/04/2013 12:00:00,1,0,0,0,toni,
12N3889:0004010,01/04/2013 12:00:00,1,0,0,0,toni,
12N3729:0004507,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004702,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004705,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004704,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004713,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004710,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004802,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004109,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004110,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004106,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004212,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004207,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004804,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004810,01/04/2013 12:00:00,1,0,0,0,toni,
12N3737:0004811,01/04/2013 12:00:00,1,0,0,0,toni,
12N3399:0008010,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004204,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004211,01/04/2013 12:00:00,1,0,0,0,toni,
12N3399:0008011,01/04/2013 12:00:00,1,0,0,0,toni,
12N3399:0008007,01/04/2013 12:00:00,1,0,0,0,toni,
12N3399:0008005,01/04/2013 12:00:00,1,0,0,0,toni,
12N3506:0004209,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004301,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004303,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004304,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004306,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004410,01/04/2013 12:00:00,1,0,0,0,toni,
12N3509:0004408,01/04/2013 12:00:00,1,0,0,0,toni,
12N3399:0008002,01/04/2013 12:00:00,1,0,0,0,toni,
12N3883:0002901,01/04/2013 12:00:00,0,1,0,0,wade,
12N3883:0002910,01/04/2013 12:00:00,0,1,0,0,toni,
12N3883:0002909,01/04/2013 12:00:00,0,1,0,0,toni,
