plantID,kicked down for light,sacrificed,dead,too slow to cross,observer,datetime,plant_fate
12N3743:0001102,1,0,0,0,toni,01/04/2013 12:00:00,
12N3739:0000911,1,0,0,0,toni,01/04/2013 12:00:00,
12N3739:0000910,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001301,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001303,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001312,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001311,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001305,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001404,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001407,1,0,0,0,toni,01/04/2013 12:00:00,
12N3746:0001411,1,0,0,0,toni,01/04/2013 12:00:00,
12N3748:0001607,1,0,0,0,toni,01/04/2013 12:00:00,
12N3748:0001602,1,0,0,0,toni,01/04/2013 12:00:00,
12N3748:0001605,1,0,0,0,toni,01/04/2013 12:00:00,
12N3748:0001604,1,0,0,0,toni,01/04/2013 12:00:00,
12N3406:0011601,1,0,0,0,toni,01/04/2013 12:00:00,
12N3406:0011605,1,0,0,0,toni,01/04/2013 12:00:00,
12N3617:0001706,1,0,0,0,toni,01/04/2013 12:00:00,
12N3617:0001702,1,0,0,0,toni,01/04/2013 12:00:00,
12N3617:0001708,1,0,0,0,toni,01/04/2013 12:00:00,
12N3617:0001711,1,0,0,0,toni,01/04/2013 12:00:00,
12N3617:0001710,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001801,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004504,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004502,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004506,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004508,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004510,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001803,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001806,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001811,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001808,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001809,1,0,0,0,toni,01/04/2013 12:00:00,
12N3875:0001903,1,0,0,0,toni,01/04/2013 12:00:00,
