plantID,kicked down for light,sacrificed,dead,too slow to cross,observer,datetime,plant_fate
12N3875:0001901,1,0,0,0,toni,01/04/2013 12:00:00,
12N3874:0001805,1,0,0,0,toni,01/04/2013 12:00:00,
12N3876:0002003,1,0,0,0,toni,01/04/2013 12:00:00,
12N3876:0002006,1,0,0,0,toni,01/04/2013 12:00:00,
12N3876:0002009,1,0,0,0,toni,01/04/2013 12:00:00,
12N3876:0002010,1,0,0,0,toni,01/04/2013 12:00:00,
12N3877:0002103,1,0,0,0,toni,01/04/2013 12:00:00,
12N3877:0002105,1,0,0,0,toni,01/04/2013 12:00:00,
12N3877:0002106,1,0,0,0,toni,01/04/2013 12:00:00,
12N3877:0002108,1,0,0,0,toni,01/04/2013 12:00:00,
12N3877:0002110,1,0,0,0,toni,01/04/2013 12:00:00,
12N1932:0002305,1,0,0,0,toni,01/04/2013 12:00:00,
12N1932:0002306,1,0,0,0,toni,01/04/2013 12:00:00,
12N1932:0002309,1,0,0,0,toni,01/04/2013 12:00:00,
12N3880:0002602,1,0,0,0,toni,01/04/2013 12:00:00,
12N3881:0002709,1,0,0,0,toni,01/04/2013 12:00:00,
12N3881:0002708,1,0,0,0,toni,01/04/2013 12:00:00,
12N3881:0002706,1,0,0,0,toni,01/04/2013 12:00:00,
12N3883:0002903,1,0,0,0,toni,01/04/2013 12:00:00,
12N3888:0003903,1,0,0,0,toni,01/04/2013 12:00:00,
12N3888:0003901,1,0,0,0,toni,01/04/2013 12:00:00,
12N3888:0003904,1,0,0,0,toni,01/04/2013 12:00:00,
12N3889:0004011,1,0,0,0,toni,01/04/2013 12:00:00,
12N3889:0004006,1,0,0,0,toni,01/04/2013 12:00:00,
12N3889:0004010,1,0,0,0,toni,01/04/2013 12:00:00,
12N3729:0004507,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004702,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004705,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004704,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004713,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004710,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004802,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004109,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004110,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004106,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004212,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004207,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004804,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004810,1,0,0,0,toni,01/04/2013 12:00:00,
12N3737:0004811,1,0,0,0,toni,01/04/2013 12:00:00,
12N3399:0008010,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004204,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004211,1,0,0,0,toni,01/04/2013 12:00:00,
12N3399:0008011,1,0,0,0,toni,01/04/2013 12:00:00,
12N3399:0008007,1,0,0,0,toni,01/04/2013 12:00:00,
12N3399:0008005,1,0,0,0,toni,01/04/2013 12:00:00,
12N3506:0004209,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004301,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004303,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004304,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004306,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004410,1,0,0,0,toni,01/04/2013 12:00:00,
12N3509:0004408,1,0,0,0,toni,01/04/2013 12:00:00,
12N3399:0008002,1,0,0,0,toni,01/04/2013 12:00:00,
12N3883:0002901,0,0,1,0,wade,01/04/2013 12:00:00,
12N3883:0002910,0,0,1,0,toni,01/04/2013 12:00:00,
12N3883:0002909,0,0,1,0,toni,01/04/2013 12:00:00,
