11N305:W0030810,11N3192:0013803,
11N305:W0039501,11N3192:0013810,
12R405:M0008203,12R3645:0030503,
12R405:M0010820,12R3242:0030209,
14R205:S0000215,14R4229:0009701,
15R4340:0006601,15R4340:0006601,
15R4370:0006703,15R4370:0006703,
15R205:S0002306,15R4403:0015507,
15R305:W0000701,15R4363:0017408,
15R305:W0000704,15R4363:0017408,
15R305:W0000906,15R4351:0010005,
15R305:W0003003,15R4402:0015101,
15R405:M0001101,15R4353:0011002,
15R405:M0001101,15R4353:0011002,
15R405:M0001310,15R4401:0014902,
15R405:M0001619,15R1715:0015202,
15R405:M0003307,15R2931:0016704,
15R405:M0003505,15R0685:0009103,
15R405:M0003507,15R0685:0009107,
16R4466:0004206,16R4466:0004206,
16R4466:0004207,16R4466:0004207,
16R4466:0004213,16R4466:0004213,
16R4484:0006011,16R4484:0006011,
16R4484:0006012,16R4484:0006012,
16R4488:0006401,16R4488:0006401,
16R4488:0006403,16R4488:0006403,
16R4488:0006404,16R4488:0006404,
16R4488:0006409,16R4488:0006409,
16R4488:0006414,16R4488:0006414,
16R4086:0007611,16R4086:0007610,
16R6880:0014805,16R6880:0014805,
16R6880:0014805,16R6880:0014805,
16R6890:0014910,16R6890:0014910,
16R6890:0014913,16R6890:0014913,
16R6910:0015109,16R6910:0015109,
16R205:S0001102,16R4507:0010903,
16R205:S0001103,16R6970:0015710,
16R205:S0001105,16R4507:0010905,
16R205:S0001301,16R4390:0010611,
16R205:S0001314,16R4478:0005401,
16R205:S0002612,16R6930:0015304,
16R205:S0002715,16R4519:0012802,
16R305:W0001405,16R4467:0004307,
16R305:W0001408,16R4470:0004603,
16R305:W0001411,16R4393:0009910,
16R305:W0001412,16R4393:0009908,
16R305:W0001414,16R4393:0009904,
16R305:W0001506,16R4473:0004904,
16R305:W0001509,16R4473:0004904,
16R305:W0001510,16R4468:0004403,
16R305:W0001511,16R4473:0004903,
16R305:W0001611,16R4477:0005310,
16R305:W0001612,16R4477:0005303,
16R305:W0002906,16R4499:0009614,
16R305:W0002911,16R4499:0009614,
16R305:W0003002,16R4499:0009607,
16R305:W0003004,16R4520:0012909,
16R305:W0003006,16R4520:0012908,
16R305:W0003008,16R4520:0012908,
16R305:W0003012,16R4526:0013504,
16R305:W0003018,16R4526:0013508,
16R405:M0000808,16R4298:0012403,
16R405:M0000812,16R4027:0012203,
16R405:M0001704,16R4477:0005305,
16R405:M0001705,16R4468:0004411,
16R405:M0001706,16R4468:0004411,
16R405:M0001708,16R4477:0005303,
16R405:M0001711,16R4477:0005309,
16R405:M0001712,16R4515:0011903,
16R405:M0001713,16R4477:0005310,
16R405:M0001802,16R4515:0011904,
16R405:M0001804,16R4516:0012008,
16R405:M0001807,16R4515:0011901,
16R405:M0001811,16R4356:0010005,
16R405:M0002006,16R4516:0012008,
16R405:M0002103,16R4516:0012007,
16R405:M0002105,16R4516:0012007,
16R405:M0002213,16R4496:0009201,
16R405:M0003105,16R4483:0005906,
16R405:M0003204,16R4531:0014008,
16R405:M0003306,16R4399:0012502,
16R505:B0002408,16R4227:0006601,
16R0687:0014701,16R0687:0014701,
16R0688:0014804,16R0688:0014804,
16R0688:0014805,16R0688:0014805,
16R0688:0014805,16R0688:0014805,
16R0689:0014903,16R0689:0014903,
16R0689:0014910,16R0689:0014910,
16R0689:0014913,16R0689:0014913,
16R0691:0015107,16R0691:0015107,
16R0691:0015109,16R0691:0015109,
16R0693:0015303,16R0693:0015303,
16R0693:0015304,16R0693:0015304,
16R0693:0015306,16R0693:0015306,
16R0693:0015309,16R0693:0015309,
16R0698:0015804,16R0698:0015804,
16R0698:0015811,16R0698:0015811,
16R0699:0015908,16R0699:0015908,
16R0699:0015909,16R0699:0015909,
16R0702:0016201,16R0702:0016201,
16R205:S0000603,16R0691:0015106,
16R205:S0000606,16R0687:0014701,
16R205:S0001103,16R0697:0015710,
16R205:S0001111,16R0698:0015802,
16R205:S0001113,16R0698:0015801,
16R205:S0001306,16R0697:0015711,
16R205:S0002602,16R0697:0015711,
16R205:S0002603,16R0697:0015711,
16R205:S0002604,16R0687:0014708,
16R205:S0002606,16R0687:0014708,
16R205:S0002607,16R0693:0015303,
16R205:S0002608,16R0693:0015303,
16R205:S0002612,16R0693:0015304,
16R205:S0002701,16R0691:0015106,
16R205:S0002714,16R0693:0015309,
16R305:W0000703,16R0687:0014701,
16R305:W0000711,16R0691:0015106,
