09R,205,09R201:S0xxxxxx,09R201:S0xxxxxx,Mo20W,1
09R,305,09R301:W0xxxxxx,09R301:W0xxxxxx,W23,2
09R,405,09R401:M0xxxxxx,09R401:M0xxxxxx,M14,1
