"a4:ad204","found Dec, 2007",,,,,"maternal gtype",,,,,"paternal gtype",,,,,,,,,,,,,,,,,,
"crop","offspring family","ma family","ma num gtype","pa family","pa num gtype","pma ma gma gtype","pma ma gpa gtype","pma pa gma gtype","pma pa mutant","ma quasi","ppa pa gma gtype","ppa ma gpa gtype","ppa pa gma gtype","ppa pa mutant","num bc","num oc","pa quasi","cross date","ear","est cl","counted cl","current cl count","packet","box","sleeve","inventory date","plant 07r","plan","notes"
"06R",,300,"06R300:W112.104",59,"06R0059:0005908","W23","W23","W23","W23",,"+","+","+","Les6-N1451",0,1,"-K5908","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M000I308",97,"06R0097:0009706","M14","M14","M14","M14",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9706","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M000I309",97,"06R0097:0009707","M14","M14","M14","M14",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9707","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0602",40,"06R0040:0004003","M14","M14","M14","M14",,"Les6 NonExp","?","?","Les6 Exp",0,1,"-K4003","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0605",76,"06R0076:0007601","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7601","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0609",76,"06R0076:0007608","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7608","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0610",107,"06R0107:0010708","M14","M14","M14","M14",,"+","nec*-6853","+","nec*-6853",0,1,"-K10708","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0615",107,"06R0107:0010711","M14","M14","M14","M14",,"+","nec*-6853","+","nec*-6853",0,1,"-K10711","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0901",107,"06R0107:0010712","M14","M14","M14","M14",,"+","nec*-6853","+","nec*-6853",0,1,"-K10712","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0903",112,"06R0112:0011201","M14","M14","M14","M14",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11201","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0907",112,"06R0112:0011205","M14","M14","M14","M14",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11205","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0909",112,"06R0112:0011211","M14","M14","M14","M14",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11211","7/24/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I0914",76,"06R0076:0007611","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7611","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I1405",76,"06R0076:0007614","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7614","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I1502",76,"06R0076:0007616","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7616","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I1802",111,"06R0111:0011104","M14","M14","M14","M14",,"M14/W23","vms*-8522","M14/W23","vms*-8522",0,1,"-K11104","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I1812",110,"06R0110:0011003","M14","M14","M14","M14",,"+","{+|spc3-N553C}","+","{+|spc3-N553C}",0,1,"-K11003","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I1813",110,"06R0110:0011002","M14","M14","M14","M14",,"+","{+|spc3-N553C}","+","{+|spc3-N553C}",0,1,"-K11002","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I2110",21,"06R0021:0002104","M14","M14","M14","M14",,"W23","+","W23","Les4",0,1,"-K2104","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I2402",24,"06R0024:0002410","M14","M14","M14","M14",,"W23","+","W23","Les8",0,1,"-K2410","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I2903",82,"06R0082:0008203","M14","M14","M14","M14",,"(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)","(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)",0,1,"-K8203","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3301",54,"06R0054:0005406","M14","M14","M14","M14",,"?","?","?","Les1-N843",0,1,"-K5406","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3308",103,"06R0103:0010307","M14","M14","M14","M14",,"?","?","?","ij2-N8",0,1,"-K10307","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3602",102,"06R0102:0010210","M14","M14","M14","M14",,"(Htn1 ^W22) ","(Htn1 ^W22) ","(Htn1 ^W22) ","(Htn1 ^W22) ",0,1,"-K10210","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3609",60,"06R0060:0006002","M14","M14","M14","M14",,"W23","L317","+","Les7-N1461",0,1,"-K6002","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3610",101,"06R0101:0010101","M14","M14","M14","M14",,"(ht4)","(ht4)","(ht4)","(ht4)",0,1,"-K10101","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3905",61,"06R0061:0006114","M14","M14","M14","M14",,"W23","L317","+","Les8-N2005",0,1,"-K6114","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3907",100,"06R0100:0010002","M14","M14","M14","M14",,"Ht2 ^A619","Ht2 ^A619","Ht2 ^A619","Ht2 ^A619",0,1,"-K10002","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3909",99,"06R0099:0009905","M14","M14","M14","M14",,"B73 Ht1","B73 Ht1","B73 Ht1","B73 Ht1",0,1,"-K9905","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3910",97,"06R0097:0009711","M14","M14","M14","M14",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9711","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3912",61,"06R0061:0006115","M14","M14","M14","M14",,"W23","L317","+","Les8-N2005",0,1,"-K6115","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3914",97,"06R0097:0009709","M14","M14","M14","M14",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9709","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I3915",97,"06R0097:0009708","M14","M14","M14","M14",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9708","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I5010",61,"06R0061:0006106","M14","M14","M14","M14",,"W23","L317","+","Les8-N2005",0,1,"-K6106","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:MI53.303",107,"06R0107:0010701","M14","M14","M14","M14",,"+","nec*-6853","+","nec*-6853",0,1,"-K10701","7/25/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I5403",36,"06R0036:0003601","M14","M14","M14","M14",,"Les1 NonExp","?","?","Les1 Exp",0,1,"-K3601","7/19/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I6101",70,"06R0070:0007012","M14","M14","M14","M14",,"+","M14","+","Les19-N2450",1,0,"-K7012","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I6505",67,"06R0067:0006711","M14","M14","M14","M14",,"W23","M14","+","Les15-N2007",0,1,"-K6711","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I6506",85,"06R0085:0008501","M14","M14","M14","M14",,"B73/AG32","Ht1","+","Les*-N2418",0,1,"-K8501","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I6512",67,"06R0067:0006711","M14","M14","M14","M14",,"W23","M14","+","Les15-N2007",0,1,"-K6711","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7002",54,"06R0054:0005401","M14","M14","M14","M14",,"?","?","?","Les1-N843",0,1,"-K5401","7/16/2006","x",,,,,,,,,,
"06R",,400,"06R400:MI71.204",88,"06R0088:0008804","M14","M14","M14","M14",,"+","les*-3F-3330","+","les*-3F-3330",0,1,"-K8804","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:MI71.205",88,"06R0088:0008802","M14","M14","M14","M14",,"+","les*-3F-3330","+","les*-3F-3330",0,1,"-K8802","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7407",112,"06R0112:0011208","M14","M14","M14","M14",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11208","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7801",95,"06R0095:0009504","M14","M14","M14","M14",,"B73 Ht1","les*-ats","B73 Ht1","les*-ats",0,1,"-K9504","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7803",20,"06R0020:0002003","M14","M14","M14","M14",,"W23","+","W23","Les2",0,1,"-K2003","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7804",94,"06R0094:0009405","M14","M14","M14","M14",,"+","{+|les*-PI251888}","+","{+|les*-PI251888}",0,1,"-K9405","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I7809",91,"06R0091:0009113","M14","M14","M14","M14",,"B73 Ht1","Mo17","+","Les*-NA7145",0,1,"-K9113","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8103",22,"06R0022:0002207","M14","M14","M14","M14",,"W23","+","W23","Les6",0,1,"-K2207","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8107",90,"06R0090:0009001","M14","M14","M14","M14",,"les*-NA467","?","les*-NA467","?",0,1,"-K9001","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8109",23,"06R0023:0002310","M14","M14","M14","M14",,"W23","+","W23","Les7",0,1,"-K2310","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8113",24,"06R0024:0002402","M14","M14","M14","M14",,"W23","+","W23","Les8",0,1,"-K2402","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8403",76,"06R0076:0007604","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7604","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8404",26,"06R0026:0002610","M14","M14","M14","M14",,"W23","+","W23","Les10",0,1,"-K2610","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8410",76,"06R0076:0007616","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7616","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8504",30,"06R0030:0003012","M14","M14","M14","M14",,"W23","+","W23","Les17",0,1,"-K3012","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8505",31,"06R0031:0003102","M14","M14","M14","M14",,"W23","+","W23","Les18",0,1,"-K3102","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8506",31,"06R0031:0003103","M14","M14","M14","M14",,"W23","+","W23","Les18",0,1,"-K3103","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8510",32,"06R0032:0003206","M14","M14","M14","M14",,"W23","+","W23","Les19",0,1,"-K3206","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8511",32,"06R0032:0003208","M14","M14","M14","M14",,"W23","+","W23","Les19",0,1,"-K3208","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8513",33,"06R0033:0003308","M14","M14","M14","M14",,"W23","+","W23","Les21",0,1,"-K3308","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8514",35,"06R0035:0003501","M14","M14","M14","M14",,"W23","+","W23","les23",0,1,"-K3501","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8802",35,"06R0035:0003503","M14","M14","M14","M14",,"W23","+","W23","les23",0,1,"-K3503","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I8806",35,"06R0035:0003506","M14","M14","M14","M14",,"W23","+","W23","les23",0,1,"-K3506","7/15/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I9003",82,"06R0082:0008211","M14","M14","M14","M14",,"(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)","(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)",0,1,"-K8211","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I9601",87,"06R0087:0008706","M14","M14","M14","M14",,"les*-N2502","?","les*-N2502","?",0,1,"-K8706","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I9603",47,"06R0047:0004707","M14","M14","M14","M14",,"Les15 NonExp","?","?","Les15 Exp",0,1,"-K4707","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M00I9606",55,"06R0055:0005515","M14","M14","M14","M14",,"Les2-N845A","+","M14","W23",0,1,"-K5515","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M105.312",87,"06R0087:0008707","M14","M14","M14","M14",,"les*-N2502","?","les*-N2502","?",0,1,"-K8707","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M105.313",59,"06R0059:0005908","M14","M14","M14","M14",,"+","+","+","Les6-N1451",0,1,"-K5908","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M105.405",55,"06R0055:0005515","M14","M14","M14","M14",,"Les2-N845A","+","M14","W23",0,1,"-K5515","7/00/2006","x",,,,,,,,,,
"06R",,400,"06R400:M0I10702",61,"06R0061:0006106","M14","M14","M14","M14",,"W23","L317","+","Les8-N2005",0,1,"-K6106","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M0I10708",102,"06R0102:0010206","M14","M14","M14","M14",,"(Htn1 ^W22) ","(Htn1 ^W22) ","(Htn1 ^W22) ","(Htn1 ^W22) ",0,1,"-K10206","7/17/2006","x",,,,,,,,,,
"06R",,400,"06R400:M0I10805",95,"06R0095:0009504","M14","M14","M14","M14",,"B73 Ht1","les*-ats","B73 Ht1","les*-ats",0,1,"-K9504","7/22/2006","x",,,,,,,,,,
"06R",,400,"06R400:M0I10806",76,"06R0076:0007604","M14","M14","M14","M14",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7604","7/20/2006","x",,,,,,,,,,
"06R",,400,"06R400:M0I10901",78,"06R0078:0007807","M14","M14","M14","M14",,"?/les*-N2013","?","?/les*-N2013","?",0,1,"-K7807","7/20/2006","x",,,,,,,,,,
