06R300:W00I0810,06R0112:0011205,06R300:W00I0810
06R300:W00I1703,06R0035:0003509,06R300:W00I1703
06R300:W00I1713,06R0008:0000802,06R300:W00I1713
06R400:M00I0602,06R0040:0004003,06R400:M00I0602
06R400:M00I0610,06R0107:0010708,06R400:M00I0610
06N201:S0004101,06N1014:0000403,06N201:S0004101
06N201:S0004103,06N1014:0000404,06N201:S0004103
06N201:S0004401,06N1012:0000205,06N201:S0004401
06N201:S0004404,06N1012:0000201,06N201:S0004404
06N201:S0007701,06N1159:0019209,06N201:S0007701
06N201:S0013711,06N1159:0019212,06N201:S0013711
06N201:S0013804,06N1159:0019207,06N201:S0013804
06N201:S0013807,06N1159:0019206,06N201:S0013807
06N201:S0013808,06N1159:0019204,06N201:S0013808
06N201:S0014305,06N1159:0019201,06N201:S0014305
06N301:W0009312,06N1159:0019201,06N301:W0009312
06N301:W0009904,06N1159:0019207,06N301:W0009904
06N301:W0009905,06N1362:0015907,06N301:W0009905
06N301:W0010203,06N1159:0019203,06N301:W0010203
06N301:W0010501,06N1159:0019204,06N301:W0010501
06N301:W0010503,06N1159:0019201,06N301:W0010503
06N301:W0010802,06N1159:0019205,06N301:W0010802
06N301:W0010804,06N1159:0019206,06N301:W0010804
06N301:W0010806,06N1159:0019209,06N301:W0010806
06N301:W0010811,06N1159:0019212,06N301:W0010811
06N301:W0024505,06N1430:0019002,06N301:W0024505
06N301:W0029906,06N1713:0021912,06N301:W0029906
06N301:W0036307,06N1159:0019204,06N301:W0036307
06N301:W0036508,06N1159:0019201,06N301:W0036508
06N401:M0011806,06N1159:0019212,06N401:M0011806
06N401:M0011909,06N1159:0019207,06N401:M0011909
06N401:M0012201,06N1159:0019206,06N401:M0012201
06N401:M0012202,06N1159:0019205,06N401:M0012202
06N401:M0012306,06N1159:0019204,06N401:M0012306
06N401:M0013005,06N1159:0019201,06N401:M0013005
06N401:M0024301,06N1012:0000202,06N401:M0024301
06N401:M0024304,06N1297:0022609,06N401:M0024304
07R201:S0020803,07R2742:0036806,07R201:S0020803
07R201:S0024106,07R0118:0086714,07R201:S0024106
07R201:S0025303,07R2366:0044612,07R201:S0025303
07R201:S0025617,07R2738:0035914,07R201:S0025617
07R201:S0025908,07R2440:0050501,07R201:S0025908
07R201:S0028907,07R2318:0038611,07R201:S0028907
07R301:W0029302,07R0118:0086714,07R301:W0029302
07R401:M0024305,07R2345:0040908,07R401:M0024305
07R401:M0024306,07R0115:0086506,07R401:M0024306
07R401:M0026506,07R0118:0086714,07R401:M0026506
11N205:S0034503,11N3419:0010705,11N205:S0034503
11N205:S0034504,11N3419:0010705,11N205:S0034504
11N305:W0035908,11N3478:0022306,11N305:W0035908
11N305:W0035911,11N3443:0014609,11N305:W0035911
11N405:M0034602,11N3172:0021805,11N405:M0034602
11N405:M0034607,11N3129:0029303,11N405:M0034607
11N405:M0034608,11N3129:0029303,11N405:M0034608
11N405:M0034609,11N3120:0029006,11N405:M0034609
11N405:M0034612,11N3120:0029003,11N405:M0034612
11N501:B0030601,11N3402:0008110,11N501:B0030601
11N501:B0030603,11N501:B0030603,11N501:B0030603
11N501:B0030604,11N501:B0030604,11N501:B0030604
11N501:B0030605,11N3402:0008110,11N501:B0030605
11N501:B0030606,11N501:B0030606,11N501:B0030606
11N501:B0030608,11N3402:0008109,11N501:B0030608
12N504:B0039702,12N3571:0012504,12N504:B0039702
12N657:W0035104,12N658:W0035209,12N657:W0035104
12N657:W0035108,12N657:W0035104,12N657:W0035108
12N657:W0035111,12N657:W0035108,12N657:W0035111
12N658:W0035209,12N657:W0035111,12N658:W0035209
12R205:S0000711,12R3613:0026606,12R205:S0000711
12R205:S0001602,12R3550:0017807,12R205:S0001602
