# this is ../c/maize/data/../../crops/inventory/management/needed_16r_harvest_tags.csv
#
# generated on Thu May 17 23:30:49 CDT 2018
# by ../c/maize/data/data_conversion/patch_num_gtypes.perl using
# ../c/maize/data/../palm/raw_data_from_palms/18r/zeta/15.5/raw.inventory.csv as source.


16R0691:0015106,16R0691:0015106,16R0691:0015106,
16R0692:0015201,16R0692:0015201,16R0692:0015201,
16R405:M0003213,16R4298:0012406,16R405:M0003213,
