14R3966:0011502,14R3966:0011503,14R3966:0011502,11503
14R4089:0011609,14R4089:0011616,14R4089:0011609,11616
14R4089:0011612,14R4089:0011616,14R4089:0011612,11616
14R4090:0011714,14R4090:0011711,14R4090:0011714,11717 or 11711?
14R4090:0011714,14R4090:0011717,14R4090:0011714,11717 or 11711?
14R3980:0012007,14R3980:0012011,14R3980:0012007,12011
14R3980:0012014,14R3980:0012011,14R3980:0012014,12011
14R3983:0012116,14R3983:0012115,14R3983:0012116,12115
14R3616:0012318,14R3616:0012311,14R3616:0012318,12311
14R4261:0012416,14R4261:0012412,14R4261:0012416,12412
14R4261:0012418,14R4261:0012412,14R4261:0012418,12412
14R4094:0012603,14R4094:0012606,14R4094:0012603,12606
14R4094:0012605,14R4094:0012606,14R4094:0012605,12606
14R4094:0012606,14R4094:0012606,14R4094:0012606,14R4094:0012606
14R3995:0012707,14R3995:0012708,14R3995:0012707,12708
14R4263:0012816,14R4263:0012810,14R4263:0012816,12810
14R4097:0013709,14R4097:0013705,13709,13705
14R4023:0014011,14R4023:0014009,14R4023:0014011,14009
14R4023:0014016,14R4023:0014009,14R4023:0014016,14R4023:0014009
14R3460:0014110,14R3460:0014103,14R3460:0014110,14103
14R3460:0014114,14R3460:0014103,14R3460:0014114,14103
14R3460:0014115,14R3460:0014103,14115,14103
14R4100:0014217,14R4100:0014210,14R4100:0014217,14210
14R3647:0014302,14R3647:0014316,14R3647:0014302,14R3647:0014316
14R3647:0014312,14R3647:0014316,14312,14R3647:0014316
14R3647:0014317,14R3647:0014316,14R3647:0014317,14316
14R4036:0014401,14R4036:0014408,14401,14408
14R4036:0014409,14R4036:0014408,14R4036:0014409,14R4036:0014408
14R4267:0014614,14R4267:0014611,14R4267:0014614,14R4267:0014611
14R4038:0014705,14R4038:0014713,14705,14R4038:0014713
14R4038:0014713,14R4038:0014713,14717,14R4038:0014713
14R4038:0014715,14R4038:0014713,14R4038:0014715,14713
14R3656:0014802,14R3656:0014806,14R3656:0014802,14R3656:0014806
14R3656:0014813,14R3656:0014806,14813,14R3656:0014806
14R3656:0014817,14R3656:0014806,14817,14R3656:0014806
14R3656:0014818,14R3656:0014806,14818,14R3656:0014806
14R3656:0014819,14R3656:0014806,14819,14R3656:0014806
14R4269:0015009,14R4269:0015007,15009,14R4269:0015007
14R4269:0015013,14R4269:0015007,15013,14R4269:0015007
14R4269:0015015,14R4269:0015007,15015,14R4269:0015007
14R4269:0015018,14R4269:0015007,14R4269:0015018,15007???
