plantID,sample num,datetime,observer,tissue_collectn
17R4578:0017401,e03440,08/02/2017 16:32:00,avi,
17R4544:0017812,e03441,08/02/2017 16:55:00,avi,
17R4544:0017812:0017802,e03442,08/02/2017 16:55:00,avi,
17R4547:0018305,e03443,08/02/2017 16:55:00,avi,
17R4545:0018107,e03444,08/02/2017 16:55:00,avi,
17R4522:0019426,e03445,08/02/2017 16:55:00,avi,
17R4011:0018002,e03446,08/02/2017 16:55:00,avi,
17R4011:0018010,e03447,08/02/2017 16:55:00,avi,
17R4545:0018105,e03448,08/02/2017 16:55:00,avi,
17R4543:0017909,e03449,08/02/2017 16:55:00,avi,
17R4546:0018203,e03450,08/02/2017 19:27:00,avi,
17R4569:0018711,e03451,08/02/2017 19:27:00,avi,
17R4011:0018006,e03452,08/02/2017 19:27:00,avi,
17R4518:0018408,e03453,08/02/2017 19:27:00,avi,
17R4568:0018603,e03454,08/02/2017 19:27:00,avi,
17R4518:0018416,e03455,08/02/2017 19:27:00,avi,
17R4546:0018201,e03456,08/02/2017 19:27:00,avi,
17R4546:0018205,e03457,08/02/2017 19:27:00,avi,
17R4566:0019208,e03458,08/02/2017 19:27:00,avi,
17R4522:0019406,e03459,08/02/2017 19:27:00,avi,
17R4567:0019524,e03460,08/02/2017 19:27:00,avi,
17R0686:0019306,e03461,08/02/2017 19:27:00,avi,
17R4524:0019609,e03462,08/02/2017 19:27:00,avi,
17R4570:0019003,e03463,08/02/2017 19:27:00,avi,
17R4566:0019212,e03464,08/02/2017 19:27:00,avi,
17R4566:0019215,e03465,08/02/2017 19:27:00,avi,
17R4566:0019216,e03466,08/02/2017 19:27:00,avi,
17R4565:0019114,e03467,08/02/2017 19:27:00,avi,
17R4567:0019517,e03468,08/02/2017 19:27:00,avi,
17R4569:0018706,e03469,08/02/2017 19:27:00,avi,
17R0686:0019302,e03470,08/02/2017 19:27:00,avi,
17R4567:0019510,e03471,08/02/2017 19:27:00,avi,
17R4569:0018706:0018712,e03472,08/02/2017 19:27:00,avi,
17R4566:0019203,e03473,08/02/2017 19:27:00,avi,
17R4569:0018706:0018709,e03474,08/02/2017 19:27:00,avi,
17R4547:0018304,e03475,08/02/2017 19:27:00,avi,
17R4566:0019209,e03476,08/02/2017 19:27:00,avi,
17R4566:0019213,e03477,08/02/2017 19:27:00,avi,
17R4524:0019603,e03478,08/02/2017 19:27:00,avi,
17R4568:0018611,e03479,08/02/2017 20:13:00,avi,
17R4567:0019523,e03480,08/02/2017 20:13:00,avi,
17R4522:0019419,e03481,08/02/2017 20:13:00,avi,
17R4525:0018501,e03482,08/02/2017 20:13:00,avi,
17R4565:0019102,e03483,08/02/2017 20:13:00,avi,
17R4543:0017914,e03484,08/02/2017 20:13:00,avi,
17R4522:0019425,e03485,08/02/2017 20:13:00,avi,
17R4543:0017901,e03486,08/02/2017 20:13:00,avi,
