plantID,sample num,datetime,observer,tissue_collectn
17R4578:0017401,e03440,8/2/17 4:32 PM,avi,
17R4544:0017812,e03441,8/2/17 4:55 PM,avi,
17R4544:0017812:0017802,e03442,8/2/17 4:55 PM,avi,
17R4547:0018305,e03443,8/2/17 4:55 PM,avi,
17R4545:0018107,e03444,8/2/17 4:55 PM,avi,
17R4522:0019426,e03445,8/2/17 4:55 PM,avi,
17R4011:0018002,e03446,8/2/17 4:55 PM,avi,
17R4011:0018010,e03447,8/2/17 4:55 PM,avi,
17R4545:0018105,e03448,8/2/17 4:55 PM,avi,
17R4543:0017909,E03449,8/2/17 4:55 PM,avi,
17R4546:0018203,E03450,8/2/17 7:27 PM,avi,
17R4569:0018711,e03451,8/2/17 7:27 PM,avi,
17R4011:0018006,e03452,8/2/17 7:27 PM,avi,
17R4518:0018408,e03453,8/2/17 7:27 PM,avi,
17R4568:0018603,e03454,8/2/17 7:27 PM,avi,
17R4518:0018416,e03455,8/2/17 7:27 PM,avi,
17R4546:0018201,e03456,8/2/17 7:27 PM,avi,
17R4546:0018205,e03457,8/2/17 7:27 PM,avi,
17R4566:0019208,e03458,8/2/17 7:27 PM,avi,
17R4522:0019406,e03459,8/2/17 7:27 PM,avi,
17R4567:0019524,e03460,8/2/17 7:27 PM,avi,
17R0686:0019306,e03461,8/2/17 7:27 PM,avi,
17R4524:0019609,e03462,8/2/17 7:27 PM,avi,
17R4570:0019003,e03463,8/2/17 7:27 PM,avi,
17R4566:0019212,e03464,8/2/17 7:27 PM,avi,
17R4566:0019215,e03465,8/2/17 7:27 PM,avi,
17R4566:0019216,e03466,8/2/17 7:27 PM,avi,
17R4565:0019114,e03467,8/2/17 7:27 PM,avi,
17R4567:0019517,e03468,8/2/17 7:27 PM,avi,
17R4569:0018706,e03469,8/2/17 7:27 PM,avi,
17R0686:0019302,e03470,8/2/17 7:27 PM,avi,
17R4567:0019510,e03471,8/2/17 7:27 PM,avi,
17R4569:0018706:0018712,e03472,8/2/17 7:27 PM,avi,
