ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
16R305:W0000714,16R4475:0005105,1,0,0,toni,toni,07/29/2016 11:16:47,
16R305:W0001515,16R4475:0005105,1,0,0,toni,toni,07/29/2016 11:17:24,
16R405:M0003302,16R4482:0005809,0,1,0,toni,toni,07/29/2016 11:43:20,
16R205:S0002702,16R4390:0010605,1,0,0,toni,toni,07/29/2016 11:52:43,
16R205:S0002709,16R4390:0010605,1,0,0,toni,toni,07/29/2016 11:53:18,
16R205:S0002711,16R4507:0010903,1,0,0,toni,toni,07/29/2016 11:10:37,
16R205:S0002710,16R4507:0010905,1,0,0,toni,toni,07/29/2016 11:10:03,
16R205:S0002619,16R4507:0010908,1,0,0,toni,toni,07/29/2016 14:31:32,
16R405:M0003312,16R4027:0012203,1,0,0,toni,toni,07/29/2016 11:44:08,
16R405:M0003309,16R4297:0012305,1,0,0,toni,toni,07/29/2016 11:43:51,
16R405:M0002307,16R4300:0012606,1,0,0,toni,toni,07/29/2016 11:46:19,
16R205:S0002712,16R4519:0012801,1,0,0,toni,toni,07/29/2016 11:10:19,
16R205:S0002715,16R4519:0012802,1,0,0,toni,toni,07/29/2016 11:10:54,
16R205:S0002716,16R4519:0012802,1,0,0,toni,toni,07/29/2016 11:11:12,
16R205:S0002604,16R0687:0014708,1,0,0,toni,toni,07/29/2016 12:13:40,
16R205:S0002606,16R0687:0014708,1,0,0,toni,toni,07/29/2016 12:13:23,
16R205:S0002701,16R0691:0015106,1,0,0,toni,toni,07/29/2016 12:05:19,
16R0693:0015303,16R0693:0015303,1,0,0,toni,toni,07/29/2016 12:00:55,
16R205:S0002607,16R0693:0015303,1,0,0,toni,toni,07/29/2016 12:13:25,
16R205:S0002608,16R0693:0015303,1,0,0,toni,toni,07/29/2016 12:12:36,
16R205:S0002602,16R0697:0015711,1,0,0,toni,toni,07/29/2016 12:14:12,
16R205:S0002603,16R0697:0015711,1,0,0,toni,toni,07/29/2016 12:13:55,
