plantID,datetime,kicked down for light,dead,sacrificed,too slow to cross,observer,plant_fate
11N3115:0025706,01/31/2012 10:56:36,0,0,0,1,amy,
11N3497:0025606,01/31/2012 10:56:50,0,0,0,1,amy,
11N3214:0014410,01/31/2012 11:16:21,0,0,0,1,amy,
11N3448:0015804,01/31/2012 11:57:10,0,0,0,1,amy,
11N3189:0016805,01/31/2012 12:59:33,0,1,0,0,amy,
11N3189:0016810,01/31/2012 12:59:37,0,1,0,0,amy,
11N3270:0018013,01/31/2012 13:16:17,0,1,0,0,amy,
11N3270:0018006,01/31/2012 13:16:19,0,1,0,0,amy,
11N3270:0018007,01/31/2012 13:16:22,0,1,0,0,amy,
11N3242:0018803,01/31/2012 13:22:59,0,1,0,0,amy,
11N3242:0018804,01/31/2012 13:23:04,0,1,0,0,amy,
11N3210:0019907,01/31/2012 14:02:41,1,0,0,0,amy,
11N3297:0020202,01/31/2012 14:09:04,0,1,0,0,amy,
11N3297:0020208,01/31/2012 14:09:07,0,1,0,0,amy,
11N3297:0020210,01/31/2012 14:09:10,0,1,0,0,amy,
