packetID,rowID,ft,observer,datetime,planted
p00001,r00033,20,avi,06/05/2017 10:01:47,
p00001,r00034,20,avi,06/05/2017 10:01:47,"Jun 5, 2017 0:59:32"
p00001,r00035,20,avi,06/05/2017 10:01:47,
p00001,r00036,20,avi,06/05/2017 10:01:47,
p00001,r00037,20,avi,06/05/2017 10:01:47,
p00002,r00038,20,avi,06/05/2017 10:01:47,
p00002,r00039,20,avi,06/05/2017 10:01:47,
p00002,r00040,20,avi,06/05/2017 10:01:47,
p00002,r00041,20,avi,06/05/2017 10:01:47,
p00003,r00042,20,avi,06/05/2017 10:01:47,
p00003,r00043,20,avi,06/05/2017 10:01:47,
p00003,r00044,20,avi,06/05/2017 10:01:47,
p00003,r00045,20,avi,06/05/2017 10:01:47,
p00003,r00046,20,avi,06/05/2017 10:01:47,
p00003,r00047,20,avi,06/05/2017 10:01:47,
p00003,r00048,20,avi,06/05/2017 10:01:47,
p00003,r00049,20,avi,06/05/2017 10:01:47,
p00004,r00050,20,avi,06/05/2017 10:01:47,
p00004,r00051,20,avi,06/05/2017 10:01:47,
p00021,r00059,20,avi,06/05/2017 10:01:47,
p00023,r00061,20,avi,06/05/2017 10:01:47,
p00025,r00063,20,avi,06/05/2017 10:01:47,
p00027,r00065,20,avi,06/05/2017 10:01:47,
p00029,r00067,20,avi,06/05/2017 10:01:47,
p00031,r00069,20,avi,06/05/2017 10:01:47,
p00033,r00071,20,avi,06/05/2017 10:01:47,
p00035,r00073,20,avi,06/05/2017 10:01:47,
p00037,r00075,20,avi,06/05/2017 10:01:47,
p00039,r00077,20,avi,06/05/2017 10:01:47,
p00041,r00079,20,avi,06/05/2017 10:01:47,
p00043,r00081,20,avi,06/05/2017 10:01:47,
p00045,r00083,20,avi,06/05/2017 10:01:47,
p00047,r00085,20,avi,06/05/2017 10:01:47,
p00049,r00087,20,avi,06/05/2017 10:01:47,
p00051,r00089,20,avi,06/05/2017 10:01:47,
p00053,r00091,20,avi,06/05/2017 10:01:47,
p00055,r00093,20,avi,06/05/2017 10:01:47,
p00057,r00095,20,avi,06/05/2017 10:01:47,
p00059,r00097,20,avi,06/05/2017 10:01:47,
p00061,r00099,20,avi,06/05/2017 10:01:47,
p00063,r00101,20,avi,06/05/2017 10:01:47,
p00065,r00103,20,avi,06/05/2017 10:01:47,
p00067,r00105,20,avi,06/05/2017 10:01:47,
p00069,r00107,20,avi,06/05/2017 10:01:47,
p00071,r00109,20,avi,06/05/2017 10:01:47,
p00107,r00145,10,avi,06/05/2017 10:01:47,
p00108,r00146,10,avi,06/05/2017 10:01:47,
p00113,r00151,10,avi,06/05/2017 10:01:47,
p00114,r00152,10,avi,06/05/2017 10:01:47,
p00115,r00153,10,avi,06/05/2017 10:01:47,
p00116,r00154,10,avi,06/05/2017 10:01:47,
p00117,r00155,10,avi,06/05/2017 10:01:47,
p00118,r00156,10,avi,06/05/2017 10:01:47,
p00124,r00162,10,avi,06/05/2017 10:01:47,
p00153,r00191,10,avi,06/05/2017 10:01:47,
p00154,r00192,10,avi,06/05/2017 10:01:47,
p00155,r00193,10,avi,06/05/2017 10:01:47,
p00156,r00194,10,avi,06/05/2017 10:01:47,
p00157,r00195,10,avi,06/05/2017 10:01:47,
p00158,r00196,10,avi,06/05/2017 10:01:47,
p00160,r00198,10,avi,06/05/2017 10:01:47,
p00161,r00199,10,avi,06/05/2017 10:01:47,
p00162,r00200,10,avi,06/05/2017 10:01:47,
p00163,r00201,10,avi,06/05/2017 10:01:47,
p00164,r00202,10,avi,06/05/2017 10:01:47,
p00165,r00203,10,avi,06/05/2017 10:01:47,
p00166,r00204,10,avi,06/05/2017 10:01:47,
p00167,r00205,10,avi,06/05/2017 10:01:47,
p00168,r00206,10,avi,06/05/2017 10:01:47,
p00169,r00207,10,avi,06/05/2017 10:01:47,
p00170,r00208,10,avi,06/05/2017 10:01:47,
p00171,r00209,10,avi,06/05/2017 10:01:47,
p00172,r00210,10,avi,06/05/2017 10:01:47,
p00173,r00211,10,avi,06/05/2017 10:01:47,
p00174,r00212,10,avi,06/05/2017 10:01:47,
p00175,r00213,10,avi,06/05/2017 10:01:47,
p00176,r00214,10,avi,06/05/2017 10:01:47,
p00177,r00215,10,avi,06/05/2017 10:01:47,
p00178,r00216,10,avi,06/05/2017 10:01:47,
p00179,r00217,10,avi,06/05/2017 10:01:47,
p00180,r00218,10,avi,06/05/2017 10:01:47,
p00181,r00219,10,avi,06/05/2017 10:01:47,
p00182,r00220,10,avi,06/05/2017 10:01:47,
p00183,r00221,10,avi,06/05/2017 10:01:47,
p00184,r00222,10,avi,06/05/2017 10:01:47,
p00185,r00223,10,avi,06/05/2017 10:01:47,
p00186,r00224,10,avi,06/05/2017 10:01:47,
p00187,r00225,10,avi,06/05/2017 10:01:47,
p00188,r00226,10,avi,06/05/2017 10:01:47,
p00189,r00227,10,avi,06/05/2017 10:01:47,
p00190,r00228,10,avi,06/05/2017 10:01:47,
p00191,r00229,10,avi,06/05/2017 10:01:47,
p00192,r00230,10,avi,06/05/2017 10:01:47,
p00193,r00231,10,avi,06/05/2017 10:01:47,
p00194,r00232,10,avi,06/05/2017 10:01:47,
p00195,r00233,10,avi,06/05/2017 10:01:47,
p00196,r00234,10,avi,06/05/2017 10:01:47,
p00197,r00235,10,avi,06/05/2017 10:01:47,
p00198,r00236,10,avi,06/05/2017 10:01:47,
p00199,r00237,10,avi,06/05/2017 10:01:47,
p00200,r00238,10,avi,06/05/2017 10:01:47,
p00201,r00239,10,avi,06/05/2017 10:01:47,
p00202,r00240,10,avi,06/05/2017 10:01:47,
,,20,avi,06/05/2017 10:01:47,
90,241,10,avi,06/05/2017 10:01:47,
91,242,10,avi,06/05/2017 10:01:47,
92,243,10,avi,06/05/2017 10:01:47,
93,244,10,avi,06/05/2017 10:01:47,
94,245,10,avi,06/05/2017 10:01:47,
95,246,10,avi,06/05/2017 10:01:47,
96,247,10,avi,06/05/2017 10:01:47,
97,248,10,avi,06/05/2017 12:59:45,
