packetID,rowID,datetime,ft,observer,planted
p00200,r00238,06/05/2017 12:00:00,10,avi,
p00201,r00239,06/05/2017 12:00:00,10,avi,
p00202,r00240,06/05/2017 12:00:00,10,avi,
p00090,r00241,06/05/2017 10:01:47,10,avi,
p00091,r00242,06/05/2017 10:01:47,10,avi,
p00092,r00243,06/05/2017 10:01:47,10,avi,
p00093,r00244,06/05/2017 10:01:47,10,avi,
p00094,r00245,06/05/2017 10:01:47,10,avi,
p00095,r00246,06/05/2017 10:01:47,10,avi,
p00096,r00247,06/05/2017 10:01:47,10,avi,
p00097,r00248,06/05/2017 12:59:45,10,avi,
