rowID,num_emerged,num_wild_type,num_mutant,ave_leaf_num,healthy,datetime,other_phe,observer,row_status
r00001,71,71,0,10,71,06/28/2017 13:00:00,,toni,
r00002,78,78,0,10,78,06/28/2017 13:00:00,,toni,
r00003,76,76,0,9,76,06/28/2017 13:00:00,,toni,
r00004,77,77,0,9,77,06/28/2017 13:00:00,,toni,
r00005,80,80,0,9,80,06/28/2017 13:00:00,,toni,
r00006,72,72,0,11,72,06/28/2017 13:00:00,,toni,
r00007,68,68,0,10,68,06/28/2017 13:00:00,,toni,
r00008,67,67,0,10,67,06/28/2017 13:00:00,,toni,
r00009,60,60,0,10,60,06/28/2017 13:00:00,,toni,
r00010,72,72,0,11,72,06/28/2017 13:00:00,,toni,
r00011,17,17,0,10,17,06/28/2017 13:00:00,,toni,
r00012,20,20,0,11,20,06/28/2017 13:00:00,,toni,
r00013,18,18,0,11,18,06/28/2017 13:00:00,,toni,
r00014,18,18,0,12,18,06/28/2017 13:00:00,,toni,
r00015,18,18,0,11,18,06/28/2017 13:00:00,,toni,
r00016,26,26,0,8,26,06/28/2017 13:00:00,,toni,
r00017,20,20,0,8,20,06/28/2017 13:00:00,,toni,
r00018,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00019,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00020,17,17,0,9,17,06/28/2017 13:00:00,,toni,
r00021,14,14,0,8,14,06/28/2017 13:00:00,,toni,
r00022,16,16,0,8,16,06/28/2017 13:00:00,,toni,
r00023,15,15,0,9,15,06/28/2017 13:00:00,,toni,
r00024,15,15,0,9,15,06/28/2017 13:00:00,,toni,
r00025,13,13,0,8,13,06/28/2017 13:00:00,,toni,
r00026,12,12,0,7,12,06/28/2017 13:00:00,,toni,
r00027,16,16,0,8,16,06/28/2017 13:00:00,,toni,
r00028,18,18,0,10,18,06/28/2017 13:00:00,,toni,
r00029,20,20,0,10,20,06/28/2017 13:00:00,,toni,
r00030,19,19,0,10,19,06/28/2017 13:00:00,,toni,
r00031,13,13,0,10,13,06/28/2017 13:00:00,,toni,
r00032,18,18,0,10,18,06/28/2017 13:00:00,,toni,
r00033,18,18,0,9,18,06/28/2017 13:00:00,,toni,
r00034,19,19,0,7,19,06/28/2017 13:00:00,,toni,
r00035,19,19,0,7,19,06/28/2017 13:00:00,,toni,
r00036,17,17,0,9,17,06/28/2017 13:00:00,,toni,
r00037,19,19,0,9,19,06/28/2017 13:00:00,,toni,
r00038,19,19,0,7,19,06/28/2017 13:00:00,,toni,
r00039,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00040,17,17,0,8,17,06/28/2017 13:00:00,,toni,
r00041,15,15,0,7,15,06/28/2017 13:00:00,,toni,
r00042,17,17,0,7,17,06/28/2017 13:00:00,,toni,
r00043,12,12,0,5,12,06/28/2017 13:00:00,,toni,
r00044,17,17,0,7,17,06/28/2017 13:00:00,,toni,
r00045,16,16,0,7,10,06/28/2017 13:00:00,,toni,
r00046,15,15,0,7,14,06/28/2017 13:00:00,,toni,
r00047,14,14,0,6,14,06/28/2017 13:00:00,,toni,
r00048,14,14,0,6,14,06/28/2017 13:00:00,,toni,
r00049,15,15,0,7,15,06/28/2017 13:00:00,,toni,
r00050,17,17,0,7,17,06/28/2017 13:00:00,,toni,
r00051,19,19,0,7,19,06/28/2017 13:00:00,,toni,
r00052,14,14,0,2,14,06/28/2017 13:00:00,,toni,
r00053,11,11,0,2,11,06/28/2017 13:00:00,,toni,
r00054,18,18,0,2,18,06/28/2017 13:00:00,,toni,
r00055,18,18,0,2,18,06/28/2017 13:00:00,,toni,
r00056,16,16,0,2,16,06/28/2017 13:00:00,,toni,
r00057,12,12,0,2,12,06/28/2017 13:00:00,,toni,
r00058,6,6,0,6,6,06/28/2017 13:00:00,,toni,
r00059,9,7,2,7,9,06/28/2017 13:00:00,,toni,
r00060,17,10,7,7,17,06/28/2017 13:00:00,,toni,
r00061,13,5,8,7,13,06/28/2017 13:00:00,,toni,
r00062,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00063,20,19,1,9,20,06/28/2017 13:00:00,,toni,
r00064,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00065,20,20,0,5,20,06/28/2017 13:00:00,,toni,
r00066,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00067,19,19,0,8,19,06/28/2017 13:00:00,,toni,
r00068,13,9,4,8,13,06/28/2017 13:00:00,,toni,
r00069,14,12,2,5,14,06/28/2017 13:00:00,,toni,
r00070,20,20,0,11,20,06/28/2017 13:00:00,,toni,
r00071,18,18,0,7,18,06/28/2017 13:00:00,,toni,
r00072,19,10,9,10,19,06/28/2017 13:00:00,,toni,
r00073,19,8,11,7,19,06/28/2017 13:00:00,,toni,
r00074,20,20,0,10,20,06/28/2017 13:00:00,,toni,
r00075,20,20,0,7,20,06/28/2017 13:00:00,,toni,
r00076,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00077,20,19,1,7,20,06/28/2017 13:00:00,,toni,
r00078,18,15,0,8,18,06/28/2017 13:00:00,3,toni,
r00079,11,9,2,7,11,06/28/2017 13:00:00,,toni,
r00080,18,12,6,8,18,06/28/2017 13:00:00,,toni,
r00081,17,13,4,7,17,06/28/2017 13:00:00,,toni,
r00082,20,20,0,9,20,06/28/2017 13:00:00,,toni,
r00083,19,18,1,8,19,06/28/2017 13:00:00,,toni,
r00084,10,6,4,7,8,06/28/2017 13:00:00,,toni,
r00085,16,9,7,7,16,06/28/2017 13:00:00,,toni,
r00086,18,16,0,9,18,06/28/2017 13:00:00,2,toni,
r00087,20,19,0,7,20,06/28/2017 13:00:00,1,toni,
r00088,18,18,0,8,18,06/28/2017 13:00:00,,toni,
r00089,18,18,0,8,18,06/28/2017 13:00:00,,toni,
r00090,11,6,5,7,11,06/28/2017 13:00:00,,toni,
r00091,15,9,6,6,13,06/28/2017 13:00:00,,toni,
r00092,16,16,0,12,16,06/28/2017 13:00:00,,toni,
r00093,19,19,0,10,19,06/28/2017 13:00:00,,toni,
r00094,15,8,7,8,15,06/28/2017 13:00:00,,toni,
r00095,15,9,4,6,15,06/28/2017 13:00:00,2,toni,
r00096,16,9,6,8,16,06/28/2017 13:00:00,1,toni,
r00097,13,6,7,6,12,06/28/2017 13:00:00,,toni,
r00098,12,4,3,9,12,06/28/2017 13:00:00,3,toni,
r00099,13,13,0,8,13,06/28/2017 13:00:00,,toni,
r00100,9,6,3,7,9,06/28/2017 13:00:00,,toni,
r00101,13,11,2,7,13,06/28/2017 13:00:00,,toni,
r00102,10,4,5,8,9,06/28/2017 13:00:00,1,toni,
r00103,15,8,6,7,15,06/28/2017 13:00:00,1,toni,
r00104,13,12,0,9,13,06/28/2017 13:00:00,1,toni,
r00105,19,9,10,10,19,06/28/2017 13:00:00,,toni,
r00106,17,11,4,9,17,06/28/2017 13:00:00,2,toni,
r00107,19,19,0,7,19,06/28/2017 13:00:00,,toni,
r00108,16,5,9,12,16,06/28/2017 13:00:00,,toni,
r00109,16,11,5,8,16,06/28/2017 13:00:00,,toni,
r00110,21,8,10,8,21,06/28/2017 13:00:00,3,toni,
r00111,35,8,13,7,35,06/28/2017 13:00:00,14,toni,
r00112,25,11,11,6,25,06/28/2017 13:00:00,3,toni,
r00113,28,14,9,4,26,06/28/2017 13:00:00,5,toni,
r00114,27,10,13,6,24,06/28/2017 13:00:00,4,toni,
r00115,35,16,14,6,35,06/28/2017 13:00:00,5,toni,
r00116,36,19,11,9,35,06/28/2017 13:00:00,6,toni,
r00117,32,12,14,9,31,06/28/2017 13:00:00,6,toni,
r00118,21,10,5,6,21,06/28/2017 13:00:00,6,toni,
r00119,20,8,9,6,20,06/28/2017 13:00:00,3,toni,
r00120,30,18,12,6,30,06/28/2017 13:00:00,,toni,
r00121,32,20,12,5,32,06/28/2017 13:00:00,,toni,
r00122,25,9,15,6,24,06/28/2017 13:00:00,1,toni,
r00123,35,17,18,6,33,06/28/2017 13:00:00,,toni,
r00124,24,17,7,5,24,06/28/2017 13:00:00,,toni,
r00125,15,15,0,10,15,06/28/2017 13:00:00,,toni,
r00126,15,15,0,6,15,06/28/2017 13:00:00,,toni,
r00127,14,14,0,9,14,06/28/2017 13:00:00,1,toni,
r00128,10,7,1,9,10,06/28/2017 13:00:00,2,toni,
r00129,8,7,0,12,8,06/28/2017 13:00:00,1,toni,
r00130,15,13,0,9,15,06/28/2017 13:00:00,2,toni,
r00131,10,8,0,10,10,06/28/2017 13:00:00,2,toni,
r00132,14,14,0,10,14,06/28/2017 13:00:00,,toni,
r00133,12,12,0,8,12,06/28/2017 13:00:00,,toni,
r00134,14,12,2,10,14,06/28/2017 13:00:00,,toni,
r00135,11,7,3,8,11,06/28/2017 13:00:00,1,toni,
r00136,13,8,5,10,13,06/28/2017 13:00:00,,toni,
r00137,14,5,9,12,14,06/28/2017 13:00:00,,toni,
r00138,13,12,0,12,13,06/28/2017 13:00:00,1,toni,
r00139,11,11,0,7,11,06/28/2017 13:00:00,,toni,
r00140,6,6,0,9,6,06/28/2017 13:00:00,,toni,
r00141,14,14,0,12,14,06/28/2017 13:00:00,,toni,
r00142,15,15,0,11,15,06/28/2017 13:00:00,,toni,
r00143,15,11,4,8,15,06/28/2017 13:00:00,,toni,
r00144,13,10,2,9,13,06/28/2017 13:00:00,1,toni,
