rowID,num_emerged,num_wild_type,num mutant,ave_leaf_num,healthy,datetime,other phe,observer,row_status
R00133,12,12,0,8,12,06/28/2017 0:00:00,0,toni,
R00134,14,12,2,10,14,06/28/2017 0:00:00,0,toni,
R00135,11,7,3,8,11,06/28/2017 0:00:00,1,toni,
R00136,13,8,5,10,13,06/28/2017 0:00:00,0,toni,
R00137,14,5,9,12,14,06/28/2017 0:00:00,0,toni,
R00138,13,12,0,12,13,06/28/2017 0:00:00, 1,toni,
R00139,11,11,0,7,11,06/28/2017 0:00:00,0,toni,
R00140,6,6,0,9,6,06/28/2017 0:00:00,0,toni,
R00141,14,14,0,12,14,06/28/2017 0:00:00,0,toni,
R00142,15,15,0,11,15,06/28/2017 0:00:00,0,toni,
R00143,15,11,4,8,15,06/28/2017 0:00:00,0,toni,
R00144,13,10,2,9,13,06/28/2017 0:00:00,1,toni,
