plantID,wild_type,lesion,cross,photograph,sample,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
17R4541:0009701,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009702,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009703,0,1,1,1,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009704,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009705,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009706,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009707,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009708,0,1,1,1,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009709,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009710,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009711,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4541:0009712,0,1,1,1,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4555:0009801,1,0,0,0,0,0, , , ,,07/24/2017 0:00:00,toni,
17R4555:0009802,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009803,0,1,1,1,0,0,shorter_by_3_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009804,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009805,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009806,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4555:0009811,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009809,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4555:0009808,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4555:0009810,0,1,1,1,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4555:0009807,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4555:0009812,0,1,0,0,0,0,shorter_by_3_ft, ,no ear,,08/08/2017 9:50:05,toni,
17R4555:0009901,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009902,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009903,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4555:0009904,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009905,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009906,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009907,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009908,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4555:0009909,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009911,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009912,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4555:0009913,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4555:0009910,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4554:0010001,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4554:0010002,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4554:0010003,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4554:0010004,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4554:0010005,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4554:0010006,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,07/27/2017 0:00:00,toni,
17R4554:0010007,1,0,0,0,0,0, , , ,,07/27/2017 0:00:00,toni,
17R4554:0010009,0,1,0,0,0,0,shorter_by_1_ft, ,small ear,,07/27/2017 0:00:00,toni,
17R4554:0010008,0,1,0,0,0,0,shorter_by_1_ft, ,small ear,,07/27/2017 0:00:00,toni,
17R4554:0010101,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010102,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010103,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010104,0,1,0,0,0,0,shorter_by_3_ft,rudimentary tassel,no ear,,06/28/2017 0:00:00,toni,
17R4554:0010105,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010106,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010107,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010108,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4554:0010109,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010110,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010111,0,1,0,0,0,0,shorter_by_2_ft,bad tassel,small ear,,06/28/2017 0:00:00,toni,
17R4554:0010112,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4554:0010113,0,1,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4556:0010201,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010202,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010203,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010204,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010205,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010206,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010208,1,0,0,0,0,0, , ,small ear,,06/28/2017 0:00:00,toni,
17R4556:0010209,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010210,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010301,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010302,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010303,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010304,1,0,0,0,0,0,shorter_by_2_ft, ,no ear,,06/28/2017 0:00:00,toni,
17R4556:0010305,0,1,1,1,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010306,1,0,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
17R4556:0010307,0,1,0,0,0,0, , , ,,06/28/2017 0:00:00,toni,
