ma plantID,pa plantID,ok,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R505:B0002906,17R4534:0010403,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R505:B0002805,17R4453:0008402,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R4616:0012902,17R4616:0012902,0,fuzzy_cl,0,,,09/26/2017 12:00:00,josh
17R505:B0005103,17R4494:0008701,0,fuzzy_cl,0,1,disc; oe,09/26/2017 12:00:00,josh
17R4616:0012909,17R4616:0012909,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R405:M0002101,17R4547:0018305,0,fuzzy_cl,11,,,09/26/2017 12:00:00,josh
17R4494:0008701,17R4494:0008701,0,fuzzy_cl,9,,vlp; oe,09/26/2017 12:00:00,josh
17R405:M0004605,17R4636:0014607,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R405:M0004606,17R4509:0017701,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R405:M0004210,17R4636:0014607,0,fuzzy_cl,0,,disc,09/26/2017 12:00:00,josh
17R4085:0007107,17R4085:0007106,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R4085:0007109,17R4085:0007109,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R4227:0006310,17R4227:0006310,0,we,,1,se; disc,09/26/2017 12:00:00,josh
17R4542:0009505,17R4542:0009409,0,fuzzy_cl,0,,pe,09/26/2017 12:00:00,josh
17R4612:0023513,17R4612:0023513,0,fuzzy_cl,0,,bagged wrong ear,09/26/2017 12:00:00,josh
17R3946:0006911,17R3946:0006911,0,fuzzy_cl,0,,ue; vye; damaged plant,09/26/2017 12:00:00,josh
17R4541:0009705,17R4541:0009712,0,fuzzy_cl,0,,,09/26/2017 12:00:00,josh
17R3946:0006904,17R3946:0006904,0,fuzzy_cl,0,,pe; poor silk extensn,09/26/2017 12:00:00,josh
17R0688:0023114,17R0688:0023114,0,fuzzy_cl,0,,vlp,09/26/2017 12:00:00,josh
17R4534:0010403,17R4534:0010403,0,fuzzy_cl,0,,vlp,09/26/2017 12:00:00,josh
17R4538:0010807,17R4538:0010807,0,fuzzy_cl,0,,,09/26/2017 12:00:00,josh
17R4227:0006313,17R4227:0006317,0,we,,1,se; we; disc,09/26/2017 12:00:00,josh
17R4494:0008610,17R4494:0008601,0,we,,1,disc,09/26/2017 12:00:00,josh
17R4627:0013811,17R4627:0013811,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R505:B0002807,17R4453:0008402,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
17R4627:0013804,17R4627:0013804,0,fuzzy_cl,0,1,ue; pe; dip,09/26/2017 12:00:00,josh
17R205:S0001105,17R4544:0017802,0,fuzzy_cl,0,1,good ear; disc,09/26/2017 12:00:00,josh
17R4580:0019910,17R4580:0019910,0,fuzzy_cl,0,1,disc,09/26/2017 12:00:00,josh
