sample num,plantID,image num,leaf,camera,observer,datetime,microscopy_sample
e01355,13R3986:0024104,0301,e2,aleph,avi,08/07/2013 17:14:16,
e01214,13R4156:0024207,0160,t-1,aleph,avi,08/07/2013 10:22:19,
e01226,13R4156:0024208,0172,t-1,aleph,avi,08/07/2013 10:45:11,
e01249,13R4157:0024305,0195,t-2,aleph,avi,08/07/2013 11:36:44,
e01245,13R4157:0024306,0191,t-1,aleph,avi,08/07/2013 11:31:58,
e01236,13R4158:0024402,0182,t-1,aleph,avi,08/07/2013 11:08:23,
e01217,13R4158:0024403,0163,t-1,aleph,avi,08/07/2013 10:33:32,
e01360,13R4155:0024407,0306,e5,aleph,avi,08/07/2013 17:35:03,
e01260,13R3715:0024501,0206,e5,aleph,avi,08/07/2013 12:04:10,
e01224,13R3715:0024502,0170,e4,aleph,avi,08/07/2013 10:42:50,
e01218,13R3448:0024702,0164,e5,aleph,avi,08/07/2013 10:34:48,
e01255,13R3448:0024703,0201,e4,aleph,avi,08/07/2013 11:58:12,
e01358,13R4160:0024801,0304,t0,aleph,avi,08/07/2013 17:18:30,
e01267,13R3623:0024901,0213,e4,aleph,avi,08/07/2013 12:12:15,
e01261,13R3623:0024902,0207,t-1,aleph,avi,08/07/2013 12:05:15,
e01233,13R3999:0025106,0179,t-2,aleph,avi,08/07/2013 11:05:11,
e01240,13R3999:0025107,0186,e5,aleph,avi,08/07/2013 11:25:04,
e01269,13R4001:0025201,0215,t-1,aleph,avi,08/07/2013 12:41:02,
e01248,13R4001:0025202,0194,t-1,aleph,avi,08/07/2013 11:35:40,
e01242,13R4001:0025203,0188,e4,aleph,avi,08/07/2013 11:27:37,
e01254,13R4161:0025303,0200,e3,aleph,avi,08/07/2013 11:56:59,
e01241,13R4161:0025304,0187,e2,aleph,avi,08/07/2013 11:26:34,
e01347,13R4162:0025401,0293,e-2,aleph,avi,08/07/2013 16:45:55,
e01346,13R4162:0025402,0292,e-3,aleph,avi,08/07/2013 16:43:21,
e01274,13R3629:0025508,0220,t-1,aleph,avi,08/07/2013 12:47:03,
e01272,13R3629:0025509,0218,t-1,aleph,avi,08/07/2013 12:44:38,
e01273,13R4007:0025601,0219,t-1,aleph,avi,08/07/2013 12:45:51,
e01275,13R4007:0025602,0221,t-1,aleph,avi,08/07/2013 12:48:15,
e01350,13R3631:0025702,0296,t0,aleph,avi,08/07/2013 17:06:45,
e01337,13R3631:0025703,0283,t-1,aleph,avi,08/07/2013 16:25:55,
e01342,13R3631:0025704,0288,e6,aleph,avi,08/07/2013 16:35:34,
e01344,13R3631:0025704,0290,e5,aleph,avi,08/07/2013 16:39:19,
e01281,13R4010:0025801,0227,t-1,aleph,avi,08/07/2013 13:03:36,
e01256,13R4010:0025802,0202,t-1,aleph,avi,08/07/2013 11:59:32,
e01277,13R4011:0026006,0223,t0,aleph,avi,08/07/2013 12:51:51,
e01276,13R4011:0026007,0222,t0,aleph,avi,08/07/2013 12:50:40,
e01280,13R4163:0026106,0226,t0,aleph,avi,08/07/2013 13:02:26,
e01229,13R4163:0026107,0175,t-1,aleph,avi,08/07/2013 11:00:28,
e01341,13R4164:0026203,0287,e0,aleph,avi,08/07/2013 16:33:28,
e01348,13R4164:0026204,0294,e0,aleph,avi,08/07/2013 16:46:58,
e01338,13R4165:0026302,0284,e2,aleph,avi,08/07/2013 16:27:38,
e01349,13R4165:0026303,0295,e2,aleph,avi,08/07/2013 16:48:56,
e01359,13R4166:0026502,0305,t0,aleph,avi,08/07/2013 17:19:45,
e01351,13R4166:0026505,0297,t0,aleph,avi,08/07/2013 17:08:16,
e01227,13R4167:0026601,0173,t-1,aleph,avi,08/07/2013 10:58:26,
e01268,13R4167:0026602,0214,t-1,aleph,avi,08/07/2013 12:13:16,
e01356,13R2868:0026701,0302,t-1,aleph,avi,08/07/2013 17:15:26,
e01357,13R2868:0026702,0303,t-1,aleph,avi,08/07/2013 17:16:52,
e01262,13R3295:0026801,0208,t-1,aleph,avi,08/07/2013 12:06:43,
e01265,13R3295:0026802,0211,t-1,aleph,avi,08/07/2013 12:10:07,
e01352,13R2064:0026905,0298,t0,aleph,avi,08/07/2013 17:09:39,
e01353,13R2064:0026906,0299,t0,aleph,avi,08/07/2013 17:11:08,
e01270,13R4168:0027001,0216,t0,aleph,avi,08/07/2013 12:42:26,
e01279,13R4168:0027002,0225,t0,aleph,avi,08/07/2013 13:01:13,
e01433,13R4169:0027303,0379,e4,aleph,avi,08/07/2013 20:50:08,
e01336,13R4037:0028401,0282,t-3,aleph,avi,08/07/2013 16:19:21,
e01345,13R4037:0028402,0291,t-2,aleph,avi,08/07/2013 16:41:27,
e01340,13R4176:0028501,0286,t-4,aleph,avi,08/07/2013 13:08:20,
e01339,13R4176:0028504,0285,e2,aleph,avi,08/07/2013 16:29:14,
e01247,13R4042:0028602,0193,e2,aleph,avi,08/07/2013 11:34:37,
e01246,13R4042:0028603,0192,e2,aleph,avi,08/07/2013 11:33:20,
e01263,13R4181:0029501,0209,t-2,aleph,avi,08/07/2013 12:07:47,
e01258,13R4181:0029502,0204,t-3,aleph,avi,08/07/2013 12:01:50,
e01278,13R4184:0030003,0224,t0,aleph,avi,08/07/2013 12:53:07,
e01243,13R4184:0030004,0189,t0,aleph,avi,08/07/2013 11:29:22,
e01239,13R3724:0030601,0185,t0,aleph,avi,08/07/2013 11:22:34,
e01264,13R3724:0030602,0210,t0,aleph,avi,08/07/2013 12:09:07,
e01237,13R4187:0030701,0183,e2,aleph,avi,08/07/2013 11:09:28,
e01228,13R4187:0030702,0174,e3,aleph,avi,08/07/2013 10:59:31,
e01244,13R4188:0030801,0190,t-2,aleph,avi,08/07/2013 11:30:56,
e01238,13R4188:0030802,0184,t-1,aleph,avi,08/07/2013 11:10:26,
e01257,13R4189:0030901,0203,e2,aleph,avi,08/07/2013 12:00:49,
e01235,13R4189:0030902,0181,e2,aleph,avi,08/07/2013 11:07:26,
