plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
06310,08/03/2017 08:30:00,1,1,toni,0,0,0,
06317,08/03/2017 08:30:00,1,1,toni,0,0,0,
07106,08/03/2017 08:30:00,1,1,toni,0,0,0,
07109,08/03/2017 08:30:00,1,1,toni,0,0,0,
09308,08/03/2017 08:30:00,1,0,toni,0,0,0,
11002,08/03/2017 08:30:00,1,0,toni,0,0,0,
11012,08/03/2017 08:30:00,1,0,toni,0,0,0,
11020,08/03/2017 08:30:00,1,0,toni,0,0,0,
11128,08/02/2017 15:44:32,1,0,toni,0,0,0,
11132,08/02/2017 15:43:13,1,0,toni,0,0,0,
11508,08/02/2017 15:41:33,1,0,toni,0,0,0,
12019,08/02/2017 15:38:21,1,0,toni,0,0,0,
14607,08/03/2017 08:30:00,1,0,toni,0,0,0,
16411,08/02/2017 15:04:02,1,0,toni,0,0,0,
17604,08/03/2017 08:30:00,1,0,toni,0,0,0,
18711,08/02/2017 15:34:30,1,0,toni,0,0,0,
19003,08/02/2017 15:34:30,1,0,toni,0,0,0,
19208,08/02/2017 15:25:40,1,0,toni,0,0,0,
19209,08/02/2017 15:26:34,1,0,toni,0,0,0,
19212,08/02/2017 15:27:29,1,0,toni,0,0,0,
19215,08/02/2017 15:28:55,1,0,toni,0,0,0,
19302,08/02/2017 15:21:19,1,0,toni,0,0,0,
19306,08/02/2017 15:21:11,1,0,toni,0,0,0,
19419,08/02/2017 14:59:09,1,0,toni,0,0,0,
19425,08/02/2017 14:57:32,1,0,toni,0,0,0,
19510,08/02/2017 15:17:09,1,0,toni,0,0,0,
19517,08/02/2017 14:50:39,1,0,toni,0,0,0,
19523,08/02/2017 14:51:51,1,0,toni,0,0,0,
19524,08/02/2017 15:18:58,1,0,toni,0,0,0,
19603,08/02/2017 15:14:45,1,0,toni,0,0,0,
19609,08/02/2017 15:11:36,1,0,toni,0,0,0,
19703,08/02/2017 15:09:56,1,0,toni,0,0,0,
22807,08/02/2017 14:55:34,1,1,toni,0,0,0,
22808,08/02/2017 14:55:38,1,1,toni,0,0,0,

