ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
17R4579:0019811,17R4579:0019811,08/02/2017 10:14:43,1,0,0,toni,toni,
17R4580:0019907,17R4580:0019907,08/02/2017 10:16:09,1,0,0,toni,toni,
17R4580:0019910,17R4580:0019910,08/02/2017 10:16:14,1,0,0,toni,toni,
17R4595:0020011,17R4595:0020011,08/02/2017 10:17:23,1,0,0,toni,toni,
17R4604:0020906,17R4604:0020906,08/02/2017 10:20:05,1,0,0,toni,toni,
17R4604:0020907,17R4604:0020907,08/02/2017 10:20:09,1,0,0,toni,toni,
17R4604:0020914,17R4604:0020914,08/02/2017 10:20:14,1,0,0,toni,toni,
17R4608:0021301,17R4608:0021301,08/02/2017 10:23:08,1,0,0,toni,toni,
17R4608:0021303,17R4608:0021303,08/02/2017 10:23:11,1,0,0,toni,toni,
17R4608:0021308,17R4608:0021308,08/02/2017 10:23:15,1,0,0,toni,toni,
17R4608:0021309,17R4608:0021309,08/02/2017 10:24:13,1,0,0,toni,toni,
17R4585:0021905,17R4585:0021905,08/02/2017 10:26:41,1,0,0,toni,toni,
17R4585:0021907,17R4585:0021907,08/02/2017 10:26:44,1,0,0,toni,toni,
17R4585:0021913,17R4585:0021913,08/02/2017 10:26:47,1,0,0,toni,toni,
17R4586:0022007,17R4586:0022007,08/02/2017 10:28:59,1,0,0,toni,toni,
17R4586:0022008,17R4586:0022008,08/02/2017 10:29:02,1,0,0,toni,toni,
17R4586:0022010,17R4586:0022010,08/02/2017 10:29:07,1,0,0,toni,toni,
17R4587:0022111,17R4587:0022111,08/02/2017 10:31:27,1,0,0,toni,toni,
17R4587:0022112,17R4587:0022112,08/02/2017 10:31:30,1,0,0,toni,toni,
17R4587:0022113,17R4587:0022113,08/02/2017 10:31:33,1,0,0,toni,toni,
17R4588:0022201,17R4588:0022201,08/02/2017 10:33:51,1,0,0,toni,toni,
17R4588:0022204,17R4588:0022204,08/02/2017 10:33:54,1,0,0,toni,toni,
17R4588:0022212,17R4588:0022212,08/02/2017 10:33:58,1,0,0,toni,toni,
17R4589:0022302,17R4589:0022302,08/02/2017 10:39:13,1,0,0,toni,toni,
17R4589:0022303,17R4589:0022303,08/02/2017 10:39:16,1,0,0,toni,toni,
17R4589:0022304,17R4589:0022304,08/02/2017 10:39:24,1,0,0,toni,toni,
17R4590:0022403,17R4590:0022403,08/02/2017 10:36:19,1,0,0,toni,toni,
17R4590:0022404,17R4590:0022404,08/02/2017 10:36:22,1,0,0,toni,toni,
17R4590:0022405,17R4590:0022405,08/02/2017 10:36:29,1,0,0,toni,toni,
17R4591:0022506,17R4591:0022506,08/02/2017 10:41:32,1,0,0,toni,toni,
17R4591:0022509,17R4591:0022509,08/02/2017 10:41:35,1,0,0,toni,toni,
17R4591:0022511,17R4591:0022511,08/02/2017 10:41:38,1,0,0,toni,toni,
17R4592:0022609,17R4592:0022609,08/02/2017 10:44:06,1,0,0,toni,toni,
17R4592:0022611,17R4592:0022611,08/02/2017 10:44:10,1,0,0,toni,toni,
17R4592:0022613,17R4592:0022613,08/02/2017 10:44:13,1,0,0,toni,toni,
17R4615:0022701,17R4615:0022701,08/02/2017 10:48:21,1,0,0,toni,toni,
17R4615:0022706,17R4615:0022706,08/02/2017 10:48:27,1,0,0,toni,toni,
17R4615:0022708,17R4615:0022708,08/02/2017 10:48:33,1,0,0,toni,toni,
17R4593:0022802,17R4593:0022802,08/02/2017 10:46:20,1,0,0,toni,toni,
17R4593:0022803,17R4593:0022803,08/02/2017 10:46:23,1,0,0,toni,toni,
17R4594:0022902,17R4594:0022902,08/02/2017 11:00:00,1,0,0,toni,toni,
17R4594:0022903,17R4594:0022903,08/02/2017 11:00:00,1,0,0,toni,toni,
17R4594:0022909,17R4594:0022909,08/02/2017 11:00:00,1,0,0,toni,toni,
17R4610:0023002,17R4610:0023002,08/02/2017 11:50:00,1,0,0,toni,toni,
17R4610:0023003,17R4610:0023003,08/02/2017 11:50:51,1,0,0,toni,josh,
17R4610:0023006,17R4610:0023006,08/02/2017 11:52:38,1,0,0,toni,josh,
17R4611:0023402,17R4611:0023402,08/02/2017 11:54:23,1,0,0,toni,josh,
17R4611:0023403,17R4611:0023403,08/02/2017 11:54:55,1,0,0,toni,josh,
17R4611:0023405,17R4611:0023405,08/02/2017 11:55:29,1,0,0,toni,josh,
17R4612:0023502,17R4612:0023502,08/02/2017 11:56:05,1,0,0,toni,josh,
17R4612:0023509,17R4612:0023509,08/02/2017 11:57:00,1,0,0,toni,josh,
17R4612:0023513,17R4612:0023513,08/02/2017 11:57:25,1,0,0,toni,josh,
17R4613:0023603,17R4613:0023603,08/02/2017 11:58:36,1,0,0,toni,josh,
17R4613:0023606,17R4613:0023606,08/02/2017 11:59:17,1,0,0,toni,josh,
17R4613:0023611,17R4613:0023611,08/02/2017 11:59:40,1,0,0,toni,josh,
17R4614:0023802,17R4614:0023802,08/02/2017 12:02:12,1,0,0,toni,josh,
17R4614:0023807,17R4614:0023807,08/02/2017 12:01:46,1,0,0,toni,josh,
17R4614:0023815,17R4614:0023815,08/02/2017 12:00:43,1,0,0,toni,josh,
17R205:S0003711,17R4011:0018010,08/02/2017 11:35:34,1,0,0,toni,josh,
17R205:S0003712,17R4011:0018010,08/02/2017 11:35:31,1,0,0,toni,josh,
17R205:S0003716,17R4419:0011132,08/02/2017 11:29:56,1,0,0,toni,josh,
17R205:S0003718,17R4419:0011132,08/02/2017 11:28:07,1,0,0,toni,josh,
