ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,observer,datetime,inventory
14R405:M0001502,14R4245:0018208,,he,,linh,11/08/2014 10:20:36,
14R405:M0001503,14R4245:0018208,,he,,linh,11/08/2014 10:20:36,
14R405:M0001504,14R4240:0017605,,tqe,,linh,11/08/2014 10:20:36,
14R405:M0001505,14R4240:0017605,,qe,,linh,11/08/2014 10:20:36,
14R405:M0001511,14R4315:0027203,,tqe,,avi,11/08/2014 10:30:35,
14R405:M0001512,14R4315:0027205,,we,,avi,11/08/2014 10:20:36,
14R405:M0001506,14R4278:0020905,,qe,,linh,11/08/2014 10:20:36,
14R405:M0001513,14R4124:0016907,,he,,avi,11/08/2014 10:20:36,
14R405:M0001514,14R4124:0016907,,he,,avi,11/08/2014 10:20:36,
14R405:M0001515,14R4251:0018809,,he,,avi,11/08/2014 10:20:36,
14R405:M0001508,14R4315:0027208,,he,,linh,11/08/2014 10:20:36,
14R405:M0001509,14R4313:0027007,,he,,linh,11/08/2014 10:20:36,
14R405:M0001516,14R4282:0021304,,qe,,avi,11/08/2014 10:20:36,
14R405:M0001517,14R4283:0021409,,he,,avi,11/08/2014 10:20:36,
14R405:M0001510,14R4313:0027007,,he,,linh,11/08/2014 10:20:36,
14R405:M0001602,14R4307:0025301,,he,,avi,11/08/2014 10:20:36,
14R405:M0001601,14R4077:0007405,,qe,,avi,11/08/2014 10:20:36,
14R405:M0001604,14R4304:0025007,,qe,,avi,11/08/2014 10:20:36,
14R405:M0001612,14R4307:0025301,,we,,linh,11/08/2014 10:20:36,
14R405:M0001603,14R4304:0025007,,he,,avi,11/08/2014 10:20:36,
14R405:M0001605,14R4304:0025007,,he,,avi,11/08/2014 10:20:36,
14R405:M0001606,14R4166:0023709,,xe,,avi,11/08/2014 10:20:36,
14R405:M0001611,14R4048:0026106,,he,,linh,11/08/2014 10:20:36,
14R405:M0001609,14R4166:0023709,,he,,avi,11/08/2014 10:20:36,
14R405:M0001608,14R4166:0023709,,he,,avi,11/08/2014 10:20:36,
14R405:M0001610,14R4048:0026106,,tqe,,linh,11/08/2014 10:20:36,
14R405:M0001702,14R4286:0021911,,he,,avi,11/08/2014 10:20:36,
14R405:M0001703,14R4286:0021909,,qe,,avi,11/08/2014 10:20:36,
14R405:M0001710,14R4286:0021909,,we,,linh,11/08/2014 10:20:36,
14R405:M0001705,14R4271:0019512,,tqe,,avi,11/08/2014 10:20:36,
14R405:M0001706,14R2507:0022406,,ee,,linh,11/08/2014 10:20:36,
14R405:M0001704,14R4271:0019513,,tqe,,avi,11/08/2014 10:20:36,
14R405:M0001711,14R4271:0019507,,tqe,,avi,11/08/2014 10:20:36,
14R405:M0001801,14R4286:0021911,,we,,linh,11/08/2014 10:20:36,
14R405:M0001815,14R4313:0027007,,he,,avi,11/08/2014 10:20:36,
14R405:M0001813,14R4048:0026106,,he,,avi,11/08/2014 10:20:36,
14R405:M0001802,14R4271:0019507,,we,,linh,11/08/2014 10:20:36,
14R405:M0001812,14R4296:0024014,,he,,avi,11/08/2014 10:20:36,
14R405:M0001809,14R4296:0024014,,he,,avi,11/08/2014 10:20:36,
14R405:M0001803,14R4166:0023701,,we,,linh,11/08/2014 10:20:36,
14R405:M0001810,14R4077:0007406,,qe,,avi,11/08/2014 10:20:36,
14R405:M0001808,14R4296:0024014,,he,,avi,11/08/2014 10:20:36,
14R405:M0001806,14R4077:0007406,,he,,linh,11/08/2014 11:13:10,
14R405:M0001804,14R4166:0023701,,qe,,avi,11/08/2014 11:14:20,
14R405:M0001807,14R4166:0023701,,he,,linh,11/08/2014 11:14:20,
14R305:W0002902,14R4191:0027703,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0002901,14R4191:0027703,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0003102,14R4243:0018003,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0003104,14R4311:0026603,,he,,linh,11/08/2014 11:14:20,
14R305:W0003105,14R4311:0026603,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0003107,14R4311:0026603,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0003108,14R4191:0027703,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0003118,14R4243:0018003,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0003808,14R4276:0020508,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001002,14R1012:0007613,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0003801,14R4272:0019902,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001003,14R4272:0019902,,we,,linh,11/08/2014 11:14:20,
14R305:W0003705,14R1012:0007707,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001005,14R3937:0020406,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0003708,14R4294:0023518,,he,,avi,11/08/2014 11:14:20,
14R305:W0003701,14R1012:0007707,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001004,14R4276:0020505,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0003706,14R1012:0007707,,he,,avi,11/08/2014 11:14:20,
14R305:W0001001,14R3958:0010412,,we,,linh,11/08/2014 11:14:20,
14R305:W0003717,14R4294:0023518,,he,,avi,11/08/2014 11:14:20,
14R305:W0003714,14R4294:0023518,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001009,14R4220:0006811,,we,,linh,11/08/2014 11:14:20,
14R305:W0001016,14R4271:0019503,,we,,linh,11/08/2014 11:14:20,
14R305:W0000716,14R4137:0004215,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001006,14R4299:0024502,,we,,linh,11/08/2014 11:14:20,
14R305:W0000712,14R4191:0027713,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001007,14R4186:0026908,,we,,linh,11/08/2014 11:14:20,
14R305:W0000713,14R4186:0026902,,he,,avi,11/08/2014 11:14:20,
14R305:W0000714,14R4186:0026904,,he,,avi,11/08/2014 11:14:20,
14R305:W0001008,14R4272:0019902,,we,,linh,11/08/2014 11:14:20,
14R305:W0000715,14R4191:0027713,,he,,avi,11/08/2014 11:14:20,
14R305:W0001010,14R4220:0006812,,he,,linh,11/08/2014 11:14:20,
14R305:W0000717,14R4271:0019507,,he,,avi,11/08/2014 11:14:20,
14R305:W0000715,14R4220:0006805,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001014,14R4191:0027713,,ee,,linh,11/08/2014 11:14:20,
14R305:W0000701,14R4271:0019507,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001011,14R4249:0018609,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0001012,14R1012:0007612,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0000703,14R4137:0004215,,he,,avi,11/08/2014 11:14:20,
14R305:W0000704,14R4220:0006819,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0001015,14R4271:0019503,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0000705,14R4137:0004215,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0000706,14R4310:0026401,,he,,avi,11/08/2014 11:14:20,
14R305:W0000808,14R3937:0020415,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0000707,14R4232:0016704,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0000809,14R3715:0021706,,we,,linh,11/08/2014 11:14:20,
14R305:W0000708,14R4220:0006812,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0000709,14R1012:0007616,,tqe,,avi,11/08/2014 11:14:20,
14R305:W0000810,14R3715:0021713,,tqe,,linh,11/08/2014 11:14:20,
14R305:W0000710,14R4310:0026401,,he,,avi,11/08/2014 11:14:20,
