"11N205:S0036701","11N3396:0007301",1,0,0,"toni","toni",01/26/2012 12:17:52,
"11N205:S0032201","11N3396:0007305",1,0,0,"toni","amy",01/25/2012 10:58:55,
"11N205:S0034311","11N3396:0007309",1,0,0,"toni","amy",01/22/2012 11:37:23,
"11N305:W0031406","11N3397:0007404",1,0,0,"toni","amy",01/22/2012 11:05:06,
"11N305:W0031408","11N3397:0007404",1,0,0,"toni","amy",01/22/2012 11:05:43,
"11N405:M0035206","11N3398:0007502",1,0,0,"toni","toni",01/27/2012 11:31:05,
"11N405:M0034805","11N3398:0007503",1,0,0,"toni","toni",01/27/2012 11:29:36,
"11N405:M0035704","11N3398:0007508",1,0,0,"toni","toni",01/27/2012 11:25:59,
"11N205:S0039107","11N3399:0007703",1,0,0,"toni","amy",01/26/2012 11:55:04,
"11N205:S0038208","11N3399:0007708",1,0,0,"toni","toni",01/27/2012 11:12:44,
"11N305:W0032601","11N3400:0007801",1,0,0,"toni","toni",01/25/2012 10:36:54,
"11N305:W0031410","11N3400:0007805",1,0,0,"toni","amy",01/22/2012 11:07:15,
"11N305:W0032909","11N3400:0007809",1,0,0,"toni","toni",01/25/2012 10:44:18,
"11N0501:0030608","11N3402:0008109",1,0,0,"toni","amy",01/26/2012 14:21:55,
"11N205:S0037808","11N3402:0008109",1,0,0,"toni","toni",01/25/2012 13:18:35,
"11N3402:0008109","11N3402:0008109",1,0,0,"toni","toni",01/25/2012 12:42:13,
"11N0501:0030605","11N3402:0008110",1,0,0,"toni","amy",01/27/2012 13:55:45,
"11N205:S0037906","11N3402:0008110",1,0,0,"toni","toni",01/25/2012 13:15:03,
"11N3402:0008110","11N3402:0008110",1,0,0,"toni","toni",01/25/2012 12:39:18,
"11N501:B0030601","11N3402:0008110",1,0,0,"toni","toni",01/25/2012 13:23:49,
"11N205:S0034304","11N3402:0008111",1,0,0,"toni","amy",01/26/2012 14:11:21,
"11N3402:0008111","11N3402:0008111",1,0,0,"toni","toni",01/22/2012 9:08:15,
"11N305:W0038006","11N3403:0008203",1,0,0,"toni","amy",01/23/2012 12:01:41,
"11N305:W0032610","11N3403:0008205",1,0,0,"toni","toni",01/25/2012 10:38:55,
"11N305:W0031411","11N3403:0008209",1,0,0,"toni","amy",01/22/2012 11:07:50,
"11N205:S0037505","11N3404:0008504",1,0,0,"toni","amy",01/27/2012 13:47:32,
"11N205:S0037506","11N3404:0008505",1,0,0,"toni","amy",01/27/2012 13:46:50,
"11N205:S0039108","11N3404:0008506",1,0,1,"toni","amy",01/26/2012 11:55:31,
"11N205:S0039109","11N1631:0008602",1,0,0,"toni","amy",01/26/2012 11:56:13,
"11N205:S0031905","11N1631:0008603",1,0,0,"toni","amy",01/25/2012 10:56:52,
"11N205:S0039110","11N1631:0008607",1,0,0,"toni","amy",01/26/2012 11:57:03,
"11N305:W0038002","11N3405:0008710",1,0,0,"toni","amy",01/23/2012 12:00:11,
"11N305:W0038004","11N3405:0008710",1,0,0,"toni","amy",01/23/2012 12:00:47,
"11N305:W0038303","11N3405:0008710",1,0,0,"toni","amy",01/23/2012 11:58:57,
"11N205:S0039111","11N3407:0008908",1,0,0,"toni","amy",01/26/2012 11:58:12,
"11N205:S0039112","11N3407:0008910",1,0,0,"toni","amy",01/26/2012 12:00:08,
"11N305:W0031109","11N3408:0009003",1,0,0,"toni","amy",01/22/2012 11:11:55,
"11N3408:0009003","11N3408:0009003",1,0,0,"toni","amy",01/21/2012 9:34:08,
"11N305:W0031110","11N3408:0009005",1,0,0,"toni","amy",01/22/2012 11:11:03,
"11N3408:0009005","11N3408:0009005",1,0,0,"toni","toni",01/23/2012 11:47:50,
"11N305:W0031112","11N3408:0009009",1,0,0,"toni","amy",01/22/2012 11:09:53,
"11N3408:0009009","11N3408:0009009",1,0,0,"toni","amy",01/21/2012 9:35:14,
"11N405:M0031303","11N3250:0009103",1,0,0,"toni","toni",01/01/2012 10:28:34,
"11N405:M0031306","11N3250:0009103",1,0,0,"toni","toni",01/25/2012 10:30:42,
"11N405:M0031309","11N3250:0009103",1,0,0,"toni","toni",01/25/2012 10:32:09,
"11N205:S0039007","11N3300:0009303",1,0,0,"toni","amy",01/26/2012 12:08:34,
"11N205:S0039013","11N3300:0009312",1,0,0,"toni","toni",01/26/2012 12:06:07,
