"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3432:0012706",1,0,0,0,0,,,,"toni",,
"11N3432:0012707",1,0,0,0,0,,,,"toni",,
"11N3432:0012708",1,0,0,0,0,,,,"toni",,
"11N3432:0012709",1,0,0,0,0,,,,"toni",,
"11N3432:0012710",1,0,0,0,0,,,,"toni",,
"11N3432:0012711",1,0,0,0,0,,,,"toni",,
"11N3433:0012801",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N3433:0012802",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3433:0012805",0,1,0,0,"shorter_by_3ft",,,,"toni",,
"11N3433:0012806",0,1,0,0,"shorter_by_2ft",,"no ear",,"toni",,
"11N3433:0012807",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3433:0012810",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3433:0012811",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N3433:0012812",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N3433:0012813",1,0,0,0,0,,,,"toni",,
"11N3434:0012901",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3434:0012902",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3434:0012903",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N3434:0012904",0,1,0,0,"shorter_by_3ft",,"no ear",,"toni",,
"11N3434:0012905",1,0,0,0,0,,,,"toni",,
"11N3434:0012906",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3434:0012907",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3434:0012909",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N3434:0012910",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N3255:0013001",0,1,0,0,"shorter_by_3ft",,,,"toni",,
"11N3255:0013003",0,1,1,1,"shorter_by_2ft",,"no ear",,"toni",,
"11N3255:0013004",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3255:0013005",1,0,0,0,0,,,,"toni",,
"11N3435:0013101",0,1,1,1,"shorter_by_1ft",,"no ear",,"toni",,
"11N3435:0013102",0,1,0,0,"shorter_by_1ft",,"small ear",,"toni",,
"11N3435:0013104",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3435:0013105",1,0,0,0,0,,,,"toni",,
"11N3435:0013106",0,1,0,0,"shorter_by_1ft",,"small ear",,"toni",,
"11N3435:0013108",0,1,0,0,"shorter_by_1ft",,"small ear",,"toni",,
"11N3435:0013109",0,1,0,0,"shorter_by_1ft",,"no ear",,"toni",,
"11N3435:0013110",0,1,1,1,"shorter_by_1ft",,"no ear",,"toni",,
"11N3435:0013111",0,1,1,1,"shorter_by_1ft",,"no ear",,"toni",,
"11N3436:0013201",1,0,0,0,0,,,,"toni",,
"11N3436:0013202",0,1,0,0,0,,"small ear",,"toni",,
"11N3436:0013203",0,1,0,0,0,,"small ear",,"toni",,
"11N3436:0013205",0,1,0,0,0,,"small ear",,"toni",,
"11N3436:0013207",0,1,0,0,0,,"rudimentary ear",,"toni",,
"11N3436:0013208",0,1,1,1,0,,"no ear",,"toni",,
"11N3436:0013209",0,1,1,1,0,,"small ear",,"toni",,
"11N3436:0013211",0,1,1,1,0,,"small ear",,"toni",,
"11N3436:0013212",1,0,0,0,0,,,,"toni",,
"11N3437:0013301",1,0,0,0,0,,,,"toni",,
"11N3437:0013302",0,1,1,1,"shorter_by_3ft",,"no ear",,"toni",,
"11N3437:0013304",0,1,1,1,"shorter_by_1ft",,"no ear",,"toni",,
"11N3437:0013305",1,0,0,0,0,,,,"toni",,
"11N3438:0013401",1,0,0,0,0,,,,"toni",,
"11N3438:0013401",0,1,0,0,0,,,,"toni",01/28/2008 10:40:50,
"11N3438:0013402",1,0,0,0,0,,,,"toni",,
"11N3438:0013403",1,0,0,0,0,,,,"toni",,
"11N3438:0013404",1,0,0,0,0,,,,"toni",,
"11N3438:0013404",0,1,0,0,0,,,,"toni",01/28/2008 10:41:27,
