plantID,sample num,observer,datetime,tissue_collectn
16R4468:0004411,e03313,avi,07/30/2016 15:30:44,
16R4468:0004410,e03316,avi,07/30/2016 15:30:44,
16R4473:0004903,e03299,avi,07/30/2016 14:23:20,
16R4477:0005309,e03300,avi,07/30/2016 14:23:20,
16R4477:0005311,e03301,avi,07/30/2016 14:23:20,
16R4477:0005305,e03303,avi,07/30/2016 14:23:20,
16R4478:0005404,e03304,avi,07/30/2016 14:23:20,
16R4483:0005906,e03314,avi,07/30/2016 15:30:44,
16R4228:0006811,e03322,avi,07/30/2016 15:30:44,
16R4491:0008006,e03310,avi,07/30/2016 15:30:44,
16R4496:0009201,e03312,avi,07/30/2016 15:30:44,
16R4498:0009503,e03302,avi,07/30/2016 14:23:20,
16R4498:0009508,e03308,avi,07/30/2016 14:23:20,
16R4498:0009505,e03317,avi,07/30/2016 15:30:44,
16R4499:0009605,e03309,avi,07/30/2016 15:30:44,
16R4499:0009607,e03311,avi,07/30/2016 15:30:44,
16R4499:0009614,E03323,avi,07/30/2016 15:30:44,
16R4279:0010511,e03318,avi,07/30/2016 15:30:44,
16R4515:0011901,e03306,avi,07/30/2016 14:23:20,
16R4515:0011904,e03320,avi,07/30/2016 15:30:44,
16R4535:0014412,e03298,avi,07/30/2016 14:23:20,
16R4535:0014404,e03305,avi,07/30/2016 14:23:20,
16R4535:0014401,e03321,avi,07/30/2016 15:30:44,
16R6940:0015404,e03307,avi,07/30/2016 14:23:20,
16R6940:0015406,e03319,avi,07/30/2016 15:30:44,
16R6980:0015801,e03315,avi,07/30/2016 15:30:44,
16R6980:0015811,e03315,avi,07/30/2016 15:30:44,
