packetID,ma plantID,pa plantID,num_cl,observer,datetime,packed_packet
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00004,13504,13504,20,avi,05/23/2017 11:56:40,
P00023,16R405:M0001811,16R4356:0010005,20,avi,05/23/2017 11:56:40,
P00152,16R405:M0002004,16R4532:0014101,30,avi,05/23/2017 11:56:40,
P00145,16R405:M0002103,16R4516:0012007,15,avi,05/23/2017 11:56:40,
P00064,16R405:M0002208,16R4300:0012606,20,avi,05/23/2017 11:56:40,
P00065,16R405:M0002208,16R4300:0012606,20,avi,05/23/2017 11:56:40,
P00136,16R405:M0002210,16R4392:0010801,30,avi,05/23/2017 11:56:40,
P00102,16R405:M0002211,16R4482:0005809,15,avi,05/23/2017 11:56:40,
P00125,16R405:M0002212,16R4496:0009201,15,avi,05/23/2017 11:56:40,
P00093,16R405:M0003103,16R4474:0005001,20,avi,05/23/2017 11:56:40,
P00095,16R405:M0003107,16R4476:0005202,15,avi,05/23/2017 11:56:40,
P00020,16R405:M0003112,16R4222:0009405,20,avi,05/23/2017 11:56:40,
P00021,16R405:M0003112,16R4222:0009405,20,avi,05/23/2017 11:56:40,
P00151,16R405:M0003204,16R4531:0014008,30,avi,05/23/2017 11:56:40,
P00058,16R405:M0003206,16R4511:0011304,20,avi,05/23/2017 11:56:40,
P00059,16R405:M0003206,16R4511:0011304,20,avi,05/23/2017 11:56:40,
P00056,16R405:M0003214,16R4510:0011204,20,avi,05/23/2017 11:56:40,
P00057,16R405:M0003214,16R4510:0011204,20,avi,05/23/2017 11:56:40,
P00060,16R405:M0003312,16R4027:0012203,20,avi,05/23/2017 11:56:40,
P00061,16R405:M0003312,16R4027:0012203,20,avi,05/23/2017 11:56:40,
P00138,16R405:M0003314,16R4508:0011011,15,avi,05/23/2017 11:56:40,
