packetID,rowID,ft,observer,datetime,planted
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,avi,05/30/2017 14:58:01,
,,,toni,05/30/2017 14:58:01,
,,,toni,05/30/2017 14:58:01,
,,,toni,05/30/2017 14:58:01,
,,,toni,05/30/2017 14:58:01,
,,,toni,05/30/2017 14:58:01,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
,,,toni,06/06/2014 0:00:00,
