plantID,postn b0,observer,datetime,leaf_alignmt
15R2931:0016704,e-3,avi,08/26/2015 8:42:02,
15R4406:0016801,e-2,avi,08/26/2015 8:42:02,
15R4412:0018105,e2,avi,08/26/2015 8:42:02,
15R4413:0018203,t-4,avi,08/26/2015 8:42:02,
15R4414:0018304,t-4,avi,08/26/2015 8:42:02,
15R4414:0018308,e1,avi,08/26/2015 8:42:02,
15R4414:0018310,e1,avi,08/26/2015 8:42:02,
15R4312:0018403,t-6,avi,08/26/2015 8:42:02,
15R4312:0018407,t-4,avi,08/26/2015 8:42:02,
15R4415:0018707,e2,avi,08/26/2015 8:42:02,
15R4415:0018708,e-1,avi,08/26/2015 10:02:02,
15R4365:0019903,t-2,avi,08/26/2015 10:02:02,
15R4365:0019907,t-2,avi,08/26/2015 10:02:02,
15R0667:0021107,e-1,avi,08/26/2015 10:02:02,
15R0667:0021109,e-3,avi,08/26/2015 10:02:02,
15R0668:0021201,e-2,avi,08/26/2015 10:02:02,
15R0668:0021202,e-3,avi,08/26/2015 10:02:02,
15R0669:0021307,e-1,avi,08/26/2015 10:02:02,
15R0669:0021311,e-1,avi,08/26/2015 10:02:02,
15R0670:0021405,e-2,avi,08/26/2015 10:02:02,
15R0670:0021406,e-2,avi,08/26/2015 10:02:02,
15R0671:0021502,e-2,avi,08/26/2015 10:02:02,
15R0671:0021508,e-3,avi,08/26/2015 10:02:02,
15R0672:0021602,e-3,avi,08/26/2015 10:02:02,
15R0672:0021608,e-3,avi,08/26/2015 10:02:02,
15R0673:0021703,t-6,avi,08/26/2015 10:02:02,
15R0673:0021711,t-5,avi,08/26/2015 10:02:02,
15R0674:0021803,e-2,avi,08/26/2015 10:02:02,
15R0674:0021810,e-1,avi,08/26/2015 10:02:02,
15R0675:0021907,e1,avi,08/26/2015 10:02:02,
15R0675:0021910,e1,avi,08/26/2015 10:02:02,
15R0676:0022002,e0,avi,08/26/2015 10:02:02,
15R0676:0022011,e-2,avi,08/26/2015 10:02:02,
15R0677:0022107,e-2,avi,08/26/2015 10:02:02,
15R0677:0022110,e-2,avi,08/26/2015 10:02:02,
15R0677:0022113,e-1,avi,08/26/2015 10:02:02,
15R0678:0022201,e0,avi,08/26/2015 10:02:02,
15R0678:0022212,e0,avi,08/26/2015 10:02:02,
15R0679:0022303,e-3,avi,08/26/2015 10:02:02,
15R0679:0022304,e-2,avi,08/26/2015 10:02:02,
15R0680:0022410,e-3,avi,08/26/2015 10:02:02,
