packetID,rowID,ft,observer,datetime,planted,
p01024,r00036,10,toni,05/25/2016 10:25:35,
p01094,r00037,10,toni,05/25/2016 10:27:13,
p01112,r00038,10,toni,05/25/2016 10:30:26,
p01087,r00039,10,toni,05/25/2016 10:30:29,
p01110,r00040,10,toni,05/25/2016 10:32:39,
p01072,r00041,10,toni,05/25/2016 10:34:53,
p01080,r00042,10,toni,05/25/2016 10:35:47,
p01054,r00043,10,toni,05/25/2016 10:37:03,
p01055,r00044,10,toni,05/25/2016 10:37:59,
p01056,r00045,10,toni,05/25/2016 10:38:54,
p01057,r00046,10,toni,05/25/2016 10:39:52,
p01058,r00047,10,toni,05/25/2016 10:40:34,
p01059,r00048,10,toni,05/25/2016 10:41:31,
p01060,r00049,10,toni,05/25/2016 10:42:26,
p01061,r00050,10,toni,05/25/2016 10:43:39,
p01062,r00051,10,toni,05/25/2016 10:44:34,
p01063,r00052,10,toni,05/25/2016 10:45:38,
p01086,r00053,10,toni,05/25/2016 10:46:35,
p01030,r00066,10,toni,05/25/2016 10:47:42,
p00207,r00068,10,toni,05/25/2016 10:48:46,
p01014,r00072,10,toni,05/25/2016 10:51:59,
p01022,r00074,10,toni,05/25/2016 10:53:12,
p01025,r00076,10,toni,05/25/2016 10:54:11,
p01083,r00080,10,toni,05/25/2016 10:55:48,
p01099,r00082,10,toni,05/25/2016 10:57:52,
p01035,r00086,10,toni,05/25/2016 10:59:04,
p01027,r00088,10,toni,05/25/2016 11:00:03,
p01034,r00094,10,toni,05/25/2016 11:01:02,
p01033,r00097,10,toni,05/25/2016 11:02:56,
p00001,r00006,20,toni,05/29/2016 17:33:19,
p00002,r00007,20,toni,05/29/2016 17:35:27,
p00003,r00008,20,toni,05/29/2016 17:37:30,
p00004,r00009,20,toni,05/29/2016 17:39:28,
p00004,r00010,20,toni,05/29/2016 17:41:40,
p00001,r00026,20,toni,05/29/2016 17:44:26,
p00001,r00027,20,toni,05/29/2016 17:46:40,
p00002,r00028,20,toni,05/29/2016 17:48:52,
p00002,r00029,20,toni,05/29/2016 17:51:04,
p00002,r00030,20,toni,05/29/2016 17:53:16,
p00003,r00031,20,toni,05/29/2016 17:55:10,
p00003,r00032,20,toni,05/29/2016 17:57:36,
p00003,r00033,20,toni,05/29/2016 17:59:46,
p00004,r00034,20,toni,05/29/2016 18:01:55,
p00004,r00035,20,toni,05/29/2016 18:07:10,
p01064,r00054,10,toni,05/29/2016 18:07:13,
p01065,r00055,10,toni,05/29/2016 18:11:02,
p01066,r00056,10,toni,05/29/2016 18:11:22,
p01067,r00057,10,toni,05/29/2016 18:14:05,
p01068,r00058,10,toni,05/29/2016 18:16:11,
p01069,r00059,10,toni,05/29/2016 18:16:14,
p01075,r00060,10,toni,05/29/2016 18:18:04,
p01098,r00061,10,toni,05/29/2016 18:20:37,
p01107,r00062,10,toni,05/29/2016 18:21:11,
p01074,r00063,10,toni,05/29/2016 18:23:45,
p01097,r00064,10,toni,05/29/2016 18:24:04,
p01108,r00065,10,toni,05/29/2016 18:26:50,
p01031,r00067,10,toni,05/29/2016 18:28:41,
p00208,r00069,10,toni,05/29/2016 18:31:02,
p00250,r00070,10,toni,05/29/2016 18:35:24,
p01121,r00071,10,toni,05/29/2016 18:35:26,
p01015,r00073,10,toni,05/29/2016 18:37:50,
p01023,r00075,10,toni,05/29/2016 18:39:43,
p01026,r00077,10,toni,05/29/2016 18:41:48,
p00098,r00078,10,toni,05/29/2016 18:42:11,
p00099,r00079,10,toni,05/29/2016 18:45:45,
p01084,r00081,10,toni,05/29/2016 18:47:46,
p01100,r00083,10,toni,05/29/2016 18:49:22,
p01126,r00084,10,toni,05/29/2016 18:49:41,
p01127,r00085,10,toni,05/29/2016 18:52:14,
p00252,r00087,10,toni,05/29/2016 18:55:59,
p01028,r00089,10,toni,05/29/2016 18:59:10,
p00306,r00090,10,toni,05/29/2016 19:01:14,
p00307,r00091,10,toni,05/29/2016 19:03:53,
p01123,r00093,10,toni,05/29/2016 19:06:34,
p01102,r00092,10,toni,05/29/2016 19:08:25,
p01085,r00095,10,toni,05/29/2016 19:11:53,
p01089,r00096,10,toni,05/29/2016 19:13:27,
p01122,r00098,10,toni,05/29/2016 19:15:08,
p01124,r00099,10,toni,05/29/2016 19:16:53,
p01125,r00100,10,toni,05/29/2016 19:18:26,
p01114,r00101,10,toni,05/29/2016 19:20:02,
