packetID,ma plantID,pa plantID,num_cl,observer,datetime,packed_packet
p00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,toni,05/29/2016 13:02:08,
p00003,09R401:M0xxxxxx,09R401:M0xxxxxx,20,toni,05/29/2016 13:02:10,
p01129,14R405:M0001308,14R4286:0021905,15,toni,05/29/2016 13:03:26,
p01128,14R405:M0001304,14R4162:0022908,15,toni,05/29/2016 13:06:13,
p01127,14R405:M0001105,14R4283:0021405,15,toni,05/29/2016 13:08:06,
p01126,14R405:M0001105,14R4283:0021405,15,toni,05/29/2016 13:08:24,
p01125,14R405:M0001101,14R4278:0020905,15,toni,05/29/2016 13:10:18,
p01124,14R305:W0000808,14R3937:0020415,15,toni,05/29/2016 13:12:06,
p01123,14R305:W0000704,14R4220:0006819,15,toni,05/29/2016 13:13:24,
p01122,14R205:S0000607,14R4275:0020306,15,toni,05/29/2016 13:14:55,
p01121,14R205:S0000215,14R4229:0009701,15,toni,05/29/2016 13:16:51,
p01120,14R205:S0000109,14R4280:0021111,15,toni,05/29/2016 13:18:30,
p01119,12R205:S0002217,12R3454:0028708,15,toni,05/29/2016 13:20:16,
p01118,12R205:S0002216,12R3629:0028403,15,toni,05/29/2016 13:21:32,
p01116,11N305:W0030810,11N3192:0013803,15,toni,05/29/2016 13:23:45,
p01117,11N305:W0039501,11N3192:0013810,15,toni,05/29/2016 13:25:26,
p01115,10R305:W0001511,10R1035:0021903,15,toni,05/29/2016 13:27:36,
p01114,10R305:W0001502,10R1035:0021906,15,toni,05/29/2016 13:28:28,
p01130,14R405:M0001803,14R4166:0023701,15,toni,05/29/2016 13:32:55,
