Sample no.,image no,observer,source,filter,power,exposure (ms),microscopy
e01125,621,derek,uv,2,10x,250,
e01125,622,derek,uv,2,10x,333,
e01125,623,derek,uv,4,10x,333,
e01125,624,derek,uv,4,10x,250,
e01125,625,derek,uv,4,10x,167,
e01125,626,derek,bright,2,10x,2,
e01125,627,derek,uv,2,10x,167,
e01125,628,derek,uv,2,10x,250,
e01125,629,derek,uv,2,10x,333,
e01125,630,derek,uv,4,10x,333,
e01125,631,derek,uv,4,10x,250,
e01125,632,derek,uv,4,10x,167,
e01125,633,derek,bright,2,10x,2,
e01125,634,derek,uv,2,10x,167,
e01125,635,derek,uv,2,10x,250,
e01125,636,derek,uv,2,10x,333,
e01125,637,derek,uv,4,10x,333,
e01125,638,derek,uv,4,10x,250,
e01125,639,derek,uv,4,10x,167,
e01125,640,derek,bright,2,10x,2,
e01125,641,derek,uv,2,10x,167,
e01125,642,derek,uv,2,10x,250,
e01125,643,derek,uv,2,10x,333,
e01125,644,derek,uv,4,10x,333,
e01125,645,derek,uv,4,10x,250,
e01125,646,derek,uv,4,10x,167,
e01125,647,derek,bright,2,10x,2,
e01125,648,derek,uv,2,10x,167,
e01125,649,derek,uv,2,10x,250,
e01125,650,derek,uv,2,10x,333,
e01125,651,derek,uv,4,10x,333,
e01125,652,derek,uv,4,10x,250,
e01125,653,derek,uv,4,10x,167,
e01125,654,derek,bright,2,10x,2,
e01125,655,derek,uv,2,10x,167,
e01125,656,derek,uv,2,10x,250,
e01125,657,derek,uv,2,10x,333,
e01125,658,derek,uv,4,10x,333,
e01125,659,derek,uv,4,10x,250,
e01125,660,derek,uv,4,10x,167,
e01125,661,derek,bright,2,10x,2,
e01125,662,derek,uv,2,10x,167,
e01125,663,derek,uv,2,10x,250,
e01125,664,derek,uv,2,10x,333,
e01125,665,derek,uv,4,10x,333,
e01125,666,derek,uv,4,10x,250,
e01125,667,derek,uv,4,10x,167,
e01120,668,derek,bright,2,10x,2,
e01120,669,derek,uv,2,10x,167,
e01120,670,derek,uv,2,10x,250,
e01120,671,derek,uv,2,10x,333,
e01120,672,derek,uv,4,10x,333,
e01120,673,derek,uv,4,10x,250,
e01120,674,derek,uv,4,10x,167,
e01120,675,derek,bright,2,10x,2,
e01120,676,derek,uv,2,10x,167,
e01120,677,derek,uv,2,10x,250,
e01120,678,derek,uv,2,10x,333,
e01120,679,derek,uv,4,10x,333,
e01120,680,derek,uv,4,10x,250,
e01120,681,derek,uv,4,10x,167,
e01120,682,derek,bright,2,10x,2,
e01120,683,derek,uv,2,10x,167,
e01120,684,derek,uv,2,10x,250,
e01120,685,derek,uv,2,10x,333,
e01120,686,derek,uv,4,10x,333,
e01120,687,derek,uv,4,10x,250,
e01120,688,derek,uv,4,10x,167,
e01150,689,derek,bright,2,10x,2,
e01150,690,derek,uv,2,10x,167,
e01150,691,derek,uv,2,10x,250,
e01150,692,derek,uv,2,10x,333,
e01150,693,derek,uv,4,10x,333,
e01150,694,derek,uv,4,10x,250,
e01150,695,derek,uv,4,10x,167,
e01150,696,derek,bright,2,10x,2,
e01150,697,derek,uv,2,10x,167,
e01150,698,derek,uv,2,10x,250,
e01150,699,derek,uv,2,10x,333,
e01150,700,derek,uv,4,10x,333,
e01150,701,derek,uv,4,10x,250,
e01150,702,derek,uv,4,10x,167,
e01150,703,derek,bright,2,10x,2,
e01150,704,derek,uv,2,10x,167,
e01150,705,derek,uv,2,10x,250,
e01150,706,derek,uv,2,10x,333,
e01150,707,derek,uv,4,10x,333,
e01150,708,derek,uv,4,10x,250,
e01150,709,derek,uv,4,10x,167,
e01151,710,derek,bright,2,10x,2,
e01151,711,derek,uv,2,10x,167,
e01151,712,derek,uv,2,10x,250,
e01151,713,derek,uv,2,10x,333,
e01151,714,derek,uv,4,10x,333,
e01151,715,derek,uv,4,10x,250,
e01151,716,derek,uv,4,10x,167,
e01151,717,derek,bright,2,10x,2,
e01151,718,derek,uv,2,10x,167,
e01151,719,derek,uv,2,10x,250,
e01151,720,derek,uv,2,10x,333,
e01151,721,derek,uv,4,10x,333,
e01151,722,derek,uv,4,10x,250,
e01151,723,derek,uv,4,10x,167,
e01151,724,derek,bright,2,10x,2,
e01151,725,derek,uv,2,10x,167,
e01151,726,derek,uv,2,10x,250,
e01151,727,derek,uv,2,10x,333,
e01151,728,derek,uv,4,10x,333,
e01151,729,derek,uv,4,10x,250,
e01151,730,derek,uv,4,10x,167,
e01151,731,derek,bright,2,10x,2,
e01151,732,derek,uv,2,10x,167,
e01151,733,derek,uv,2,10x,250,
e01151,734,derek,uv,2,10x,333,
e01151,735,derek,uv,4,10x,333,
e01151,736,derek,uv,4,10x,250,
e01151,737,derek,uv,4,10x,167,
e01151,738,derek,bright,2,10x,2,
e01151,739,derek,uv,2,10x,167,
e01151,740,derek,uv,2,10x,250,
e01151,741,derek,uv,2,10x,333,
e01151,742,derek,uv,4,10x,333,
e01151,743,derek,uv,4,10x,250,
e01151,744,derek,uv,4,10x,167,
e01151,745,derek,bright,2,10x,2,
e01151,746,derek,uv,2,10x,167,
e01151,747,derek,uv,2,10x,250,
e01151,748,derek,uv,2,10x,333,
e01151,749,derek,uv,4,10x,333,
e01151,750,derek,uv,4,10x,250,
e01151,751,derek,uv,4,10x,167,
e01186,752,derek,bright,2,10x,2,
e01186,753,derek,uv,2,10x,167,
e01186,754,derek,uv,2,10x,250,
e01186,755,derek,uv,2,10x,333,
e01186,756,derek,uv,4,10x,333,
e01186,757,derek,uv,4,10x,250,
e01186,758,derek,uv,4,10x,167,
e01186,759,derek,bright,2,10x,2,
e01186,760,derek,uv,2,10x,167,
e01186,761,derek,uv,2,10x,250,
e01186,762,derek,uv,2,10x,333,
e01186,763,derek,uv,4,10x,333,
e01186,764,derek,uv,4,10x,250,
e01186,765,derek,uv,4,10x,167,
e01186,766,derek,bright,2,10x,2,
e01186,767,derek,uv,2,10x,167,
e01186,768,derek,uv,2,10x,250,
e01186,769,derek,uv,2,10x,333,
e01186,770,derek,uv,4,10x,333,
e01186,771,derek,uv,4,10x,250,
e01186,772,derek,uv,4,10x,167,
e01194,773,derek,bright,2,10x,2,
e01194,774,derek,uv,2,10x,167,
e01194,775,derek,uv,2,10x,250,
e01194,776,derek,uv,2,10x,333,
e01194,777,derek,uv,4,10x,333,
e01194,778,derek,uv,4,10x,250,
e01194,779,derek,uv,4,10x,167,
e01194,780,derek,bright,2,10x,2,
e01194,781,derek,uv,2,10x,167,
e01194,782,derek,uv,2,10x,250,
e01194,783,derek,uv,2,10x,333,
e01194,784,derek,uv,4,10x,333,
e01194,785,derek,uv,4,10x,250,
e01194,786,derek,uv,4,10x,167,
e01194,787,derek,bright,2,10x,2,
e01194,788,derek,uv,2,10x,167,
e01194,789,derek,uv,2,10x,250,
e01194,790,derek,uv,2,10x,333,
e01194,791,derek,uv,4,10x,333,
e01194,792,derek,uv,4,10x,250,
e01194,793,derek,uv,4,10x,167,
e01190,794,derek,bright,2,10x,2,
e01190,795,derek,uv,2,10x,167,
e01190,796,derek,uv,2,10x,250,
e01190,797,derek,uv,2,10x,333,
e01190,798,derek,uv,4,10x,333,
e01190,799,derek,uv,4,10x,250,
e01190,800,derek,uv,4,10x,167,
e01190,801,derek,bright,2,10x,2,
e01190,802,derek,uv,2,10x,167,
e01190,803,derek,uv,2,10x,250,
e01190,804,derek,uv,2,10x,333,
e01190,805,derek,uv,4,10x,333,
e01190,806,derek,uv,4,10x,250,
e01190,807,derek,uv,4,10x,167,
e01190,808,derek,bright,2,10x,2,
e01190,809,derek,uv,2,10x,167,
e01190,810,derek,uv,2,10x,250,
e01190,811,derek,uv,2,10x,333,
e01190,812,derek,uv,4,10x,333,
e01190,813,derek,uv,4,10x,250,
e01190,814,derek,uv,4,10x,167,
e01187,815,derek,bright,2,10x,2,
e01187,816,derek,uv,2,10x,167,
e01187,817,derek,uv,2,10x,250,
e01187,818,derek,uv,2,10x,333,
e01187,819,derek,uv,4,10x,333,
e01187,820,derek,uv,4,10x,250,
e01187,821,derek,uv,4,10x,167,
e01187,822,derek,bright,2,10x,2,
e01187,823,derek,uv,2,10x,167,
e01187,824,derek,uv,2,10x,250,
e01187,825,derek,uv,2,10x,333,
e01187,826,derek,uv,4,10x,333,
e01187,827,derek,uv,4,10x,250,
e01187,828,derek,uv,4,10x,167,Sample no.,image no,observer,source,filter,power,exposure (ms),datetime,microscopy
e01067,829,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,830,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,831,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,832,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,833,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,834,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,835,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01067,836,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,837,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,838,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,839,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,840,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,841,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,842,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01067,843,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,844,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,845,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,846,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,847,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,848,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,849,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01067,850,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,851,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,852,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,853,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,854,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,855,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,856,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01067,857,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,858,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,859,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,860,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,861,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,862,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,863,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01067,864,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01067,865,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01067,866,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01067,867,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01067,868,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01067,869,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01067,870,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,871,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,872,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,873,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,874,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,875,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,876,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,877,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,878,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,879,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,880,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,881,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,882,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,883,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,884,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,885,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,886,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,887,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,888,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,889,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,890,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,891,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,892,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,893,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,894,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,895,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,896,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,897,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,898,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,899,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,900,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,901,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,902,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,903,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,904,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,905,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01068,906,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01068,907,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01068,908,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01068,909,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01068,910,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01068,911,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01068,912,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,913,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,914,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,915,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,916,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01069,917,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,918,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,919,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,920,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,921,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,922,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,923,derek,uv,2,10x,333,08/15/2013 0:00:00,
