plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
17R3946:0006904,08/08/2017 11:35:49,1,1,toni,0,0,0,
17R4492:0007906,08/08/2017 11:32:09,1,0,toni,0,0,0,
17R4492:0007909,08/08/2017 11:33:11,1,0,toni,0,0,0,
17R4494:0008701,08/08/2017 11:30:30,1,1,toni,0,0,0,
17R4541:0009712,08/08/2017 11:27:12,1,1,toni,0,0,0,
17R2252:0011001,08/09/2017 10:14:20,1,0,toni,0,0,0,
17R2252:0011019,08/09/2017 10:14:28,1,0,toni,0,0,0,
17R4419:0011108,08/09/2017 10:14:25,1,0,toni,0,0,0,
