ma plantID,pa plantID,ok,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R4561:0006001,17R4561:0006004,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4561:0006002,17R4561:0006004,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4561:0006005,17R4561:0006004,1,we,,,,09/24/2017 12:00:00,josh,
17R4561:0006007,17R4561:0006004,1,we,,,,09/24/2017 12:00:00,josh,
17R4561:0006009,17R4561:0006004,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4561:0006010,17R4561:0006004,1,we,,,,09/24/2017 12:00:00,josh,
17R4561:0006014,17R4561:0006004,1,we,,,,09/24/2017 12:00:00,josh,
17R4227:0006301,17R4227:0006317,1,we,,,,09/24/2017 12:00:00,josh,
17R4227:0006303,17R4227:0006310,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4227:0006304,17R4561:0006317,1,we,,,,09/24/2017 12:00:00,josh,
17R4227:0006305,17R4227:0006317,1,we,,,,09/24/2017 12:00:00,josh,
17R4227:0006315,17R4227:0006317,1,we,,,,09/24/2017 12:00:00,josh,
17R4227:0006316,17R4227:0006317,1,he,,,,09/24/2017 12:00:00,josh,
17R4228:0006401,17R4228:0006404,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006404,17R4228:0006404,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006408,17R4228:0006404,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006409,17R4228:0006415,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006410,17R4228:0006415,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006411,17R4228:0006415,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006415,17R4228:0006415,1,we,,,,09/24/2017 12:00:00,josh,
17R4228:0006416,17R4228:0006415,1,we,,,,09/24/2017 12:00:00,josh,
17R4441:0006701,17R4441:0006706,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4441:0006702,17R4441:0006706,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4441:0006703,17R4441:0006706,1,we,,,,09/24/2017 12:00:00,josh,
17R4441:0006704,17R4441:0006704,1,we,,,,09/24/2017 12:00:00,josh,
17R4441:0006709,17R4441:0006706,1,we,,,,09/24/2017 12:00:00,josh,
17R3946:0006905,17R3946:0006904,1,we,,,,09/24/2017 12:00:00,josh,
17R3946:0006906,17R3946:0006904,1,we,,,,09/24/2017 12:00:00,josh,
17R3946:0006908,17R3946:0006904,1,we,28,,,09/24/2017 12:00:00,josh,
17R4085:0007102,17R4085:0007106,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007103,17R4085:0007106,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4085:0007104,17R4085:0007106,1,we,,,,09/24/2017 12:00:00,josh,
17R4085:0007108,17R4085:0007109,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4085:0007111,17R4085:0007109,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4085:0007113,17R4085:0007106,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4085:0007114,17R4085:0007109,1,we,,,,09/24/2017 12:00:00,josh,
17R4085:0007117,17R4085:0007109,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007207,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007210,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007211,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007212,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007215,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R3590:0007402,17R3590:0007412,1,we,,,,09/24/2017 12:00:00,josh,
17R3590:0007406,17R3590:0007412,1,we,,,,09/24/2017 12:00:00,josh,
17R3590:0007410,17R4559:0007412,1,we,,,,09/24/2017 12:00:00,josh,
17R3590:0007411,17R3590:0007412,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007603,17R4491:0007610,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4491:0007606,17R4491:0007611,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007607,17R4491:0007610,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007608,17R4491:0007610,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007610,17R4491:0007610,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007611,17R4491:0007611,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007612,17R4491:0007611,1,we,,,,09/24/2017 12:00:00,josh,
17R4491:0007613,17R4491:0007610,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4491:0007619,17R4491:0007610,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4492:0007902,17R4492:0007906,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4492:0007903,17R4492:0007906,1,we,,,,09/24/2017 12:00:00,josh,
17R4492:0007904,17R4492:0007909,0,fuzzy_cl,22,,,09/24/2017 12:00:00,josh,
17R4492:0007905,17R4492:0007906,1,we,,,,09/24/2017 12:00:00,josh,
17R4492:0007907,17R4492:0007906,1,we,,,,09/24/2017 12:00:00,josh,
17R4492:0007910,17R4492:0007909,0,fuzzy_cl,20,,,09/24/2017 12:00:00,josh,
17R4453:0008402,17R4453:0008402,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4453:0008403,17R4453:0008402,1,we,,,,09/24/2017 12:00:00,josh,
17R4453:0008406,17R4453:0008402,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008601,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008607,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008612,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008615,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008617,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008702,17R4494:0008701,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008712,17R4494:0008601,1,we,,,,09/24/2017 12:00:00,josh,
17R4494:0008717,17R4494:0008701,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008801,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008802,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008803,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008806,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008809,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008812,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008814,17R4092:0008802,1,we,,,,09/24/2017 12:00:00,josh,
17R4092:0008913,17R4452:0009007,1,we,,,disc,09/24/2017 12:00:00,josh,
17R4452:0009001,17R4452:0009007,1,we,,,,09/24/2017 12:00:00,josh,
17R4452:0009008,17R4452:0009007,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4452:0009009,17R4452:0009007,1,we,,,,09/24/2017 12:00:00,josh,
17R4452:0009010,17R4452:0009007,1,we,,,,09/24/2017 12:00:00,josh,
17R4452:0009011,17R4452:0009007,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009210,17R4577:0009210,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009212,17R4577:0009210,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009213,17R4577:0009210,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009214,17R4577:0009210,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009215,17R4577:0009210,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009301,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009304,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009305,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009306,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009309,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009310,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009312,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009316,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4577:0009318,17R4577:0009308,1,we,,,,09/24/2017 12:00:00,josh,
17R4542:0009503,17R4542:0009415,1,we,,,,09/24/2017 12:00:00,josh,
17R4542:0009504,17R4542:0009415,1,we,,,,09/24/2017 12:00:00,josh,
17R4542:0009506,17R4542:0009415,1,we,,,,09/24/2017 12:00:00,josh,
17R4542:0009509,17R4542:0009409,1,we,,,pe,09/24/2017 12:00:00,josh,
17R4542:0009511,17R4542:0009409,1,we,,,,09/24/2017 12:00:00,josh,
17R4542:0009514,17R4542:0009409,1,we,,,,09/24/2017 12:00:00,josh,
17R4541:0009709,17R4541:0009712,1,we,,,pe,09/24/2017 12:00:00,josh,
17R4541:0009712,17R4541:0009712,1,we,,,,09/24/2017 12:00:00,josh,
17R4555:0009801,17R4555:0009801,1,we,,,,09/24/2017 12:00:00,josh,
17R4555:0009808,17R4555:0009810,1,we,,,disc,09/24/2017 12:00:00,josh,
17R4555:0009809,17R4555:0009810,1,we,,,,09/24/2017 12:00:00,josh,
17R4555:0009901,17R4555:0009801,1,we,,,,09/24/2017 12:00:00,josh,
17R4555:0009902,17R4555:0009801,0,fuzzy_cl,23,,,09/24/2017 12:00:00,josh,
