ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
17R4556:0010308,17R4556:0010305,08/07/2017 13:17:23,1,0,0,toni,josh,
17R4556:0010303,17R4556:0010305,08/07/2017 13:17:25,1,0,0,toni,josh,
17R4556:0010302,17R4556:0010305,08/07/2017 13:17:27,1,0,0,toni,josh,
17R4542:0009504,17R4542:0009415,08/07/2017 13:21:09,1,0,0,toni,josh,
17R4542:0009503,17R4542:0009415,08/07/2017 13:21:12,1,0,0,toni,josh,
17R4227:0006301,17R4227:0006317,08/07/2017 13:24:01,1,0,0,toni,josh,
17R505:B0005003,17R4542:0009415,08/07/2017 13:26:08,1,0,0,toni,josh,
17R505:B0005004,17R4542:0009415,08/07/2017 13:26:15,1,0,0,toni,josh,
17R505:B0005011,17R4556:0010305,08/07/2017 13:29:16,1,0,0,toni,josh,
17R505:B0005105,17R4556:0010305,08/07/2017 13:29:14,1,0,0,toni,josh,
17R205:S0003306,17R4545:0018107,08/07/2017 13:38:26,1,0,0,toni,josh,
17R205:S0003307,17R4545:0018107,08/07/2017 13:38:38,1,0,0,toni,josh,
17R205:S0003301,17R4545:0018107,08/07/2017 13:38:30,1,0,0,toni,josh,
17R205:S0003317,17R4419:0011132,08/07/2017 13:42:32,1,0,0,toni,josh,
17R205:S0003316,17R4419:0011132,08/07/2017 13:42:35,1,0,0,toni,josh,
17R205:S0003415,17R4419:0011132,08/07/2017 13:42:37,1,0,0,toni,josh,
17R205:S0003515,17R4419:0011128,08/07/2017 13:46:45,1,0,0,toni,josh,
17R205:S0003512,17R4419:0011128,08/07/2017 13:46:47,1,0,0,toni,josh,
17R205:S0003504,17R4419:0011128,08/07/2017 13:46:49,1,0,0,toni,josh,
17R205:S0003609,17R2252:0011002,08/07/2017 13:49:26,1,0,0,toni,josh,
17R205:S0003601,17R2252:0011002,08/07/2017 13:49:28,1,0,0,toni,josh,
17R205:S0003717,17R2252:0011002,08/07/2017 13:50:24,1,0,0,toni,josh,
17R405:M0004908,17R4552:0012206,08/07/2017 13:55:44,1,0,0,toni,josh,
17R405:M0004911,17R4552:0012206,08/07/2017 13:55:47,1,0,0,toni,josh,
17R0689:0023203,17R0689:0023203,08/07/2017 13:58:16,1,0,0,toni,josh,
17R0689:0023210,17R0689:0023210,08/07/2017 13:58:35,1,0,0,toni,josh,
17R0689:0023212,17R0689:0023212,08/07/2017 13:59:21,1,0,0,toni,josh,
