plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R0689:0014913,1,1,0,0,0,toni,08/02/2016 12:57:20,
16R0701:0016103,1,1,0,0,0,toni,08/02/2016 13:17:01,
16R0699:0015910,1,1,0,0,0,toni,08/02/2016 13:23:53,
16R0699:0015909,1,1,0,0,0,toni,08/02/2016 13:24:28,
16R0699:0015908,1,1,0,0,0,toni,08/02/2016 13:24:48,
16R0697:0015710,1,1,0,0,0,toni,08/02/2016 13:26:25,
16R0697:0015711,1,1,0,0,0,toni,08/02/2016 13:27:34,
16R0694:0015401,1,1,0,0,0,toni,08/02/2016 13:31:22,
16R0694:0015402,1,1,0,0,0,toni,08/02/2016 13:32:41,
16R0689:0014910,1,1,0,0,0,toni,08/02/2016 13:42:50,
16R0689:0014903,1,1,0,0,0,toni,08/02/2016 13:38:56,
16R0689:0014913,1,1,0,0,0,toni,08/02/2016 13:40:53,
16R0688:0014804,1,1,0,0,0,toni,08/02/2016 13:42:44,
16R0688:0014805,1,1,0,0,0,toni,08/02/2016 13:44:15,
16R0687:0014708,1,1,0,0,0,toni,08/02/2016 13:46:28,
16R0687:0014709,1,1,0,0,0,toni,08/02/2016 13:48:51,
16R0690:0015003,1,1,0,0,0,toni,08/02/2016 13:51:30,
16R0691:0015107,1,1,0,0,0,toni,08/02/2016 13:52:23,
16R0691:0015106,1,1,0,0,0,toni,08/02/2016 13:54:53,
16R0693:0015306,1,1,0,0,0,toni,08/02/2016 13:56:10,
16R0693:0015304,1,1,0,0,0,toni,08/02/2016 13:57:58,
