ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
16R4460:0003602,16R4460:0003602,07/24/2016 9:43:25,1,0,0,toni,toni,
16R4460:0003604,16R4460:0003604,07/24/2016 9:43:23,1,0,0,toni,toni,
16R4460:0003610,16R4460:0003610,07/24/2016 9:42:48,1,0,0,toni,toni,
16R405:M0002003,16R4468:0004410,07/24/2016 11:13:27,1,0,0,toni,toni,
16R405:M0002005,16R4468:0004410,07/24/2016 11:13:15,1,0,0,toni,toni,
16R305:W0002806,16R4470:0004602,07/24/2016 10:38:50,1,0,0,toni,toni,
16R305:W0002808,16R4470:0004602,07/24/2016 10:39:07,1,0,0,toni,toni,
16R405:M0001702,16R4471:0004707,07/24/2016 10:54:34,1,0,0,toni,toni,
16R205:S0001110,16R4472:0004806,07/24/2016 11:30:07,1,0,0,toni,toni,
16R305:W0002813,16R4473:0004912,07/24/2016 10:44:52,1,0,0,toni,toni,
16R305:W0002814,16R4473:0004912,07/24/2016 10:45:09,1,0,0,toni,toni,
16R405:M0002001,16R4474:0005009,07/24/2016 11:13:57,1,0,0,toni,toni,
16R405:M0002002,16R4474:0005009,07/24/2016 11:13:40,1,0,0,toni,toni,
16R405:M0001813,16R4476:0005202,07/24/2016 10:55:42,1,0,0,toni,toni,
16R405:M0002008,16R4476:0005211,07/24/2016 11:12:42,1,0,0,toni,toni,
16R405:M0002009,16R4476:0005211,07/24/2016 11:12:26,1,0,0,toni,toni,
16R205:S0001101,16R4477:0005309,07/24/2016 10:32:32,1,0,0,toni,toni,
16R205:S0001101,16R4477:0005309,07/24/2016 11:31:19,1,0,0,toni,toni,
16R205:S0001112,16R4478:0005404,07/24/2016 11:29:46,1,0,0,toni,toni,
16R205:S0001115,16R4478:0005404,07/24/2016 11:29:32,1,0,0,toni,toni,
16R205:S0001212,16R4479:0005503,07/24/2016 11:28:58,1,0,0,toni,toni,
16R205:S0001118,16R4479:0005504,07/24/2016 11:29:12,1,0,0,toni,toni,
16R305:W0002916,16R4481:0005709,07/24/2016 10:22:38,1,0,0,toni,toni,
16R405:M0002106,16R4483:0005910,07/24/2016 11:10:45,1,0,0,toni,toni,
16R405:M0002107,16R4483:0005910,07/24/2016 11:11:06,1,0,0,toni,toni,
16R405:M0002107,16R4483:0005910,07/24/2016 11:12:13,1,0,0,toni,toni,
16R4227:0006601,16R4227:0006601,07/24/2016 11:34:36,1,0,0,toni,toni,
16R4086:0007610,16R4086:0007610,07/24/2016 11:36:54,1,0,0,toni,toni,
16R405:M0002212,16R4496:0009201,07/24/2016 11:42:07,1,0,0,toni,toni,
16R405:M0002213,16R4496:0009201,07/24/2016 11:42:29,1,0,0,toni,toni,
16R305:W0002804,16R4498:0009503,07/24/2016 10:28:52,1,0,0,toni,toni,
16R305:W0002805,16R4498:0009505,07/24/2016 10:28:37,1,0,0,toni,toni,
16R305:W0002803,16R4498:0009514,07/24/2016 10:29:08,1,0,0,toni,toni,
16R305:W0002801,16R4499:0009605,07/24/2016 10:04:13,1,0,0,toni,toni,
16R305:W0002801,16R4499:0009605,07/24/2016 10:25:43,1,0,0,toni,toni,
16R305:W0002902,16R4499:0009605,07/24/2016 10:24:47,1,0,0,toni,toni,
16R305:W0002906,16R4499:0009614,07/24/2016 10:24:24,1,0,0,toni,toni,
16R305:W0002911,16R4499:0009614,07/24/2016 10:23:58,1,0,0,toni,toni,
16R305:W0002913,16R4279:0010503,07/24/2016 10:23:39,1,0,0,toni,toni,
16R305:W0002914,16R4279:0010511,07/24/2016 10:23:15,1,0,0,toni,toni,
16R305:W0002915,16R4279:0010511,07/24/2016 10:22:48,1,0,0,toni,toni,
16R205:S0001206,16R4391:0010710,07/24/2016 11:28:13,1,0,0,toni,toni,
16R205:S0001104,16R4391:0010711,07/24/2016 11:30:49,1,0,0,toni,toni,
16R405:M0002201,16R4392:0010801,07/24/2016 11:10:21,1,0,0,toni,toni,
16R405:M0002203,16R4392:0010801,07/24/2016 11:10:08,1,0,0,toni,toni,
16R405:M0002210,16R4392:0010801,07/24/2016 11:09:46,1,0,0,toni,toni,
16R205:S0001207,16R4507:0010901,07/24/2016 11:28:43,1,0,0,toni,toni,
16R405:M0002108,16R4511:0011305,07/24/2016 11:11:21,1,0,0,toni,toni,
16R405:M0002109,16R4511:0011305,07/24/2016 11:11:33,1,0,0,toni,toni,
16R405:M0002110,16R4511:0011305,07/24/2016 11:11:54,1,0,0,toni,toni,
16R405:M0002006,16R4516:0012008,07/24/2016 11:13:03,1,0,0,toni,toni,
