plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R4470:0004602,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4471:0004707,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4472:0004806,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4474:0005001,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4476:0005202,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4478:0005401,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4479:0005503,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4479:0005504,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4479:0005506,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4481:0005709,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4483:0005906,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4496:0009201,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4496:0009209,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4222:0009405,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4222:0009409,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4499:0009607,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4390:0010609,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4391:0010710,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4391:0010711,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4507:0010901,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4509:0011103,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4509:0011104,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4511:0011304,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4298:0012401,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4298:0012406,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4520:0012908,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4520:0012909,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4522:0013106,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4526:0013502,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4526:0013504,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4526:0013508,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4528:0013704,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4528:0013706,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4534:0014307,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4537:0014607,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4537:0014608,1,0,07/24/2016 0:00:00,0,0,0,toni,
16R4537:0014611,1,0,07/24/2016 0:00:00,0,0,0,toni,
